ID,Organism,Strain,Molecule product,DB xref,location
GQ153546.1,Bat SARS coronavirus HKU3-11,HKU3-11,N/A,taxon:741998,N/A
OM222059.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KY417152.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KY417151.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
Q0Q475.1,Bat CoV 279/2005,N/A,N/A,taxon:389167,N/A
OM222061.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KY417142.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KC881007.1,Bat SARS-like coronavirus WIV1,N/A,N/A,taxon:1415852,China
OM222062.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KY417144.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
Q3LZX1.1,Bat SARS coronavirus HKU3,N/A,N/A,taxon:442736,N/A
OM222057.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
DQ648857.1,Bat CoV 279/2005,BtCoV/279/2005,N/A,taxon:389167,N/A
KY417147.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
DQ648856.1,Bat CoV 273/2005,BtCoV/273/2005,N/A,taxon:389166,N/A
KY417150.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KF294457.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
ON012461.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
DQ022305.2,Bat SARS coronavirus HKU3-1,HKU3-1,N/A,taxon:333387,China
GQ153539.1,Bat SARS coronavirus HKU3-4,HKU3-4,N/A,taxon:742001,N/A
OM222060.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
OM222063.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
GQ153542.1,Bat SARS coronavirus HKU3-7,HKU3-7,N/A,taxon:742004,N/A
DQ084199.1,Bat SARS coronavirus HKU3-2,N/A,N/A,taxon:338605,N/A
MG772934.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
MT782115.1,Bat SARS coronavirus HKU3,HKU3,N/A,taxon:442736,USA
KY417148.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
OQ934005.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China: Yunnan
KY417146.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KY417145.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
GQ153547.1,Bat SARS coronavirus HKU3-12,HKU3-12,N/A,taxon:741999,N/A
OM222064.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
KF367457.1,Bat SARS-like coronavirus WIV1,N/A,N/A,taxon:1415852,China
GQ153540.1,Bat SARS coronavirus HKU3-5,HKU3-5,N/A,taxon:742002,N/A
GQ153541.1,Bat SARS coronavirus HKU3-6,HKU3-6,N/A,taxon:742003,N/A
MG772933.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
GQ153545.1,Bat SARS coronavirus HKU3-10,HKU3-10,N/A,taxon:741997,N/A
GQ153543.1,Bat SARS coronavirus HKU3-8,HKU3-8,N/A,taxon:742005,N/A
KY417143.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
Q3I5J5.1,Bat SARS CoV Rp3/2004,N/A,N/A,taxon:349344,N/A
DQ084200.1,Bat SARS coronavirus HKU3-3,N/A,N/A,taxon:338606,N/A
MT782114.1,Bat SARS coronavirus HKU3,HKU3,N/A,taxon:442736,USA
OM222058.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
DQ412043.1,Bat SARS CoV Rm1/2004,N/A,N/A,taxon:347536,N/A
ON012462.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
GQ153548.1,Bat SARS coronavirus HKU3-13,HKU3-13,N/A,taxon:742000,N/A
GQ153544.1,Bat SARS coronavirus HKU3-9,HKU3-9,N/A,taxon:742006,N/A
FJ588692.1,Bat SARS Cov Rs806/2006,N/A,N/A,taxon:663565,China
ON012459.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
DQ071615.1,Bat SARS CoV Rp3/2004,N/A,N/A,taxon:349344,China
KY417149.1,Bat SARS-like coronavirus,N/A,N/A,taxon:1508227,China
DQ412042.1,Bat SARS CoV Rf1/2004,N/A,N/A,taxon:347537,N/A
