ID,Collection date
NC_028752,2015-03
NC_002645,
PV685437,2024-06-05
PV685438,2024-02-05
PV685439,2024-03-06
PV685440,2024-04-08
PV685441,2024-02-14
PV685442,2023-07-18
PV685443,2024-04-17
PV685444,2024-02-18
PV685445,2024-05-21
PV685446,2024-03-24
PV685447,2024-02-27
PV685448,2024-02-29
PV685449,2024-04-30
PV717794,2025-02-23
PV717809,2025-02-17
PV717816,2025-02-18
PQ963848,2024-04-15
PQ963849,2024-04-17
PQ963850,2024-05-22
PQ963852,2024-07-17
PP952203,2023-12-23
PP952204,2023-12-23
PP952205,2023-12-07
PP952206,2023-12-07
PP952207,2023-12-23
PP952208,2023-12-23
PP952209,2023-12-23
PQ616070,2023-01-12
PQ616071,2023-01-13
PQ616072,2023-02-12
PQ616073,2023-03-23
PQ616075,2023-05-04
PQ616076,2023-05-22
PQ616077,2023-05-30
PQ616078,2021-02-09
PQ616079,2021-03-10
PQ616080,2021-03-17
PQ616081,2020-02-26
PQ616082,1979
PQ616083,2019-02-12
PQ616084,2019-02-27
PQ616085,2018-04-23
PQ616086,2019-01-10
PQ616087,2019-01-24
PQ616088,2019-02-05
PQ616089,2019-02-04
PQ616091,2019-03-04
PQ616092,2019-03-05
PQ616093,2019-03-06
PQ616094,2019-04-16
PQ616095,2024-03-18
PQ616096,2024-03-17
PQ616097,2023-02-22
PQ616098,2022-02-02
PQ616099,2023-03-14
PQ616100,2023-03-21
PQ616101,2022-04-26
PQ616102,2021-02-16
PQ616104,2021-03-12
PQ616105,2021-03-16
PQ616106,2021-03-18
PQ616107,2021-03-23
PQ616108,2021-03-24
PQ616109,2021-03-27
PQ616110,2021-03-31
PQ616111,2021-04-07
PQ616112,2024-04-17
PQ466789,2016-04-05
PQ466790,2016-04-25
PQ466791,2016-10-19
PQ466792,2016-12-05
PQ466793,2016-12-15
PQ466794,2016-12-17
PQ466795,2017-01-03
PQ466796,2017-01-05
PQ466797,2017-01-05
PQ466798,2017-01-05
PQ466799,2017-01-08
PQ466800,2017-01-11
PQ466801,2017-01-13
PQ466802,2017-01-22
PQ466803,2017-01-24
PQ466804,2017-01-24
PQ466805,2017-01-25
PQ466806,2017-01-25
PQ466807,2017-01-29
PQ466808,2017-01-29
PQ466809,2017-01-30
PQ466810,2017-01-30
PQ466811,2017-01-30
PQ466812,2017-01-30
PQ466813,2017-01-31
PQ466814,2017-01-31
PQ466815,2017-02-01
PQ466816,2017-02-05
PQ466817,2017-02-07
PQ466818,2017-02-08
PQ466819,2017-02-10
PQ466820,2017-02-10
PQ466821,2017-02-12
PQ466822,2017-02-11
PQ466823,2017-02-13
PQ466824,2017-02-14
PQ466825,2017-02-15
PQ466826,2017-02-15
PQ466827,2017-02-16
PQ466828,2017-02-19
PQ466829,2017-02-17
PQ466830,2017-02-23
PQ466831,2017-02-24
PQ466832,2017-02-24
PQ466833,2017-02-28
PQ466834,2017-03-06
PQ466835,2017-03-15
PQ466836,2017-03-17
PQ466837,2017-04-03
PQ466838,2017-05-13
PQ466839,2018-02-22
PQ466840,2018-03-08
PQ466841,2018-03-24
PQ466842,2018-06-19
PQ466843,2018-07-19
PQ466844,2018-12-14
PQ466845,2018-12-18
PQ466846,2018-12-18
PQ466847,2018-12-26
PQ466848,2018-12-27
PQ466849,2018-12-29
PQ466850,2022-02-21
PQ466851,2022-03-27
PQ466852,2022-04-08
PQ466853,2022-04-22
PQ466854,2022-05-05
PQ466855,2023-02-08
PQ466856,2023-03-05
PQ466857,2023-03-10
PQ449607,2016-03-31
PQ187609,2017-06-06
PQ187610,2010-04-06
