ID,Organism,Strain,Molecule product,DB xref,location
DQ243972.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Australia
DQ243983.1,Human coronavirus 229E,HCoV-229E-30/7/03,N/A,taxon:11137,Australia
KY621348.1,Human coronavirus 229E,HCoV_229E/Seattle/USA/SC379/2016,N/A,taxon:11137,USA
KY073748.1,229E-related bat coronavirus,BtKY229E-8,N/A,taxon:1739614,Kenya
PQ466835.1,Human coronavirus 229E,N/A,N/A,taxon:11137,United Kingdom
PP952205.1,Camel alphacoronavirus,N/A,N/A,taxon:1699095,Saudi Arabia: Sajir
MT797713.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Hong Kong
ON554110.1,Human coronavirus 229E,N/A,N/A,taxon:11137,China
PQ466842.1,Human coronavirus 229E,N/A,N/A,taxon:11137,United Kingdom
PP810610.1,Human coronavirus 229E,MBC090,N/A,taxon:11137,Spain
KT253267.1,229E-related bat coronavirus,N/A,N/A,taxon:1739614,Ghana
DQ243965.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Australia
KM055544.1,Human coronavirus 229E,N/A,N/A,taxon:11137,China
KU291448.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Germany
MT797687.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Hong Kong
MW532104.1,Human coronavirus 229E,229E/China/04/2017,N/A,taxon:11137,China
KY369911.1,Human coronavirus 229E,HCoV_229E/Seattle/USA/SC1212/2016,N/A,taxon:11137,USA
AY386393.1,Human coronavirus 229E,N/A,N/A,taxon:11137,N/A
FJ235174.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Sweden
PQ616081.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Russia: Perm
LC654446.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Japan: Fukushima
PQ466833.1,Human coronavirus 229E,N/A,N/A,taxon:11137,United Kingdom
PP952209.1,Camel alphacoronavirus,N/A,N/A,taxon:1699095,Saudi Arabia: Jeddah
PV685449.1,Human coronavirus 229E,N/A,N/A,taxon:11137,USA: WA
PQ616108.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Russia: Saint Petersburg
MT797711.1,Human coronavirus 229E,N/A,N/A,taxon:11137,Hong Kong
PQ466843.1,Human coronavirus 229E,N/A,N/A,taxon:11137,United Kingdom
MZ712010.1,Human coronavirus 229E,KBPV-VR-9,N/A,taxon:11137,South Korea
