ID,Collection date
NC_006577,
ON461762,2019-12-02
ON461763,2019-12-04
ON461765,2019-12-20
ON461771,2019-12-28
ON461776,2019-12-31
ON461777,2020-01-04
ON461780,2020-01-16
PV685450,2024-04-03
PV685451,2024-02-03
PV685452,2024-04-05
PV685453,2024-04-05
PV685454,2024-04-05
PV685455,2024-04-08
PV685456,2024-04-10
PV685457,2024-02-11
PV685458,2024-03-12
PV685459,2024-04-12
PV685460,2024-04-15
PV685461,2023-12-20
PV685462,2024-05-22
PV685463,2024-03-21
PV685464,2024-04-22
PV685465,2024-02-29
PV685466,2024-02-29
PV685467,2024-02-29
PV685468,2024-03-29
PV717797,2025-02-18
PQ658381,2023-03-15
PQ658382,2018-03-05
PQ658383,2018-03-25
PQ658384,2018-03-03
PQ658385,2018-02-04
PQ658386,2018-01-30
PQ658387,2017-03-04
PQ658388,2017-02-08
PQ658389,2017-01-30
PQ658390,2018-01-25
PQ658391,2018-03-23
PQ658392,2016-03-06
PQ658393,2018-01-05
PQ658394,2016-03-18
PQ658395,2023-06-10
PQ658396,2018-03-11
PQ658397,2016-03-01
PQ658398,2016-02-22
PQ658399,2023-06-16
PQ658400,2018-02-19
PQ658401,2022-04-11
PQ658402,2022-04-16
PQ658403,2017-12-20
PQ658404,2018-05-12
PQ658405,2018-05-11
PQ658406,2018-04-10
PQ658407,2018-04-08
PQ658408,2017-02-22
PQ658409,2017-02-03
PQ658410,2016-03-30
PQ658411,2016-04-06
PQ658412,2016-02-24
PQ658413,2018-03-02
PQ658414,2018-04-17
PQ658415,2016-02-29
PQ683736,2019-12-01
PQ683737,2018-02-19
PQ683738,2020-03-05
PQ683739,2023-06-13
PQ658715,2022-12
PQ187617,2010-08-04
PQ187618,2010-12-09
PQ187619,2012-05-30
PQ187620,2016-12-05
PQ037248,2023-04
PQ037249,2023-04
PQ037250,2023-04
PQ037251,2023-04
LC817375,2023
LC817376,2023
LC817377,2023
LC817378,2023
LC817379,2023
LC817380,2023
LC817381,2023
OR260091,2022
OR266948,2022-02-22
ON461755,2019-10-21
ON461756,2019-10-29
ON461757,2019-11-04
ON461758,2019-11-07
ON461759,2019-11-09
ON461760,2019-11-11
ON461761,2019-11-25
ON461764,2019-12-11
ON461766,2019-12-20
ON461767,2019-12-23
ON461768,2020-02-10
ON461769,2019-12-27
ON461770,2019-12-27
ON461772,2019-12-30
ON461773,2019-12-31
ON461774,2020-01-03
ON461775,2019-12-30
ON461778,2020-01-06
ON461779,2020-01-15
ON461781,2020-01-16
ON553961,2016
ON553962,2017
ON553963,2017
ON553964,2018
ON136168,2020-01-17
ON136169,2021-04-08
ON136170,2021-04-13
ON136171,2021-05-22
ON136172,2021-05-19
ON136173,2021-04-15
OK073085,2015
OK073086,2015
ON729317,2017
ON128609,2018-05-29
ON128610,2018-06-05
ON128611,2018-05-26
ON128612,2018-10-30
ON128613,2018-09-30
ON128614,2018-10-18
ON128615,2018-12-11
ON128616,2018-12-14
LC543626,2013-04-11
LC687393,2019
OL770285,2019
OL770286,2019
MW587043,2017-12
LC654447,2020
LC654448,2020
LC654449,2020
MT492205,2018
MT492206,2018
MT492207,2018
MN488637,2006-01-26
MH556991,2007-07-10
MH556992,2008-03-11
MH556993,2008-03-25
MH556994,2008-04-04
MH556995,2008-04-14
MH556996,2008-04-19
MH556997,2008-04-24
MH556998,2009-02-09
MH556999,2009-03-03
MH557000,2009-03-05
MH557001,2009-07-13
MH557002,2014-10-31
MH557003,2015-06-02
MH557004,2006-03-28
MH557005,2006-05-22
MH557006,2006-07-19
MH557007,2006-07-29
MH557008,2006-09-01
MH557009,2014-07-20
MH557010,2014-07-29
MH557011,2016-05-30
MH557012,2015-01-14
MH557013,2013-08-16
MH557014,2007-03-22
MH557015,2012-06-05
MH557016,2010-03-16
MH557017,2010-03-11
MH557018,2010-04-12
MH557019,2011-03-28
MH557020,2011-04-09
MH557021,2011-02-05
MH557022,2011-05-17
MH557023,2011-07-18
MH557024,2011-03-02
MK167038,2017
MH940245,2017-06-04
LC315650,2014
LC315651,2016
KY983584,2015
KY674921,2016
KY674941,2016
KY674942,2016
KY674943,2016
KT779555,2009-04-23
KT779556,2009-04-23
KR055554,2012
KR055555,2012
KR055556,2012
KR055557,2012
KR055558,2012
KR055559,2012
KR055560,2012
KR055561,2012
KR055562,2012
KR055563,2012
KR055564,2012
KR055565,2012
KR055566,2012
KR055567,2012
KR055568,2012
KR055569,2012
KR055570,2012
KR055571,2012
KR055572,2012
KR055573,2013
KR055574,2013
KR055575,2013
KR607990,2009
KR607991,2009
KR607992,2009
KR607993,2009
KR607994,2009
KJ866107,2013-05-07
KJ866108,2013-07-04
KJ866109,2013-07-25
KJ866110,2013-08-07
KJ866111,2013-10-09
KJ866112,2012-08-12
KJ866113,2013-02-07
KJ866114,2013-06-01
KJ866115,2013-08-24
KJ866116,2013-10-12
KJ866117,2012-10-17
KJ866118,2013-01-08
KJ866119,2013-01-08
KJ866120,2013-06-21
KJ866121,2013-07-18
KJ866122,2013-07-31
KJ866123,2013-09-03
KJ866124,2012-06-28
KJ866125,2012-03-29
KJ768644,2012-02-14
KJ768645,2011-10-24
KJ768646,2012-03-19
KF686340,2009-11-28
KF686341,2010-01-16
KF686342,2009-12-13
KF686343,2010-01-08
KF686344,2009-12-28
KF686346,2010-01-09
JX513246,2010-06-17
JX513247,2010-08-26
JX513248,2010-12-09
KF430197,2007
KF430198,2006
KF430201,2010-01-22
KF430203,2006
JN234465,2007-01
JN234466,2007-01
JN234467,2007-01
JN234468,2007-01
JN234469,2007-01
JN234470,2007-02
JN234471,2007-03
JN234472,2007-04
JN234473,2008-01
JN234474,2008-03
JN234475,2008-04
JN234476,2008-04
JN234477,2008-04
HM034837,2005-03-04
DQ131642,
DQ131644,
DQ131645,
FJ656115,2004-01
FJ656116,2004-02
FJ656117,2004-02
FJ656118,2004-02
FJ656119,2004-02
FJ656120,2004-02
FJ656121,2004-02
FJ656122,2004-02
FJ656123,2006-01
FJ656124,2006-01
FJ656125,2006-02
FJ656126,2006-02
FJ656127,2006-02
FJ656128,2006-02
FJ656129,2006-03
FJ656130,2006-03
FJ656131,2006-03
FJ656132,2006-01
FJ656133,2006-02
EF507769,2005
