ID,Collection date
NC_005831,
PV685469,2023-01-03
PV685470,2024-02-06
PV685471,2024-04-11
PV685472,2024-07-15
PV685473,2024-02-14
PV685474,2024-06-21
PV685475,2024-02-23
PV685476,2023-12-30
PV717807,2025-02-14
PV642259,2023-03-22
PV539242,2024-11-30
PV484781,2025-02-08
PV484783,2025-02-06
PV484789,2025-02-12
PQ587211,2022-09-02
PQ625861,2023-06-14
PV260471,2025-01-08
PV260472,2025-01-24
PV260473,2025-01-03
PV260474,2024-12-30
PV260475,2025-01-25
PV260476,2025-01-09
PV260477,2024-12-31
PV260478,2024-08-18
PV260479,2023-12-10
PV260480,2024-12-11
PV260481,2024-11-27
PV260482,2024-12-19
PV260483,2024-11-16
PV260484,2024-11-13
PV260485,2024-12-29
PV260486,2024-12-16
PV260487,2024-12-23
PV260488,2024-12-05
PQ963853,2024-01-17
PQ683720,2018-03-01
PQ683721,2018-03-02
PQ683722,2018-03-06
PQ683723,2018-03-14
PQ683724,2018-03-20
PQ683725,2018-04-16
PQ683726,2019-04-01
PQ683727,2018-04-19
PQ683728,2018-05-17
PQ683729,2023-11-26
PQ683730,2023-12-18
PQ683731,2018-03-30
PQ683732,2018-04-04
PQ683733,2018-02-08
PQ683734,2024-02-16
PQ683735,2024-02-26
PQ611288,2016-12-05
PQ611289,2017-02-06
PQ611290,2017-02-08
PQ611291,2017-02-12
PQ611292,2017-02-13
PQ611293,2017-02-13
PQ611294,2017-02-16
PQ611295,2017-02-28
PQ611296,2017-03-03
PQ611297,2017-03-11
PQ611298,2017-03-11
PQ611299,2017-03-11
PQ611300,2017-03-15
PQ611301,2017-03-16
PQ611302,2017-04-07
PQ611303,2017-04-21
PQ611304,2017-05-05
PQ611305,2017-05-19
PQ611306,2017-06-27
PQ611307,2017-08-20
PQ611308,2017-09-23
PQ611309,2017-11-08
PQ611310,2017-11-29
PQ611311,2017-12-04
PQ611312,2017-12-11
PQ611313,2017-12-14
PQ611314,2017-12-17
PQ611315,2017-12-18
PQ611316,2017-12-19
PQ611317,2017-12-20
PQ611318,2017-12-20
PQ611319,2017-12-21
PQ611320,2017-12-23
PQ611321,2017-12-26
PQ611322,2017-12-28
PQ611323,2018-01-03
PQ611324,2018-01-04
PQ611325,2018-01-05
PQ611326,2018-01-08
PQ611327,2018-01-08
PQ611328,2018-01-09
PQ611329,2018-01-09
PQ611330,2018-01-09
PQ611331,2018-01-14
PQ611332,2018-01-17
PQ611333,2018-01-19
PQ611334,2018-01-19
PQ611335,2018-01-22
PQ611336,2018-01-21
PQ611337,2018-01-22
PQ611338,2018-01-23
PQ611339,2018-01-26
PQ611340,2018-01-30
PQ611341,2018-01-31
PQ611342,2018-01-31
PQ611343,2018-02-02
PQ611344,2018-02-03
PQ611345,2018-02-05
PQ611346,2018-02-05
PQ611347,2018-02-05
PQ611348,2018-02-07
PQ611349,2018-02-07
PQ611350,2018-02-07
PQ611351,2018-02-08
PQ611352,2018-02-12
PQ611353,2018-02-15
PQ611354,2018-02-15
PQ611355,2018-02-16
PQ611356,2018-02-16
PQ611357,2018-02-19
PQ611358,2018-03-01
PQ611359,2018-02-28
PQ611360,2018-03-03
PQ611361,2018-03-07
PQ611362,2018-03-08
PQ611363,2018-03-18
PQ611364,2018-03-20
PQ611365,2018-03-20
PQ611366,2018-03-29
PQ611367,2018-04-01
PQ611368,2018-04-05
PQ611369,2018-04-22
PQ611370,2018-04-25
PQ611371,2018-05-09
PQ611372,2021-05-08
PQ611373,2021-05-18
PQ611374,2021-06-02
PQ611375,2021-06-07
PQ611376,2021-06-08
PQ611377,2022-03-16
PQ611378,2022-03-29
PQ611379,2022-05-03
PQ611380,2022-05-13
PQ611381,2022-12-29
PQ611382,2023-02-02
PQ611383,2023-02-25
PQ611384,2023-03-10
PQ611385,2023-03-15
PQ611386,2023-04-23
PQ611387,2023-03-15
PQ187621,2008-09-25
PQ187622,2009-10-27
PQ187623,2009-10-28
PQ187624,2010-08-04
PQ187625,2010-11-23
PQ187626,2018-01-08
PQ187627,2018-02-14
PQ187628,2017-02-01
PQ037240,2023-03
PQ037243,2023-03
LC823189,2023
LC817382,2023
PP442073,2022
PP442074,2022
PP442075,2022
PP442076,2022
PP442077,2022
PP442078,2022
PP442079,2022
PP442080,2022
PP442081,2022
PP442082,2022
PP442083,2022
PP442084,2022
PP442085,2022
PP442086,2022
PP442087,2022
PP442088,2022
PP442089,2022
PP442090,2022
PP442091,2022
PP442092,2022
PP442093,2022
PP442094,2022
PP442095,2022
PP442096,2022
PP442097,2022
PP442098,2022
PP442099,2022
PP442100,2022
PP442101,2022
PP442102,2022
PP442103,2022
PP442104,2022
PP442105,2022
PP442106,2022
PP442107,2022
PP442108,2022
PP442109,2022
PP442110,2022
PP187314,2021-06-01
PP100766,2021-09-15
OR833061,2019-12
OR266947,2022-03-22
LC756668,2018
ON461782,2019-12-19
ON461783,2019-12-21
ON461784,2019-12-31
ON461785,2020-01-02
ON461786,2020-01-07
ON461787,2020-01-09
ON461788,2020-01-16
ON461789,2020-01-20
ON461790,2020-01-28
ON461791,2020-01-29
ON461792,2020-02-03
ON461793,2020-02-10
ON553965,2016
ON553966,2016
ON553967,2016
ON553968,2016
ON553969,2016
ON553970,2016
ON553971,2016
ON553972,2016
ON553973,2016
ON553974,2016
ON553975,2016
ON553976,2016
ON553977,2016
ON553978,2016
ON553979,2016
ON553980,2016
ON553981,2016
ON553982,2016
ON553983,2016
ON553984,2017
ON553985,2017
ON553986,2017
ON553987,2017
ON553988,2017
ON553989,2017
ON553990,2017
ON553991,2017
ON553992,2017
ON553993,2017
ON553994,2018
ON553995,2018
ON553996,2018
ON553997,2018
ON553998,2018
ON553999,2018
ON554000,2018
ON554001,2018
ON554002,2018
ON554003,2018
ON554004,2018
ON554005,2018
ON554006,2018
ON554007,2017
ON554008,2018
ON554009,2018
ON554010,2018
ON554011,2018
ON554012,2018
ON554013,2018
ON554014,2018
ON554015,2018
ON554016,2018
ON554017,2018
ON554018,2018
ON554019,2018
ON554020,2018
ON554021,2019
ON554022,2019
MZ221193,2017
MG426000,2015-01-16
MG426001,2015-01-16
MG426002,2013-12-25
MG426003,2014-08-14
MG426004,2016-01-13
MG426005,2016-01-27
MG426006,2012-07-15
MG426007,2014-10-09
MG426008,2013-08-06
MG426009,2014-10-11
MG426010,2015-01-20
MG426011,2016-01-17
MG426012,2009-10-31
MG426013,2010-07-20
MG426014,2012-01-04
MG426015,2010-06-20
MG426016,2010-08-10
MG426017,2016-11-23
MG426018,2016
OK073075,2014
OK073076,2017
LC720428,2019
MZ682627,2017-06
LC687394,2018
LC687395,2018
LC687396,2019
LC687397,2019
LC687401,2021
LC687402,2021
MW587039,2017-12
OK625405,2017
MW202337,2018
MW202338,2018
LC654455,2018
MT492197,2012
MT492198,2012
MT501720,2012
MT501721,2012
MT118686,2019
MT118694,2019
LC488388,2018
LC488389,2018
LC488390,2017
MK342125,2018-08-01
MK342126,2018-07-06
MK342127,2018-07-03
MK342128,2018-08-01
MK342129,2018-08-15
MK342130,2018-08-15
MK342131,2018-08-01
MK342132,2018-07-06
MK342133,2018-08-01
MN306018,2018
MN306040,2019
MK334043,2018-08-15
MK334044,2018-07-13
MK334045,2018-08-14
MK334046,2018-09-01
MK334047,2018-07-25
MN026166,2018-01-29
KM055632,2008
KM055633,2010
KM055634,2008
KM055635,2008
KM055636,2008
KM055637,2008
KM055638,2007
KM055639,2007
KM055640,2007
KM055641,2007
KM055642,2007
KM055643,2008
KM055644,2007
KM055645,2008
KM055646,2008
KM055647,2007
KM055648,2008
KM055649,2008
KM055650,2008
MG356413,2008-03-18
MG356414,2010-05-11
MG356415,2010-05-14
MG356416,2010-05-15
MG356417,2010-05-18
MG356418,2010-05-19
MG356419,2010-05-20
MG356420,2010-05-20
MG356421,2010-05-20
MG356422,2010-05-21
MG356423,2010-05-24
MG356424,2010-06-01
MG356425,2010-06-04
MG356426,2010-06-04
MG356427,2010-06-20
MG356428,2010-08-09
MG356429,2011-03-28
MG356430,2011-03-30
MG356431,2011-05-12
MG356432,2011-05-20
MG356433,2011-06-06
MG356434,2011-07-26
MG356435,2012-06-15
MG356436,2012-07-27
MG356437,2012-08-21
MG356438,2012-11-19
MG356439,2013-04-08
MG356440,2013-04-12
MG356441,2013-05-03
MG356442,2013-05-04
MG356443,2013-05-25
MG356444,2013-05-26
MG356445,2013-06-17
MG356446,2013-06-18
MG356447,2013-12-09
MG356448,2014-01-21
MG356449,2014-01-24
MG356450,2014-01-26
MG356451,2014-02-21
MG356452,2014-05-27
MG428699,2010-05-19
MG428700,2010-06-01
MG428701,2010-06-04
MG428702,2010-05-11
MG428703,2010-06-01
MG428704,2010-05-20
MG428705,2010-05-21
MG428706,2010-05-24
MG428707,2010-05-20
KY862035,2015-02-15
KY862036,2015-01-05
KY862037,2014-01-03
KY862038,2014-03-16
KY862039,2013-02-01
KY862040,2013-03-20
KY862041,2012-02-17
KY862042,2012-02-01
KY862043,2011-10-08
KY862044,2011-02-21
KY862045,2010-12-17
KY862046,2010-10-05
KY862047,2009-04-24
KY862048,2009-01-08
KY862049,2008-02-19
KY862050,2008-02-15
KY862051,2005-02-23
KY862052,2005-01-24
KY862053,2004-12-18
KY862054,2004-10-11
MG772808,2014-11-25
KX866386,2006-01-25
KX866387,2006-03-12
KX866388,2007-01-05
KX866389,2007-02-18
KX866390,2007-03-03
KX866391,2007-03-27
KX866392,2007-04-15
KX866393,2008-02-24
KX866394,2008-03-14
KY983586,2015
KY829118,2015
KY554967,2016
KY554968,2016
KY554969,2016
KY554970,2016
KY554971,2016
KY674915,2016
KY674916,2016
KX179494,2015-01-21
KX179495,2015-01-22
KX179496,2015-01-27
KX179500,2015-09
KT359872,2012
KT359873,2012
KT359874,2012
KT359875,2012
