ID,Organism,Strain,Molecule product,DB xref,location
GQ856808.1,Human coronavirus NL63,CU_706,N/A,taxon:277944,Hong Kong
KT359891.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
AY758298.1,Human coronavirus NL63,BE03-21596,N/A,taxon:277944,Belgium
KM077073.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
PQ611353.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
EF507749.1,Human coronavirus NL63,Caen179,N/A,taxon:277944,N/A
JQ765574.1,Human coronavirus NL63,NL63/DEN/2005/1862,N/A,taxon:277944,"USA: Denver, CO"
KM055635.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
ON553991.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
MG428706.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Kenya
KM055636.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
FJ656172.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
KM055647.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KT359888.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
ON554019.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
ON553981.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
LC687395.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Japan: Fukushima
PQ611321.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
PV260487.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
FJ656161.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
MG426010.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
AY766007.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Netherlands
PQ611372.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
KT359882.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
MG356415.1,Human coronavirus NL63,Kilifi/IP/002/14-May-2010,N/A,taxon:277944,Kenya
MG356429.1,Human coronavirus NL63,Kilifi/IP/006/28-Mar-2011,N/A,taxon:277944,Kenya
FJ656168.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
PP442091.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
LC687396.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Japan: Fukushima
JQ771058.1,Human coronavirus NL63,NL63/DEN/2010/31,N/A,taxon:277944,"USA: Denver, CO"
PQ187623.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Singapore
MG426005.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
MG356450.1,Human coronavirus NL63,Kilifi/IP/027/26-Jan-2014,N/A,taxon:277944,Kenya
NC_005831.2,Human coronavirus NL63,Amsterdam I,N/A,taxon:277944,N/A
KJ866144.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Thailand
MG426016.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KT359876.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
PQ611384.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
FJ656162.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
KJ796465.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Ghana
KX866393.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Greece
KT359886.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
PP442094.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KM077075.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
PP442107.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KT359877.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
PV260472.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
KF530111.1,Human coronavirus NL63,NL63/human/USA/901-24/1990,N/A,taxon:277944,"USA: Nashville, TN"
KM077074.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
KT359908.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
KJ866127.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Thailand
PV260479.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
MK342130.1,Human coronavirus NL63,ChinaGD11,N/A,taxon:277944,China
PQ611369.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
KT359901.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
FJ656160.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
PP442098.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
GQ856810.1,Human coronavirus NL63,CU_L182,N/A,taxon:277944,Hong Kong
KY862044.1,Human coronavirus NL63,N/A,N/A,taxon:277944,France
MG356440.1,Human coronavirus NL63,Kilifi/IP/017/12-Apr-2013,N/A,taxon:277944,Kenya
EF507748.1,Human coronavirus NL63,Caen114,N/A,taxon:277944,N/A
KJ768634.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Ghana
KM077089.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
PQ611328.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
MG426014.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
PQ683734.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Russia: Saint Petersburg
MK342125.1,Human coronavirus NL63,ChinaGD06,N/A,taxon:277944,China
KM055642.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
FJ656158.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
MN026166.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Kenya
ON461788.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
KT359878.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
PQ683724.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Russia: Saint Petersburg
PV260476.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
KM077091.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
KT359905.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
PP442104.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
PQ611305.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
KM055646.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
PQ611344.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
KM055637.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KM077076.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
KT359904.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
PQ611337.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
DQ231161.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
DQ231159.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
KF530107.1,Human coronavirus NL63,NL63/human/USA/911-56/1991,N/A,taxon:277944,"USA: Nashville, TN"
DQ462786.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Netherlands
DQ231166.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
JX513254.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Thailand
KT359903.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
KY862038.1,Human coronavirus NL63,N/A,N/A,taxon:277944,France
AY567487.2,Human coronavirus NL63,Amsterdam I,N/A,taxon:277944,N/A
ON554002.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
MG426013.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KM055649.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KT359893.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
OK073075.1,Human coronavirus NL63,H45,N/A,taxon:277944,China
ON554001.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
FJ656173.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
PQ683720.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Russia: Saint Petersburg
KM055641.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
DQ231165.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
PQ611362.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
DQ231160.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
KY674915.1,Human coronavirus NL63,N07-6B,N/A,taxon:277944,USA
PV484783.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
ON553973.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KJ866137.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Thailand
JX513253.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Thailand
MG426017.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KT359902.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
KM077083.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
PP442105.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
PQ611379.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
KY829118.1,Human coronavirus NL63,N07-262B,N/A,taxon:277944,USA
KJ866128.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Thailand
PV484789.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
PP442088.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
MG356448.1,Human coronavirus NL63,Kilifi/IP/025/21-Jan-2014,N/A,taxon:277944,Kenya
DQ462792.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Netherlands
ON553967.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
MG426008.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
ON553979.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
ON553999.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
PQ611324.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
PV260473.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
KF530112.1,Human coronavirus NL63,NL63/human/USA/0111-25/2001,N/A,taxon:277944,"USA: Nashville, TN"
AY994244.1,Human coronavirus NL63,N/A,N/A,taxon:277944,France
ON554018.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
EF507765.1,Human coronavirus NL63,Caen559,N/A,taxon:277944,N/A
PQ611341.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
JX513249.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Thailand
PQ587211.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
ON553986.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KY862053.1,Human coronavirus NL63,N/A,N/A,taxon:277944,France
MG356443.1,Human coronavirus NL63,Kilifi/IP/020/25-May-2013,N/A,taxon:277944,Kenya
PQ611293.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
ON553969.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KM077072.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
KT359894.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
ON553976.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
ON553974.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KY862039.1,Human coronavirus NL63,N/A,N/A,taxon:277944,France
KF530106.1,Human coronavirus NL63,NL63/human/USA/8712-17/1987,N/A,taxon:277944,"USA: Nashville, TN"
EU025124.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Italy
PQ611310.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
ON554003.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KJ866138.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Thailand
JQ765575.1,Human coronavirus NL63,NL63/DEN/2005/1876,N/A,taxon:277944,"USA: Denver, CO"
MG772808.1,Human coronavirus NL63,N/A,N/A,taxon:277944,South Korea
GQ856801.1,Human coronavirus NL63,CU_586,N/A,taxon:277944,Hong Kong
MK334044.1,Human coronavirus NL63,ChinaGD03,N/A,taxon:277944,China
JQ771060.1,Human coronavirus NL63,NL63/DEN/2010/36,N/A,taxon:277944,"USA: Denver, CO"
KT359909.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
JQ765573.1,Human coronavirus NL63,NL63/DEN/2005/1062,N/A,taxon:277944,"USA: Denver, CO"
AY758297.1,Human coronavirus NL63,BE03-1153,N/A,taxon:277944,Belgium
ON461782.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
FJ656166.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
DQ445912.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Netherlands
KJ866130.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Thailand
KT359883.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
KT359899.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
MG356436.1,Human coronavirus NL63,Kilifi/IP/013/27-Jul-2012,N/A,taxon:277944,Kenya
JQ765566.1,Human coronavirus NL63,NL63/DEN/2008/16,N/A,taxon:277944,"USA: Denver, CO"
PQ611317.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
MG356424.1,Human coronavirus NL63,Kilifi/HH/0511/01-Jun-2010,N/A,taxon:277944,Kenya
PV685475.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: WA
PV260475.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA: Massachusetts
AY994252.1,Human coronavirus NL63,N/A,N/A,taxon:277944,France
EF507766.1,Human coronavirus NL63,Caen566,N/A,taxon:277944,N/A
PQ683730.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Russia: Saint Petersburg
PQ611383.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
MK334047.1,Human coronavirus NL63,ChinaGD04,N/A,taxon:277944,China
LC687401.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Japan: Fukushima
KT359884.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Malaysia
KM055639.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
FJ656165.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Sweden
AB695189.1,Human coronavirus NL63,HCoV-NL63/Niigata.JPN/11-119,N/A,taxon:277944,Japan:Niigata
ON461787.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
PQ611313.1,Human coronavirus NL63,N/A,N/A,taxon:277944,United Kingdom
GQ856804.1,Human coronavirus NL63,CU_643,N/A,taxon:277944,Hong Kong
OK625405.1,Human coronavirus NL63,NCCP 43214,N/A,taxon:277944,South Korea
JX524171.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
PQ187628.1,Human coronavirus NL63,N/A,N/A,taxon:277944,Tanzania
KJ866131.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Thailand
ON461784.1,Human coronavirus NL63,N/A,N/A,taxon:277944,USA
KJ768640.1,Human coronavirus NL63,NL63,N/A,taxon:277944,Ghana
MK334043.1,Human coronavirus NL63,ChinaGD02,N/A,taxon:277944,China
GQ856802.1,Human coronavirus NL63,CU_604,N/A,taxon:277944,Hong Kong
PP442087.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
KY674916.1,Human coronavirus NL63,N07-64B,N/A,taxon:277944,USA
ON554014.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
PQ625861.1,Human coronavirus NL63,N/A,N/A,taxon:277944,China
