ID,Collection date
NC_006213,
PV837548,2017-03-13
PV837549,2017-03-11
PV837550,2017-03-03
PV837551,2017-03-15
PV837552,2018-04-06
PV837553,2018-03-14
PV837554,2019-02-15
PV837555,2019-02-13
PV837556,2019-03-06
PV837557,2019-03-06
PV837558,2019-04-23
PV837559,2019-12-04
PV837560,2019-11-25
PV685477,2024-02-02
PV685478,2024-02-03
PV685479,2024-02-04
PV685480,2024-04-04
PV685481,2024-04-04
PV685482,2024-04-05
PV685483,2024-04-07
PV685484,2024-08-09
PV685485,2024-07-10
PV685486,2024-03-12
PV685487,2024-06-12
PV685488,2024-08-16
PV685489,2024-06-19
PV685490,2024-04-23
PV685491,2024-03-24
PV685492,2024-03-26
PV685493,2023-06-28
PV685494,2024-02-28
PV685495,2023-11-29
PV717795,2025-02-20
PV717801,2025-02-14
PV717802,2025-02-16
PV717806,2025-02-13
PV717811,2025-02-15
PV660300,2024-01-28
PQ130400,2023-03-06
PQ510827,2023
PQ510828,2023
PQ629997,2023-07-13
PQ629998,2023-05-22
PQ629999,2023-05-17
PQ630000,2023-02-13
PQ630001,2023-02-13
PQ630002,2023-08-02
PQ630003,2023-06-02
PQ630004,2023-02-02
PQ630005,2023-01-31
PQ630006,2023-01-30
PQ630007,2023-01-30
PQ630008,2023-01-26
PQ630009,2023-01-23
PQ630010,2023-01-22
PQ630011,2023-01-18
PQ630012,2023-01-15
PQ630013,2023-09-01
PQ630014,2022-12-20
PQ630015,2022-12-18
PQ630016,2022-12-13
PQ630018,2022-11-17
PQ630020,2021-12-18
PQ630021,2021-12-14
PQ630022,2021-12-13
PQ630023,2021-09-12
PQ630024,2021-09-12
PQ630025,2021-03-12
PQ630026,2021-11-26
PQ630027,2021-11-17
PQ630028,2021-11-16
PQ630029,2021-11-16
PQ630030,2021-11-15
PQ630031,2021-10-29
PQ630032,2021-10-26
PQ630033,2021-10-20
PQ630034,2021-09-21
PQ630035,2021-06-09
PQ630036,2021-02-09
PQ630037,2021-08-26
PQ630038,2018-06-27
PQ630039,2018-04-06
PQ630040,2018-05-18
PQ630041,2018-04-05
PQ630043,2018-04-17
PQ630044,2018-04-15
PQ630045,2018-03-28
PQ630046,2018-03-24
PQ630049,2018-11-03
PQ630050,2018-02-22
PQ630051,2018-02-21
PQ630052,2018-02-20
PQ630053,2018-02-19
PQ630054,2018-02-15
PQ630055,2018-02-13
PQ630056,2018-02-13
PQ630057,2018-02-13
PQ630058,2018-12-02
PQ630059,2018-08-02
PQ630062,2018-06-02
PQ630063,2018-02-02
PQ630064,2018-01-02
PQ630065,2018-01-30
PQ630066,2018-01-30
PQ630067,2018-01-25
PQ630069,2018-01-24
PQ630070,2018-01-25
PQ630071,2018-01-23
PQ630072,2018-01-23
PQ630073,2018-01-23
PQ630074,2018-01-23
PQ630075,2018-01-22
PQ630077,2018-01-18
PQ630078,2018-01-17
PQ630079,2018-01-17
PQ630080,2018-01-16
PQ630081,2018-01-16
PQ630082,2018-01-16
PQ630083,2018-01-15
PQ630084,2018-01-15
PQ630085,2018-01-15
PQ630086,2018-01-15
PQ630087,2018-01-13
PQ630088,2018-01-13
PQ630089,2018-12-01
PQ630090,2018-12-01
PQ630091,2018-10-01
PQ630092,2018-11-01
PQ630093,2018-10-01
PQ630094,2018-11-01
PQ630095,2018-11-01
PQ630096,2018-10-01
PQ630097,2018-10-01
PQ630098,2018-10-01
PQ630099,2018-08-01
PQ630101,2018-08-01
PQ630102,2018-05-01
PQ630103,2018-05-01
PQ630104,2018-04-01
PQ630105,2018-04-01
PQ630106,2018-05-01
PQ630107,2018-04-01
PQ630108,2018-04-01
PQ630109,2018-03-01
PQ630110,2018-02-01
PQ630111,2018-02-01
PQ630112,2018-02-01
PQ630113,2018-02-01
PQ630114,2018-01-01
PQ630115,2017-12-29
PQ630116,2017-12-29
PQ630117,2017-12-28
PQ630118,2017-12-24
PQ630119,2017-12-26
PQ630120,2017-12-17
PQ630121,2017-12-17
PQ630122,2017-02-12
PQ630123,2017-11-30
PQ630125,2017-11-25
PQ630126,2017-11-20
PQ630127,2017-09-11
PQ630128,2017-09-18
PQ630129,2017-05-16
PQ630130,2017-05-14
PQ630131,2017-10-05
PQ630132,2017-04-24
PQ630133,2017-04-21
PQ630134,2017-04-19
PQ630135,2017-12-04
PQ630137,2017-03-14
PQ630138,2017-03-14
PQ630139,2017-03-13
PQ630140,2017-10-03
PQ630141,2017-06-03
PQ630142,2017-04-03
PQ630143,2017-02-24
PQ630144,2017-02-22
PQ630145,2017-02-18
PQ630146,2017-02-17
PQ630147,2017-02-17
PQ630148,2017-02-16
PQ630149,2017-02-15
PQ630150,2017-02-16
PQ630151,2017-02-16
PQ630152,2017-02-16
PQ630153,2017-02-13
PQ630154,2017-02-13
PQ630155,2017-10-02
PQ630156,2017-08-02
PQ630157,2017-08-02
PQ630158,2017-08-02
PQ630159,2017-08-02
PQ630160,2017-03-02
PQ630161,2017-06-02
PQ630162,2017-03-02
PQ630163,2017-02-02
PQ630164,2017-01-02
PQ630165,2017-01-30
PQ630166,2017-01-24
PQ630167,2017-01-24
PQ630168,2017-01-22
PQ630169,2017-01-17
PQ630170,2017-11-01
PQ630171,2017-09-01
PQ630172,2016-12-21
PQ630173,2016-12-20
PQ630174,2016-12-14
