ID,Organism,Strain,Molecule product,DB xref,location
PV660300.1,Human coronavirus OC43,N/A,N/A,taxon:31631,USA: Oregon
MN630534.1,Human coronavirus OC43,N/A,N/A,taxon:31631,Kenya: Kilifi
KF963236.1,Human coronavirus OC43,N/A,N/A,taxon:31631,France
KP198611.1,Human coronavirus OC43,1783A/10,N/A,taxon:31631,China: Beijing
LC823192.1,Human coronavirus OC43,N/A,N/A,taxon:31631,Japan: Fukushima
KF923910.1,Human coronavirus OC43,N/A,N/A,taxon:31631,China: Beijing
LC506888.1,Human coronavirus OC43,OC43s/Yamagata.JPN/2015-0284,N/A,taxon:31631,Japan:Yamagata
PQ630092.1,Human coronavirus OC43,N/A,N/A,taxon:31631,United Kingdom
MG197717.1,Human coronavirus OC43,WZ-522,N/A,taxon:31631,China
PQ630074.1,Human coronavirus OC43,N/A,N/A,taxon:31631,United Kingdom
PQ659993.1,Human coronavirus OC43,N/A,N/A,taxon:31631,Saudi Arabia: Riyadh
LC331071.1,Human coronavirus OC43,OC43s/Yamagata.JPN/2015-0087,N/A,taxon:31631,Japan:Yamagata
PQ630059.1,Human coronavirus OC43,N/A,N/A,taxon:31631,United Kingdom
PQ630011.1,Human coronavirus OC43,N/A,N/A,taxon:31631,United Kingdom
LC506861.1,Human coronavirus OC43,OC43s/Yamagata.JPN/2015-0151,N/A,taxon:31631,Japan:Yamagata
LC506756.1,Human coronavirus OC43,OC43s/Yamagata.JPN/2009-0063,N/A,taxon:31631,Japan:Yamagata
MW532108.1,Human coronavirus OC43,OC43/China/07/2017,N/A,taxon:31631,China
KX447776.1,Human coronavirus OC43,N/A,N/A,taxon:31631,China
PQ630067.1,Human coronavirus OC43,N/A,N/A,taxon:31631,United Kingdom
LC506809.1,Human coronavirus OC43,OC43s/Yamagata.JPN/2012-0781,N/A,taxon:31631,Japan:Yamagata
MN026164.1,Human coronavirus OC43,N/A,N/A,taxon:31631,Kenya
