ID,Collection date
NC_048213,2003
NC_001451,
PP949491,2021
PP949492,2021
PP949493,2021
PP949494,2021
PP949495,2021
PP949496,2021
PP949497,2022
PP949498,2022
PP949499,2022
PP949500,2022
PP949501,2022
PP949502,2019
PP949503,2019
PP949504,2019
PP949505,2019
PP949506,2019
PP949507,2019
PP949508,2019
PP949509,2019
PP949510,2019
PP949511,2019
PP949512,2018
PP949513,2018
PP949514,2018
PP949515,2018
PP949516,2018
PP949517,2018
PP949518,2018
PP949519,2018
PP949520,2018
PP949521,2018
PP949522,2018
PP949523,2018
PP949524,2018
PP949525,2018
PP949526,2018
PP949527,2018
PP949528,2020
PP949529,2020
PP949530,2020
PP949531,2020
PP949532,2021
PP949533,2020
PP949534,2019
PP949535,2019
PP949536,2018
PP949537,2019
PP949538,2020
PP949539,2019
PP949540,2019
PP949541,2019
PP949542,2018
PP949543,2020
PP949544,2019
PP949545,2019
PP949546,2019
PP949547,2020
PP949548,2021
PP949549,2021
PP949550,2021
PP949551,2021
PP949552,2020
PP949553,2021
PP949554,2021
PP949555,2019
PP949556,2020
PP949557,2019
PP949558,2019
PP949559,2020
PP949560,2020
PP949561,2021
PP949562,2020
PP949563,2021
PP949564,2021
PP949565,2021
PP949566,2021
PP949567,2021
PP949568,2021
PP949569,2021
PV818074,2025-03
PV818075,2025-02
PV818076,2025-04
PV782911,2025
PV782913,2025
PV638764,2025-05
PV638765,2025-05
PV638766,2025-05
PV638767,2025-05
PV638768,2025-05
PV657375,2025-03
PV657376,2025-03
PV612457,2025
PV612458,2025
PP585473,2020-03
PP585474,2020
PV600632,2025-03-20
PV600633,2025-03-20
PV600634,2025-03-20
PV600635,2025-03-20
PV600638,2024-09-28
PV600358,2022-12-06
LC849712,2023
LC849713,2023
LC849714,2023
LC849715,2024
LC849716,2024
LC849717,2024
PV568090,2025-03-20
PV568091,2025-03-20
PV568092,2025-03-20
PQ510737,2008
PQ510738,2009
PQ510739,2017
PQ510740,2023
PQ510741,2019-12-19
PQ510742,2021
PQ510743,2019
PQ510744,2008
PQ510745,2020
PQ510746,2021
PQ510747,2023
PQ510748,2022
PQ510749,2023
PQ510750,2016
PQ510751,2019-10-20
PQ510752,2018
PQ510753,2006
PQ510754,2006
PQ510755,2006
PQ510756,2006
PQ510757,2006
PQ510758,2007
PQ510759,2007
PQ510760,2007
PQ510761,2007
PQ510762,2007
PQ510763,2008
PQ510764,2008
PQ510765,2008
PQ510766,2008
PQ510767,2011
PQ510768,2017
PQ510769,2017
PQ510770,2019-11-21
PQ510771,2019-12-19
PQ510772,2019-12-27
PQ510773,2021-12-24
PQ510774,2022-04-25
PQ510775,2022-04-25
PQ510776,2022-06-01
PQ510777,2022-07-16
PQ510778,2022-08-24
PQ510779,2022-08-24
PQ510780,2011
PQ510781,2018-10-30
PQ510782,2002
PQ510783,2023
PQ510784,2019-09-15
PQ510785,1997
PQ510786,2005
PQ510787,2007
PQ510788,2022-05-24
PQ510789,2021-12-25
PQ510790,2021-12-25
PQ510791,2021-12-25
PQ510792,2021-10-28
PQ510793,2021-10-28
PQ510794,2021-10-28
PQ510795,2021-10-28
PQ510796,1996
PQ510797,2007
PQ510798,1996
PQ510799,2006
PQ510800,2006
PQ510801,1996
PQ510802,2019-12-11
PQ510803,2021-11-29
PV547708,2024-06
PV547709,2024-06
PV547710,2024-06
PV547711,2024-06
PV547712,2024-06
PV547713,2024-06
PV547714,2024-06
PV547715,2024-06
PV547716,2024-06
PV547717,2024-06
PV547718,2024-06
PV547719,2024-06
PV547720,2024-06
PQ387060,2007
PQ387061,2021-01-28
PQ387062,2017
PQ387063,2018
PQ387064,2021-09-25
PQ387065,2020-07-02
PQ387066,2020-07-02
PQ387067,2020-07-02
PQ387068,2020-12-26
PQ387069,2020-12-26
PQ387070,2020-09-12
PQ387071,2021-08-08
PQ387072,2021-08-29
PQ387073,2021-11-26
PQ387074,2021-11-26
PQ387075,2021-06-17
PQ387076,2021-04-16
PQ387077,2022-06-10
PQ387078,2023
PQ387079,2017
PQ431509,2022
PQ431510,2023
PQ431511,2023
PQ431512,2023
PQ431513,2023
PQ431514,2023
PQ431515,2024
PQ431516,2024
PV296170,2025
PV361550,2021
PV361551,2021
PV361552,2021
PV361553,2021
PV361554,2021
PV361555,2021
PV361556,2021
PV361557,2021
PV361558,2021
PV361559,2021
PV361560,2021
PV361561,2021
PV361562,2021
PV361563,2021
PV361564,2021
PV361565,2021
PV361566,2021
PV361567,2021
PV361568,2021
PQ389500,2023-08-27
PQ389501,2024-01-15
PQ389502,2024-01-15
PQ389503,2024-01-27
PQ389504,2024-01-27
PP479824,2021
PV341019,2024-01
PV341020,2024-01
PV341021,2023-12
PV341022,2024-02
PV341023,2024-02
PV345593,2024-01
PV345594,2024-01
PV345595,2023-12
PV345596,2024-02
PV345597,2024-02
PV192892,2025-01-09
PV192893,2025-01-13
PV185508,2024
PQ902092,
MW632121,2018-12-07
MW632122,2018-12-07
MW632123,2008-04-03
PV102524,2023-06
LC853409,2008
LC853410,2014
LC853411,2014
LC853412,2014
LC853413,2014
MW582819,2020-09-18
PQ659106,2023-06
PQ679038,2023
PQ468962,2023-10-19
PQ468963,2023-10-10
PP840344,2023-05-01
PP840345,
PP840346,2023-02-01
PP840347,2023-01-07
PQ586403,
PQ586404,
PQ586405,
PQ586406,
PQ586407,
PQ586408,
PQ586409,
PQ586410,
PP100175,2010
PP100176,2013
PQ067232,2024
PQ067233,2024
PQ067234,2024
PQ067235,2024
PQ067236,2024
PQ067237,2024
PQ067238,2024
PQ067239,2024
PQ511051,2024-02-08
PQ511052,2024-02-08
PQ562874,2024
PQ553913,2022-03
PP871397,2023-08-21
PQ461634,2024-05
PQ461635,2024-04
PQ461636,2023-12
PQ461637,2024-06
PQ461638,2024-03
PQ569623,2024
PQ373967,2024
PQ373968,2024
PQ373969,2024
PQ373970,2024
PQ373971,2024
PQ373972,2024
PQ373973,2024
PQ373974,2024
PQ373975,2024
PQ373976,2024
PQ231054,2022
OK318992,2020
OK318993,2020
OK318994,2020
OK318995,2020
OK318996,2020
OK318997,2020
OK318998,2020
OK318999,2020
OK319000,2020
OK319001,2020
OK319002,2020
OK319003,2020
OK319004,2020
OK319005,2020
OK319006,2021
OK319007,2021
OK319008,2021
OK319009,2021
OK319010,2021
OK319011,2021
OK319012,2021
OK319013,2020
OK319014,2020
OK319015,2020
PQ140053,2024-02
PQ197059,2024-07-29
PQ197060,2024-07-29
PQ197061,2024-07-29
PQ197062,2024-07-29
PQ197063,2024-07-29
PQ197064,2024-07-29
PQ197065,2024-07-29
PQ197066,2024-07-29
PQ197067,2024-07-29
PQ197068,2024-07-29
PQ197069,2024-07-29
PQ197070,2024-07-29
PQ197071,2024-07-29
PQ197072,2024-07-29
PQ197073,2024-07-29
PQ197074,2024-07-29
PQ197075,2024-07-29
PQ197076,2024-07-29
PQ197077,2024-07-29
PQ197078,2024-07-29
PQ197079,2024-07-29
PQ197080,2024-07-29
PQ197081,2024-07-29
PQ197082,2024-07-29
PQ197083,2024-07-29
PQ197084,2024-07-29
PQ197085,2024-07-29
PQ197086,2024-07-29
PQ197087,2024-07-29
PQ197088,2024-07-29
PQ197089,2024-07-29
PQ197090,2024-07-29
PQ197091,2024-07-29
PQ197092,2024-07-29
PQ197093,2024-07-29
PQ197094,2024-07-29
PQ197095,2024-07-29
PQ197096,2024-07-29
PQ197097,2024-07-29
PQ197098,2024-07-29
PQ197099,2024-07-29
PQ197100,2024-07-29
PQ197101,2024-07-29
PQ197103,2023-05-12
PQ197106,2024-07-29
PQ197108,2024-07-29
PQ140480,2024
PQ140481,2024
PQ140482,2024
PQ140483,2024
PQ140484,2024
PQ178996,2011-07-25
PQ046065,2018
PQ046066,2018
PQ046067,2020
PQ046068,2020
PQ046069,2021
PQ046070,2021
PQ046071,2021
PQ046072,2021
PQ046073,2021
PQ046074,2021
PQ046075,2021
PQ046076,2021
PQ046077,2021
PQ046078,2021
PQ046079,2022
PQ046080,2022
PQ046081,2022
PQ046082,2022
PQ046083,2022
PQ046084,2022
PQ046085,2023
PQ058538,2021-03
PQ058539,2021-03
PQ058540,2021-03
PQ058541,2021-04
PQ058542,2021-04
PQ058543,2021-04
PQ058544,2021-04
PQ058545,2021-04
PQ058546,2021-04
PQ058547,2021-06
PQ058548,2020-06
PQ058549,2020-07
PQ058550,2020-07
PQ058551,2020-08
PQ058552,2020-09
PQ058553,2020-10
PQ058554,2020-10
PQ058555,2020-11
PQ058556,2021-05
PQ058557,2021-06
PQ058558,2021-07
PQ058559,2021-08
PQ058560,2021-08
PQ058561,2021-08
PQ058562,2021-09
PQ058563,2021-11
PQ058564,2021-11
PQ058565,2021-11
PQ058566,2022-02
PQ058567,2021-12
PQ058568,2022-03
PQ058569,2022-08
PQ058570,2022-11
PQ058571,2023-01
PQ058572,2023-01
PQ058573,2023-07
PQ058574,2023-07
PQ058575,2023-11
PQ058576,2023-06
PQ058577,2023-11
PQ058578,2023-12
PQ058579,2023-06
PQ058580,2023-05
PQ058581,2023-08
PQ058582,2023-09
PQ058583,2023-01
PQ058584,2023-12
PQ058585,2023-11
PP987313,2008
OR161340,2022-08-31
OR161341,2022-10-17
OR161342,2022-10-17
OR161343,2022-12-09
OR161344,2022-12-09
OR161345,2022-12-09
OR161346,2022-12-09
OR161347,2022-12-09
OR161348,2022-12-09
OR161349,2022-12-20
OR161350,2022-12-21
OR161351,2023-02-08
OR161352,2023-02-28
OR161353,2023-02-28
OR161354,2023-02-27
OR161355,2023-03-08
OR161356,2023-03-13
OR161357,2023-03-13
OR161358,2023-03-13
OR161359,2023-05-04
OR161360,2023-05-04
OR161361,2023-05-04
OR453393,2019
OR453394,2017
OR453395,2017
OR453396,2016
OQ199494,2018-10-31
OQ199495,2018-10-13
OQ199496,2018-10-13
OQ199497,2018-10-13
OQ199498,2018-08-03
OQ199499,2018-07-14
OQ199500,2018-05-31
OQ199501,2018-05-25
OQ199502,2018-01-27
OQ199503,2020-04-03
OQ199504,2019-11-22
OQ199505,2020-04-15
OQ199506,2020-02-25
OQ199507,2018-08-03
PP841395,2022-06-10
PP783617,2018
OQ744449,2021
OQ730098,2021
OQ730099,2021
OQ730100,2021
OQ730101,2021
OR778292,2023-05-01
PP803682,2024-01-14
PP803683,2024-01-14
PP817796,2021-12-15
OQ791138,2022-11-29
PP729068,2023-03-22
PP737794,2018
OQ304463,2022-03-05
OQ304464,2021-12-15
PP374733,2023-04-17
PP374734,2023-09-15
OQ790034,
OQ790038,
OQ790039,
OQ790040,
OQ790041,
OQ790042,
OR742726,2011
OR742727,2013
OR742728,2020
OR742729,2013
OR742730,2013
OR742731,2013
OR742732,2014
OR742733,2014
OR742734,2019
OR742735,2019
OR742736,2014
OR742737,2011
OR742738,2014
OR742739,2010
OR742740,2015
OR742741,2020
OR742742,2020
OR742743,2010
OR742744,2011
OR742745,2016
OR742746,2018
OR742747,2018
OR742748,2012
OR742749,2013
OR742750,2013
OR742751,2013
OR742752,2014
OR742753,2012
OR742754,2012
OR742755,2013
OR742756,2017
OR742757,2014
OR742758,2012
OR742759,2015
OR742760,2016
OR742761,2014
OR742762,2014
OR742763,2012
OR742764,2019
OR742765,2011
OR742766,2013
OR704347,2011
OR704348,2013
OR727107,2012
OR727108,2015
OR727109,2016
OR727110,2018
OR727111,2013
PP708694,2024
PP622761,2018
PP669338,2021
OR433086,2020-02-13
OQ653547,2021-11-11
OQ653548,2021-10-16
OQ632769,2022-11-15
PP504785,2023-08-03
OQ694005,2019-07
OQ694006,2019-07
OQ694007,2019-07
OQ694008,2019-07
OQ694009,2019-07
OQ694010,2019-07
OQ694011,2019-07
OQ694012,2019-07
OQ694013,2019-07
OQ694014,2019-07
OQ694015,2019-07
OQ694016,2019-07
OQ694017,2019-07
OQ694018,2019-07
OQ694019,2019-07
OQ694020,2019-07
OQ694021,2019-07
OQ694022,2019-07
OQ694023,2019-07
PP516426,2023-07-14
PP438798,2020-05-01
PP438799,2021-08-01
PP438800,2021-10-01
PP373115,2021
PP168836,
OQ320436,2021-11-21
PP212853,2021
PP208634,2023
PP208635,2023
PP208636,2023
PP208637,2023
PP208638,2023
PP208639,2023
PP208640,2023
PP208641,2023
PP208642,2023
PP208643,2023
PP208644,2023
PP208645,2023
PP208646,2023
PP208647,2023
PP208648,2023
PP208649,2023
PP208650,2023
PP208651,2023
PP208652,2023
PP208653,2023
PP208654,2023
PP208655,2023
PP208656,2023
PP208657,2023
PP208658,2023
PP208659,2023
PP208660,2023
PP208661,2023
PP208662,2023
PP208663,2023
PP208664,2023
PP208665,2023
PP208666,2023
PP208667,2023
PP208668,2023
PP208669,2023
PP208670,2023
PP208671,2023
PP208672,2023
PP208673,2023
PP208674,2023
PP208675,2023
PP208676,2023
PP208677,2023
PP208678,2023
PP208679,2023
PP208680,2023
PP208681,2023
PP208682,2023
PP208683,2023
PP208684,2023
PP208685,2023
PP208686,2023
PP208687,2023
PP208688,2023
PP208689,2023
PP208690,2023
PP208691,2023
PP208692,2023
PP208693,2023
PP208694,2023
PP208695,2023
PP208696,2023
PP208697,2023
PP208698,2023
PP208699,2023
PP208700,2023
PP208701,2023
PP208702,2023
PP208703,2023
PP208704,2023
PP208705,2023
PP208706,2023
PP208707,2023
PP208708,2023
PP208709,2023
PP208710,2023
PP208711,2023
PP208712,2023
PP208713,2023
PP208714,2023
PP208715,2023
PP208716,2023
PP208717,2023
PP208718,2023
PP208719,2023
PP208720,2023
PP208721,2023
PP208722,2023
PP208723,2023
PP208724,2023
PP208725,2023
PP208726,2023
PP208727,2023
PP208728,2023
PP208729,2023
PP208730,2023
PP208731,2023
PP208732,2023
PP208733,2023
PP208734,2023
PP208735,2023
PP208736,2023
PP208737,2023
PP208738,2023
PP208739,2023
PP208740,2023
PP208741,2023
PP208742,2023
PP208743,2023
PP208744,2023
PP208745,2023
PP208746,2023
PP208747,2023
PP208748,2023
PP208749,2023
PP208750,2023
PP208751,2023
PP208752,2023
PP208753,2023
PP208754,2023
PP208755,2023
PP208756,2023
PP208757,2023
PP208758,2023
PP208759,2023
PP208760,2023
PP208761,2023
PP208762,2023
PP208763,2023
PP208764,2023
PP208765,2023
PP208766,2023
PP208767,2023
PP208768,2023
PP208769,2023
PP208770,2023
PP208771,2023
PP208772,2023
PP208773,2023
PP208774,2023
PP208775,2023
PP208776,2023
PP208777,2023
PP208778,2023
PP208779,2023
PP208780,2023
PP208781,2023
PP208782,2023
PP208783,2023
PP208784,2023
PP208785,2023
PP208786,2023
PP208787,2023
PP208788,2023
PP208789,2023
PP208790,2023
PP208791,2023
PP208792,2023
PP208793,2023
PP208794,2023
PP208795,2023
PP208796,2023
PP208797,2023
