ID,Organism,Strain,Molecule product,DB xref,location
OR639372.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KY872903.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
OP433623.1,Infectious bronchitis virus,PHR4BBR2104QPT5,N/A,taxon:11120,Philippines
OQ790046.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
MT162608.1,Infectious bronchitis virus,I1002/19,N/A,taxon:11120,China
MF447674.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
AM236202.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Russia
ON149148.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OR638530.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KX107711.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
MG545598.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Chile
HQ123355.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Iran
OL688882.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,South Korea
KJ196137.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP674559.1,Infectious bronchitis virus,CK/NL/D091856/2020,N/A,taxon:11120,Netherlands
MH397155.1,Infectious bronchitis virus,gammaCoV/ck/China/I0659/17-1,N/A,taxon:11120,China
KY872979.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
MH509469.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KY872978.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Italy
KX107725.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
MN887187.1,Infectious bronchitis virus,gCoV/Ck/Poland/G205/2019,N/A,taxon:11120,Poland
KC577383.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,China
OP673944.1,Infectious bronchitis virus,CK/NL/D090628/2015,N/A,taxon:11120,Netherlands
OR638654.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
KJ196089.1,Infectious bronchitis virus,N/A,N/A,taxon:11120,Canada
OP674953.1,Infectious bronchitis virus,CK/NL/D090547/2015,N/A,taxon:11120,Netherlands
