ID,Collection date
NC_019843,2012-06-13
NC_038294,2012-09-11
PV719792,2022-12
PV719793,2022-12
PP086048,2019
OR987487,2019-01-23
OR987488,2019-01-25
OR987489,2019-01-27
OR987490,2019-01-28
OR987491,2019-02-07
OR987492,2019-02-10
OR987493,2019-02-12
OR987494,2019-02-14
OR987495,2019-02-14
OR987496,2019-02-15
PV000776,2016
PP952162,2023-11-13
PP952163,2023-12-23
PP952164,2023-11-19
PP952165,2023-11-13
PP952166,2023-11-19
PP952167,2023-11-19
PP952168,2023-12-23
PP952169,2023-11-13
PP952170,2023-11-13
PP952171,2023-11-19
PP952172,2023-12-23
PP952173,2023-12-23
PP952174,2024-01-09
PP952175,2024-01-09
PP952176,2024-01-09
PP952177,2024-01-09
PP952178,2024-01-09
PP952179,2024-01-09
PP952180,2024-01-09
PP952181,2024-01-09
PP952182,2024-01-05
PP952183,2024-01-05
PP952184,2024-01-05
PP952185,2024-01-05
PP952186,2024-01-05
PP952187,2023-12-07
PP952188,2023-12-23
PP952189,2023-12-07
PP952190,2023-12-07
PP952191,2023-12-07
PP952192,2023-12-07
PP952193,2023-12-07
PP952194,2023-12-07
PP952195,2023-12-07
PP952196,2023-12-07
PP952197,2023-12-23
PP952198,2023-12-07
PP952199,2023-12-07
PP952200,2024-01-05
PP952201,2023-12-07
PP952202,2024-01-05
PQ538787,2021
PQ538788,2021
PQ538789,2021
PP928422,2020-04-08
PP504664,2023-01-16
PP504665,2014-02-27
OR742167,2022-09-15
OR742168,2022-09-21
OR742169,2022-09-16
OR742170,2022-10-07
OR742171,2022-10-03
OR742172,2022-10-06
OR742173,2022-10-04
OR742174,2023-01-24
OR742175,2023-02-03
OQ423283,2016
OQ423284,2016
OQ423285,2017
OQ423286,2017
OQ423287,2017
OQ297692,2022-08
OP866274,2017-01-12
OP866275,2017-01-18
OP866276,2017-12-07
OP866277,2017-12-07
OP866278,2017-12-07
OP866279,2017-12-27
OP866280,2017-12-27
OP866281,2017-12-27
OP866282,2017-10-11
OP866283,2017-10-09
OP866284,2017-10-11
OP866285,2019-09-23
OP866286,2019-09-23
OP866287,2019-10-29
OP866288,2019-11-24
OP866289,2019-11-19
OP866290,2019-11-19
OP866291,2019-11-20
OP866292,2019-11-21
OP866293,2019-11-22
OP866294,2019-11-23
OP906306,2013
MW322769,2020-01
MW322770,2020-01
MW322771,2020-01
MW322772,2020-01
MW322773,2020-01
MW322774,2020-01
MW322775,2020-01
MW322776,2020-01
MW322777,2020-01
MW322778,2020-01
MW322779,2020-01
MW322780,2020-01
MW322781,2020-01
MW322782,2020-01
OP712623,2015-01-06
OP712624,2016-09-07
OP712625,2016-09-07
OP654178,2015-01-06
OP654179,2015-01-01
OK094446,
OK094447,
OK094448,2019-04-30
OK094449,2019-04-30
OK094450,2019-04-30
OK094451,
OK094452,2019-04-30
OK094453,2019-04-30
OK094454,
MZ268404,2019-11-24
MZ268405,2020-03-19
ON325306,2015-08-15
ON325307,2020
ON325308,2021
OL622035,2017-01-03
OL622036,2019-04-03
MW545527,2015
MW545528,2015
MT818221,2019-05-30
MT226600,2017-02-01
MT226601,2017-02-01
MT226602,2017-02-01
MT226603,2017-02-01
MT226604,2017-02-01
MT226605,2017-02-01
MT226606,2017-02-01
MT226607,2017-02-01
MT361640,
MN758606,2017
MN758607,2017
MN758608,2017
MN758609,2017
MN758610,2017
MN758611,2017
MN758612,2017
MN758613,2017
MN758614,2017
MN654970,2016-07
MN654971,2015-12
MN654972,2016-06
MN654973,2015-11
MN654974,2017-05
MN654975,2016-07
MN654976,
MN654977,2017-05
MN654978,2016-06
MN654979,2017-05
MN654980,2016-03
MN654981,
MN654982,2017-01
MN654983,2017-12
MN654984,
MN654985,
MN654986,2017-05
MN654987,2017-05
MN654988,
MN654989,2017-01
MN654990,
MN654991,2015-11
MN654992,2016-07
MN654993,
MN654994,2017-04
MN654995,2018-03-07
MN654996,2016-04
MN654997,
MN654998,2017-05
MN654999,2017-12
MN655000,2017-02
MN655001,2018-04-02
MN655002,2017-05
MN655003,2017-05
MN655004,
MN655005,2017-12
MN655006,2018-03-07
MN655007,
MN655008,2017-05
MN655009,2017-12
MN655010,2017-05
MN655011,2016-06
MN655012,2017-05
MN655013,
MN655014,
MN655015,
MN655016,2015-11
MN655017,2016-03
MW086527,2016-05
MW086528,2016-05
MW086529,2016-05
MW086530,2016-05
MW086531,2016-05
MW086532,2016-05
MW086533,2016-05
MW086534,2016-05
MW086535,2016-05
MW086536,2016-05
MW086537,2016-05
MW086538,2016-05
MW086539,2016-05
MW086540,2016-05
MT675253,2015-02-18
MT675254,2015-02-23
MT675255,2015-02-23
MT675256,2015-02-25
MT675257,2015-02-27
MT675258,2015-02-28
MT675259,2015-02-28
MT675260,2015-03-03
MT675261,2015-03-03
MT675262,2015-03-04
MT675263,2015-03-04
MT675264,2015-03-08
MT675265,2015-03-08
MT675266,2015-03-09
MT675267,2015-03-01
MT675268,2015-03-02
MT675269,2015-03-02
MT675270,2015-03-02
MT576585,
MK910259,2016-02
MT387202,2015-05-20
MN481964,2014-04
MN481965,2014-04
MN481966,2014-04
MN481967,2014-05
MN481968,2014-05
MN481969,2014-06
MN481970,2014-04
MN481971,2014-04
MN481972,2014-04
MN481973,2014-04
MN481974,2014-04
MN481975,2014-04
MN481976,2014-04
MN481977,2014-04
MN481978,2014-04
MN481979,2015-09
MN481980,2015-09
MN481981,2015-09
MN481982,2015-11
MN481983,2015-11
MN481984,2015-11
MN481985,2015-11
MN481986,2015-11
MG987420,2013-07-20
MG987421,2014-05-08
MN541181,2018-05-14
MN541182,2018-05-14
MN541183,2018-05-14
MN541184,2018-05-14
MN541185,2018-05-14
MN541186,2018-05-14
MN541187,2018-05-14
MN541188,2018-05-14
MN541189,2018-05-14
MN541190,2018-05-14
MN541191,2018-05-14
MN541192,2018-07-18
MN541193,2018-07-18
MN541194,2018-08-01
MN541195,2018-07-19
MN541196,2018-07-15
MN541197,2018-07-25
MN541198,2018-05-14
MN541199,2018-07-14
MN541200,2018-07-18
MN541201,2018-07-19
MN541202,2018-07-18
MN541203,2018-07-18
MN541204,2018-07-18
MN541205,2017-12-05
MN541206,2017-03-06
MN541207,2017-03-27
MN541208,2017-03-27
MN541209,2017-03-27
MN541210,2017-03-27
MN541211,2017-03-27
MN541212,2017-03-27
MN541213,2017-03-27
MN541214,2017-03-27
MN541215,2017-11-12
MN541216,2017-09-20
MN541217,2017-09-20
MN541218,2017-09-20
MN541219,2017-02-21
MN541220,2016-12-11
MN541221,2016-12-11
MN541222,2016-12-13
MN541223,2017-12-11
MN541224,2016-12-11
MN541225,2016-12-11
MN541226,2016-12-11
MN541227,2016-12-11
MN541228,2016-12-13
MN541229,2017-09-20
MN541230,2016-12-11
MN541231,2016-12-11
MN541232,2016-12-11
MN541233,2016-12-12
MN541234,2016-12-11
MN541235,2016-12-11
MN541236,2016-12-13
MN541237,2017-02-21
MN541238,2017-03-06
MN541239,2017-03-27
MN541240,2017-04-20
MN541241,2017-03-06
MN541242,2017-03-05
MN541243,2016-12-12
MN541244,2018-01-01
MN541245,2016-12-12
MN541246,2016-12-12
MN541247,2016-12-12
MN541248,2016-12-12
MN541249,2016-12-12
MN541250,2016-12-12
MN541251,2016-12-13
MN541252,2016-12-13
MN541253,2016-12-13
MN541254,2016-12-13
MN541255,2016-12-13
MN541256,2016-12-13
MN541257,2017-02-21
MN541258,2016-12-11
MN541259,2016-12-11
MN541260,2016-12-11
MN541261,2016-12-28
MN541262,2016-12-28
MN541263,2016-12-28
MN541264,2016-12-28
MN541265,2016-12-28
MN541266,2016-12-13
MN541267,2017-03-05
MN541268,2017-03-05
MN541269,2017-03-05
MN541270,2017-03-06
MN541271,2017-03-21
MN541272,2017-04-02
MN541273,2017-04-02
MN541274,2017-04-02
MN541275,2017-04-02
MN541276,2017-04-02
MN541277,2017-04-20
MN541278,2017-04-20
MN541279,2017-04-20
MN541280,2017-05-07
MN541281,2017-06-06
MN541282,2017-11-12
MN541283,2017-12-26
MN541284,2016-12-28
MN541285,2016-12-13
MN541286,2016-12-12
MN541287,2016-12-12
MN541288,2016-12-11
