ID,Organism,Strain,Molecule product,DB xref,location
KT806005.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MK462252.1,Middle East respiratory syndrome-related coronavirus,Hu/Tabuk-KSA-153/2018,N/A,taxon:1335626,Saudi Arabia
KF600614.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KX443674.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Jordan
KP719928.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,United Arab Emirates
KJ573791.1,Middle East respiratory syndrome-related coronavirus,Oman30_2013,N/A,taxon:1335626,Oman
KT357811.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KP202216.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,United Arab Emirates
OP866277.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Ethiopia
PP952177.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia: Al Riyadh
MT361640.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,N/A
MN541198.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MF741834.1,Middle East respiratory syndrome-related coronavirus,Hu/Jordan-13030/2015,N/A,taxon:1335626,Jordan
OR742174.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Kenya
MN541191.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MF598629.1,Middle East respiratory syndrome-related coronavirus,camel/UAE_B37_2015,N/A,taxon:1335626,United Arab Emirates
KM027264.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
PP952186.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia: Al Quwayiyah
KR912192.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KT805971.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KT368888.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
KT806049.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MN481979.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,Saudi Arabia
MF598690.1,Middle East respiratory syndrome-related coronavirus,camel/UAE_B103_2015,N/A,taxon:1335626,United Arab Emirates
MF598686.1,Middle East respiratory syndrome-related coronavirus,camel/UAE_B99_2015,N/A,taxon:1335626,United Arab Emirates
MW545528.1,Middle East respiratory syndrome-related coronavirus,N/A,N/A,taxon:1335626,United Arab Emirates
