ID,Organism,Strain,Molecule product,DB xref,location
MH396489.1,Bovine coronavirus,N/A,N/A,taxon:11128,Iran
LC494191.1,Bovine coronavirus,TCG-32,N/A,taxon:11128,Japan
OP820534.1,Bovine coronavirus,N/A,N/A,taxon:11128,India
OQ821704.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
AB277111.1,Bovine coronavirus,Hokkaido/13/04,N/A,taxon:11128,Japan
LC494178.1,Bovine coronavirus,TCG-19,N/A,taxon:11128,Japan
AB450904.1,Bovine coronavirus,Kochi/3/04,N/A,taxon:11128,Japan
LC504665.1,Bovine coronavirus,A6-Aichi-2016,N/A,taxon:11128,Japan
OP186321.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
KF272914.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
OR454204.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OP037440.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
MN982174.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
KT318117.1,Bovine coronavirus,N/A,N/A,taxon:11128,France
MH043955.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Pennsylvania
MT346360.1,Bovine coronavirus,BOV19-NS-3Passage,N/A,taxon:11128,Brazil
OP037372.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
OR271241.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
KM677168.1,Bovine coronavirus,N/A,N/A,taxon:11128,Croatia
OP037438.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: South_Dakota
OP037390.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
MN650888.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
MH203066.1,Bovine coronavirus,MC199,N/A,taxon:11128,Viet Nam
MZ711358.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OR271247.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland
MN650885.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
MT975572.1,Bovine coronavirus,BCoV-GX-NN190313,N/A,taxon:11128,China
MK318162.1,Bovine coronavirus,N/A,N/A,taxon:11128,Uruguay
OP037427.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
LC494182.1,Bovine coronavirus,TCG-23,N/A,taxon:11128,Japan
EF424616.1,Bovine coronavirus E-AH65-TC,E-AH65-TC,N/A,taxon:422218,USA:Ohio
OP037391.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
DQ320763.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
PP156991.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ireland: Tipperary
JN795158.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
