ID,Organism,Strain,Molecule product,DB xref,location
MT114541.1,Canine coronavirus,B363_ZJ_2019,N/A,taxon:11153,China
PV246284.1,Canine coronavirus,N/A,N/A,taxon:11153,China
EF407993.1,Canine coronavirus,C21-12,N/A,taxon:11153,N/A
PV246300.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OQ351913.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281580.1,Canine coronavirus,CCoV/vaccine/passage9/clone109,N/A,taxon:11153,N/A
OQ407507.1,Canine coronavirus,N/A,N/A,taxon:11153,China
JQ422570.1,Canine coronavirus,TR/56/08/IIa/GR,N/A,taxon:11153,Greece
OQ623703.1,Canine coronavirus,N/A,N/A,taxon:11153,China
HQ339897.1,Canine coronavirus,Jackal/07,N/A,taxon:11153,Tanzania
OP858692.1,Canine coronavirus,N/A,N/A,taxon:11153,India
KT222990.1,Canine coronavirus,HRB-D6,N/A,taxon:11153,China
OQ540916.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281572.1,Canine coronavirus,CCoV/vaccine/passage8/clone100,N/A,taxon:11153,N/A
MZ173448.1,Canine coronavirus,CCoV/NC0521,N/A,taxon:11153,China
KP281506.1,Canine coronavirus,CCoV/vaccine/passage3/clone16,N/A,taxon:11153,N/A
KP281486.1,Canine coronavirus,CCoV/vaccine/passage1/clone2,N/A,taxon:11153,N/A
MT114539.1,Canine coronavirus,B600_ZJ_2019,N/A,taxon:11153,China
PV246299.1,Canine coronavirus,N/A,N/A,taxon:11153,China
LN624659.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
OQ540911.1,Canine coronavirus,N/A,N/A,taxon:11153,China
EF408001.1,Canine coronavirus,C14-44,N/A,taxon:11153,N/A
GQ148772.1,Canine coronavirus,198/07,N/A,taxon:11153,Hungary
OQ565729.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
KT222975.1,Canine coronavirus,DQ-alpha5,N/A,taxon:11153,China
KP281541.1,Canine coronavirus,CCoV/vaccine/passage6/clone65,N/A,taxon:11153,N/A
KP281520.1,Canine coronavirus,CCoV/vaccine/passage4/clone20,N/A,taxon:11153,N/A
OQ540908.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281592.1,Canine coronavirus,CCoV/vaccine/clone122,N/A,taxon:11153,N/A
AB781790.1,Canine coronavirus,fc1,N/A,taxon:11153,Japan
JX035855.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
OK340204.1,Canine coronavirus,SWU-SSX1/2021/CCoVI,N/A,taxon:11153,China
EF408003.1,Canine coronavirus,C8-45,N/A,taxon:11153,N/A
GQ130260.1,Canine coronavirus,375/07,N/A,taxon:11153,United Kingdom
GQ148752.1,Canine coronavirus,280/05,N/A,taxon:11153,Italy
JQ422593.1,Canine coronavirus,TH/89/08/IIb/GR,N/A,taxon:11153,Greece
AY307021.1,Canine coronavirus,23/03,N/A,taxon:11153,N/A
GQ148758.1,Canine coronavirus,5/07,N/A,taxon:11153,Italy
LC190902.1,Canine coronavirus,CCoV/dog/HCM41/2015,N/A,taxon:11153,Viet Nam
GQ148757.1,Canine coronavirus,294/06-B,N/A,taxon:11153,Italy
OK500253.1,Canine coronavirus,N/A,N/A,taxon:11153,China
EF408000.1,Canine coronavirus,C8-4,N/A,taxon:11153,N/A
MW186832.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
JX035860.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
KP281519.1,Canine coronavirus,CCoV/vaccine/passage4/clone19,N/A,taxon:11153,N/A
JX446573.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
JQ422572.1,Canine coronavirus,AT/61/09/IIa/GR,N/A,taxon:11153,Greece
