ID,Organism,Strain,Molecule product,DB xref,location
LC149489.1,Equine coronavirus,11V11708/IRL,N/A,taxon:136187,Ireland: Co.Cork
LC149490.1,Equine coronavirus,13V08313/IRL,N/A,taxon:136187,Ireland: Co.Clare
OQ541850.1,Equine coronavirus,N/A,N/A,taxon:136187,China
MZ562881.1,Equine coronavirus CH21,N/A,N/A,taxon:2861865,Switzerland
OL770366.1,Equine coronavirus,ECoV 2021/464693,N/A,taxon:136187,China
OR468099.1,Equine coronavirus,N/A,N/A,taxon:136187,USA
LC061274.1,Equine coronavirus,Obihiro12-2,N/A,taxon:136187,"Japan: Hokkaido, Obihiro"
ON453891.1,Equine coronavirus,N/A,N/A,taxon:136187,Switzerland
AB671299.1,Equine coronavirus,N/A,N/A,taxon:136187,"Japan: Hokkaido, Obihiro"
OR468098.1,Equine coronavirus,N/A,N/A,taxon:136187,USA
LC061272.1,Equine coronavirus,Tokachi09,N/A,taxon:136187,"Japan: Hokkaido, Obihiro"
AY316300.1,Equine coronavirus NC99,NC99,N/A,taxon:202496,N/A
AB775894.1,Equine coronavirus,Obihiro12-1,N/A,taxon:136187,"Japan:Hokkaido, Obihiro"
LC149488.1,Equine coronavirus,13V08313/IRL,N/A,taxon:136187,Ireland: Co.Clare
OR468097.1,Equine coronavirus,N/A,N/A,taxon:136187,USA
ON453890.1,Equine coronavirus,N/A,N/A,taxon:136187,Switzerland
LC592689.1,Equine coronavirus,Tokyo2020,N/A,taxon:136187,Japan: Tokyo
LC149487.1,Equine coronavirus,11V11708/IRL,N/A,taxon:136187,Ireland: Co.Cork
EF446615.1,Equine coronavirus,NC99,N/A,taxon:136187,N/A
OR468100.1,Equine coronavirus,N/A,N/A,taxon:136187,USA
AB555560.1,Equine coronavirus,Tokachi09,N/A,taxon:136187,"Japan:Hokkaido, Obihiro"
LC061273.1,Equine coronavirus,Obihiro12-1,N/A,taxon:136187,"Japan: Hokkaido, Obihiro"
OM937885.1,Equine coronavirus,ECoV 2020/7881,N/A,taxon:136187,China
