ID,Organism,Strain,Molecule product,DB xref,location
MW316852.1,Feline coronavirus,FCoV/China/SMU-CD61/2018,N/A,taxon:12663,China
MW815654.1,Feline coronavirus,FCoV/CD0616,N/A,taxon:12663,China
MT606047.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
MT250351.1,Feline coronavirus,N/A,N/A,taxon:12663,Italy
PQ318091.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
OQ594081.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
OK236335.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OQ196039.1,Feline coronavirus,N/A,N/A,taxon:12663,China
JQ304522.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MW858310.1,Feline coronavirus,SX/202008/003,N/A,taxon:12663,China
MK736784.1,Feline coronavirus,NTUCL4,N/A,taxon:12663,Taiwan
OQ594161.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
MK736783.1,Feline coronavirus,NTUCL2,N/A,taxon:12663,Taiwan
JQ304511.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
PP601321.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
PQ561615.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
OK236278.1,Feline coronavirus,N/A,N/A,taxon:12663,China
AY159765.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
OK236320.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OR141625.1,Feline coronavirus,N/A,N/A,taxon:12663,Taiwan
MG892441.1,Feline coronavirus,BJ/2018/07,N/A,taxon:12663,China
MW858305.1,Feline coronavirus,SD/202012/006,N/A,taxon:12663,China
OQ407512.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OQ594061.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
MT250354.1,Feline coronavirus,N/A,N/A,taxon:12663,Italy
JQ304371.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
PQ626036.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey
JN654414.1,Feline coronavirus,08K-1154,N/A,taxon:12663,South Korea
PQ318089.1,Feline coronavirus,N/A,N/A,taxon:12663,Turkey: Istanbul
JQ304521.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
OQ594158.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
MW225977.1,Feline infectious peritonitis virus,N/A,N/A,taxon:11135,Italy
MT606086.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
EU664306.1,Feline coronavirus,N/A,N/A,taxon:12663,N/A
OQ594070.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
PP901883.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
PP901879.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
OQ196054.1,Feline coronavirus,N/A,N/A,taxon:12663,China
OQ594048.1,Feline coronavirus,N/A,N/A,taxon:12663,China:Beijing
FJ938054.1,Feline coronavirus UU4,UU4,N/A,taxon:454952,Netherlands: Utrecht
MT606053.1,Feline coronavirus,Zu1,N/A,taxon:12663,Switzerland
OK236290.1,Feline coronavirus,N/A,N/A,taxon:12663,China
JQ304441.1,Feline coronavirus,N/A,N/A,taxon:12663,Netherlands
MT551816.1,Feline coronavirus,Zu3,N/A,taxon:12663,Switzerland
OK236294.1,Feline coronavirus,N/A,N/A,taxon:12663,China
ON595858.1,Feline coronavirus,N/A,N/A,taxon:12663,Australia
PP901890.1,Feline coronavirus,N/A,N/A,taxon:12663,Thailand
OK236342.1,Feline coronavirus,N/A,N/A,taxon:12663,China
EU513389.1,Feline coronavirus,FCoV/NTU205/C/2007,N/A,taxon:12663,Taiwan
