ID,Collection date
JF260914,2010-11-24
NC_030292,2010
OP933726,2021-08-31
LC215871,2016-06-29
KX512809,2015
KX512810,2015
LC119077,2013-05-22
KM347965,2010
LC029419,2012
KP288502,2014-02-26
KP288503,2014-02-26
AB812854,2012
AB812855,2012
AB812856,2013
AB812857,2013
AB812858,2013
AB812859,2012
AB812860,2012
AB812861,2012
AB812862,2012
AB812863,2012
AB812864,2012
AB812865,2012
AB812866,2013
AB812867,2013
AB812868,2012
AB812869,2012
AB812870,2013
AB812871,2012
AB812872,2013
AB812873,2012
AB812874,2013
AB812875,2012
AB812876,2012
JX878442,2012
JX878443,2012
JX878444,2012
JX878445,2012
JX878446,2012
GU338456,2007
GU338457,2001
JF260913,2010-11-24
