ID,Organism,Strain,Molecule product,DB xref,location
AB812856.1,Ferret coronavirus,33,N/A,taxon:1264898,Japan
AB812869.1,Ferret coronavirus,4,N/A,taxon:1264898,Japan
LC119077.1,Ferret coronavirus,FRCoV4370,N/A,taxon:1264898,Japan
JX878443.1,Ferret coronavirus,N/A,N/A,taxon:1264898,Slovenia
NC_030292.1,Ferret coronavirus,N/A,N/A,taxon:1264898,Netherlands
AB812863.1,Ferret coronavirus,16,N/A,taxon:1264898,Japan
OP933726.1,Ferret coronavirus,N/A,N/A,taxon:1264898,United Kingdom: Orkney
GU338457.1,Ferret enteric coronavirus,MSU-2,N/A,taxon:741336,USA
JX878442.1,Ferret coronavirus,N/A,N/A,taxon:1264898,Slovenia
JX878446.1,Ferret coronavirus,N/A,N/A,taxon:1264898,Slovenia
KX512810.1,Ferret systemic coronavirus,FSCV6,N/A,taxon:742314,USA: Michigan
LC029419.1,Ferret coronavirus,No22,N/A,taxon:1264898,Japan: Saitama
AB812861.1,Ferret coronavirus,5,N/A,taxon:1264898,Japan
AB812854.1,Ferret coronavirus,13,N/A,taxon:1264898,Japan
AB812866.1,Ferret coronavirus,34,N/A,taxon:1264898,Japan
AB812867.1,Ferret coronavirus,35,N/A,taxon:1264898,Japan
AB812870.1,Ferret coronavirus,38,N/A,taxon:1264898,Japan
AB812859.1,Ferret coronavirus,30,N/A,taxon:1264898,Japan
JF260914.1,Ferret coronavirus 4E98,N/A,N/A,taxon:1076296,Netherlands
KM347965.1,Ferret coronavirus,N/A,N/A,taxon:1264898,Netherlands
AB812855.1,Ferret coronavirus,14,N/A,taxon:1264898,Japan
AB812868.1,Ferret coronavirus,22,N/A,taxon:1264898,Japan
AB812860.1,Ferret coronavirus,15,N/A,taxon:1264898,Japan
KP288503.1,Ferret coronavirus,N/A,N/A,taxon:1264898,USA
AB812874.1,Ferret coronavirus,36,N/A,taxon:1264898,Japan
AB812864.1,Ferret coronavirus,27,N/A,taxon:1264898,Japan
AB812865.1,Ferret coronavirus,28,N/A,taxon:1264898,Japan
AB812858.1,Ferret coronavirus,31,N/A,taxon:1264898,Japan
AB812872.1,Ferret coronavirus,40,N/A,taxon:1264898,Japan
AB812857.1,Ferret coronavirus,36,N/A,taxon:1264898,Japan
JX878444.1,Ferret coronavirus,N/A,N/A,taxon:1264898,Slovenia
KP288502.1,Ferret coronavirus,N/A,N/A,taxon:1264898,USA
AB812871.1,Ferret coronavirus,27,N/A,taxon:1264898,Japan
AB812862.1,Ferret coronavirus,20,N/A,taxon:1264898,Japan
LC215871.1,Ferret coronavirus,ferret063,N/A,taxon:1264898,Japan
AB812876.1,Ferret coronavirus,28,N/A,taxon:1264898,Japan
JX878445.1,Ferret coronavirus,N/A,N/A,taxon:1264898,Slovenia
JF260913.1,Ferret coronavirus 511c,N/A,N/A,taxon:1076295,Netherlands
AB812875.1,Ferret coronavirus,29,N/A,taxon:1264898,Japan
GU338456.1,Ferret systemic coronavirus,MSU-1,N/A,taxon:742314,USA
KX512809.1,Ferret enteric coronavirus,FECV1,N/A,taxon:741336,USA: Michigan
AB812873.1,Ferret coronavirus,30,N/A,taxon:1264898,Japan
