ID,Organism,Strain,Molecule product,DB xref,location
PP721362.1,Hedgehog coronavirus 1,N/A,N/A,taxon:1965093,Poland
KC545386.1,Betacoronavirus Erinaceus/VMC/DEU/2012,N/A,N/A,taxon:1385427,Germany
PQ869634.1,Hedgehog coronavirus 1,N/A,N/A,taxon:1965093,France
PP721361.1,Hedgehog coronavirus 1,N/A,N/A,taxon:1965093,Poland
MK907287.1,Erinaceus hedgehog coronavirus HKU31,Rs13,N/A,taxon:2664184,China
OM451213.1,Erinaceus hedgehog coronavirus HKU31,N/A,N/A,taxon:2664184,China
OK117933.1,Hedgehog coronavirus,N/A,N/A,taxon:2823279,China
OK117934.1,Hedgehog coronavirus,N/A,N/A,taxon:2823279,China
MK907286.1,Erinaceus hedgehog coronavirus HKU31,F6,N/A,taxon:2664184,China
MW879221.1,Hedgehog coronavirus,N/A,N/A,taxon:2823279,China
OM451212.1,Erinaceus hedgehog coronavirus HKU31,N/A,N/A,taxon:2664184,China
NC_039207.1,Betacoronavirus Erinaceus/VMC/DEU/2012,N/A,N/A,taxon:1385427,Germany
MK679660.1,Hedgehog coronavirus 1,N/A,N/A,taxon:1965093,United Kingdom
KC545383.1,Betacoronavirus Erinaceus/VMC/DEU/2012,N/A,N/A,taxon:1385427,Germany
PQ869635.1,Hedgehog coronavirus 1,N/A,N/A,taxon:1965093,France
PP724614.1,Hedgehog coronavirus 1,N/A,N/A,taxon:1965093,Portugal
OK117935.1,Hedgehog coronavirus,N/A,N/A,taxon:2823279,China
