ID,Collection date
NC_039208,2010
PV717860,
PV593735,2024-09
PV580088,2017
PV534030,
PV164736,2024-07-22
PV164737,2023-02-16
PV164738,2024-10-21
PV164739,2024-02-01
MW627230,2016-12-27
MW627231,2017-05-12
MW627232,2017-09-10
MW627233,2017-09-10
MW627234,2017-11-10
MW627235,2017-11-09
MW627236,2018-10-24
MW627237,2020-10-25
MW627238,2020-12-13
PV077816,2024-12-02
PQ753145,2023-11
PQ645844,2019
PQ594371,2023-01-10
PQ594372,2023-01-15
PQ594373,2022-03-13
PQ594374,2022-03-10
PQ594375,2023-03-10
PQ594376,2023-03-10
PQ594377,2024-03-10
PQ594378,2024-02-20
PQ594379,2024-03-21
PQ539659,2023
PQ373831,2023
MT985156,2018-06-01
MT985157,2018-09-13
MT985158,2019-03-23
MT985159,2019-11-16
MT985160,2020-04-30
MT985161,2020-06-25
PQ243302,2023
PQ165604,2018
PQ069216,2023-03
PP998010,2023-02
PP998011,2024-01
ON936274,2020
ON936275,2020
PP129693,2023
PP130097,
OR672111,2023
OR762053,2022-06
OR230675,2016
OR230676,2017
OR240109,2023-02-01
OP501870,2022-05-10
OQ790128,2023-02-15
OQ790129,2018-11-03
OR269935,2023-05-15
OQ473581,2022
ON631047,2022
ON631048,2022
ON631049,2021
ON631050,2021
ON631051,2018
ON631052,2015
ON631053,2018
ON631054,2017
OR122653,2021-10-04
OR122654,2022-10-20
OQ718500,2022
OR060947,2017
OP792038,2020-12
OQ504186,2022-08-10
OQ736716,2022
OQ736717,2021
OQ547740,2021
OQ566226,2021
OQ566227,2021
OQ566228,2021
OQ551110,2018-02-27
OM047182,2021-04-02
OM047183,2021-12-10
OL840383,2021-02-03
OL840384,2021-02-08
OP566509,2016
ON859973,2021-01-20
ON382562,2021-06-10
ON402372,2020-01-11
MZ388469,2016-12-19
MZ388470,2017-01-22
MZ388471,2017-02-13
MZ388472,2017-03-03
MZ388473,2018-02-06
MZ388474,2018-04-03
MZ995263,2020-12-25
MZ995264,2020-12-25
OL441343,2020-12
ON968724,2022-03-20
ON494594,2018-02-15
MH700627,
MH700628,
MH700629,
MW816149,2018
OL900393,2021-04-02
OM777140,2021
OM256446,2021-11
MZ772936,2016
MZ712033,2021-03-12
MZ712034,2021-03-04
MZ712035,2021-03-03
MZ712036,2021-02-26
MZ712037,2021-02-19
MZ712038,2021-02-17
MZ712039,2021-02-09
MZ712040,2021-02-01
MZ802772,2016-09
MZ802773,2016-09
MZ802774,2016-09
MZ802775,2016-01
MZ802776,2016-03
MZ802777,2016-05
OK546242,2020
MN520190,2018-03
MN520191,2019
MN520192,2018-08
MN520193,2018
MN520194,2018-10
MN520195,2018-03
MN520196,2018-03
MN520197,2018-04
MN520198,2019
MN520199,2018
MN520200,2018
MN520201,2018
MN520202,2018-05
MN520203,2018-11
MN520204,2018-05
MN520205,2019-03
MN520206,2019-03
MN520207,2018-10
MN520208,2018-07
MN520209,2019-01
MT663769,2019-07-23
MZ326690,2020-12-25
MZ802955,2020-09
MW854634,2015-06
MT505445,2019
MT505446,2019
MT505447,2019
MT505448,2019
MT505449,2019
MT505450,2019
MT505451,2019
MT505452,2019
MT505453,2019
MT505454,2019
MT505455,2019
MT505456,2019
MT505457,2019
MT505458,2019
MT505459,2019
MT505460,2019
MZ291567,2014
MW685622,2014-12-15
MW685623,2015-03-16
MW685624,2015-04-13
MT260149,2018-05-25
MT260150,2018-06-05
MT227371,2019-10
MK625638,2018-10
MK625639,2018-10
MK625640,2018-10
MK625641,2018-10
MH118331,
MH118332,
MH118333,
MW196362,2019
MN942260,2015
MN781985,
MK359104,2018
MN173779,2018
