ID,Organism,Strain,Molecule product,DB xref,location
KY078911.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MZ802955.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MZ712036.1,Porcine deltacoronavirus,PDCoV/110-833/TW-2021,N/A,taxon:1586324,Taiwan
KM012168.1,Porcine coronavirus HKU15,Michigan/8977/2014,N/A,taxon:1159905,USA: Michigan
OQ551110.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MK040447.1,Porcine deltacoronavirus,CH-FY-2017,N/A,taxon:1586324,China
MH708124.1,Porcine deltacoronavirus,HNZK-04,N/A,taxon:1586324,China
OQ473581.1,Porcine deltacoronavirus,JS2021-LX,N/A,taxon:1586324,China
LC260042.1,Porcine deltacoronavirus,MYZ/JPN/2014,N/A,taxon:1586324,Japan: Miyazaki
KP757890.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MF461409.1,Porcine deltacoronavirus,PDCV_ZJ17JX0201-1,N/A,taxon:1586324,China
MN520195.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shandong
MN058058.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Jiangsu
KR131621.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OQ504186.1,Porcine deltacoronavirus,PDCoV-01/JS/2022,N/A,taxon:1586324,China
MN520203.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
MN173810.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MF642324.1,Porcine deltacoronavirus,CHN/GS/2017/1,N/A,taxon:1586324,China
PP998010.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
PV077816.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KX118627.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Laos
MZ291567.1,Porcine deltacoronavirus,OH-FD22 P7,N/A,taxon:1586324,USA
KR265850.1,Porcine deltacoronavirus,USA/Michigan448/2014,N/A,taxon:1586324,USA: Michigan
MT505460.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
ON859973.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN520205.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Henan
MN025260.1,Porcine deltacoronavirus,CH/GX/1468B/2017,N/A,taxon:1586324,China: Guangxi
KP995356.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,USA
KR265855.1,Porcine deltacoronavirus,USA/Minnesota455/2014,N/A,taxon:1586324,USA: Minnesota
OR762053.2,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
ON968724.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: LiaoNing Province
OL840383.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Taiwan
MN173809.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MT985157.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,"China: Sichuan, Chongzhou"
OQ566228.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea
