ID,Organism,Strain,Molecule product,DB xref,location
PV818420.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
NC_017083.1,Rabbit coronavirus HKU14,HKU14-1,N/A,taxon:1160968,China
PV818417.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
PV818422.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
PV818419.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
PV818413.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
KX806584.1,Rabbit coronavirus,Egypt/Qal-1,N/A,taxon:1898672,Egypt
JN874562.1,Rabbit coronavirus HKU14,HKU14-10,N/A,taxon:1160968,China
PV818415.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
JN874560.1,Rabbit coronavirus HKU14,HKU14-3,N/A,taxon:1160968,China
PV818416.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
KX806585.1,Rabbit coronavirus,Egypt/Qal-2,N/A,taxon:1898672,Egypt
PV818412.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
PV818414.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
JN874561.1,Rabbit coronavirus HKU14,HKU14-8,N/A,taxon:1160968,China
PV818421.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
KX806586.1,Rabbit coronavirus,Egypt/Qal-3,N/A,taxon:1898672,Egypt
OM988159.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,China
JN874559.1,Rabbit coronavirus HKU14,HKU14-1,N/A,taxon:1160968,China
PV818418.1,Rabbit coronavirus,N/A,N/A,taxon:1898672,Spain
