ID,Organism,Strain,Molecule product,DB xref,location
OQ316388.1,Bamboo rat coronavirus,N/A,N/A,taxon:2919016,China
MT820625.1,Lucheng Rn rat coronavirus,N/A,N/A,taxon:1508224,China
JF792617.1,Rat coronavirus,N/A,N/A,taxon:31632,N/A
OM480511.1,Bamboo rat coronavirus,GX-F1-1,N/A,taxon:2919016,China
AF207551.1,Rat sialodacryoadenitis coronavirus,SDAV-681,N/A,taxon:92931,N/A
MT820627.1,Lucheng Rn rat coronavirus,N/A,N/A,taxon:1508224,China
NC_012936.1,Rat coronavirus Parker,Parker,N/A,taxon:502102,N/A
FJ938068.1,Rat coronavirus Parker,Parker,N/A,taxon:502102,N/A
KF294370.1,Longquan Rl rat coronavirus,N/A,N/A,taxon:1508223,China
Q9IKD1.1,Rat coronavirus (strain 681),N/A,N/A,taxon:33740,N/A
KF294380.2,Lucheng Rn rat coronavirus,N/A,N/A,taxon:1508224,China
PP526175.1,Rat coronavirus,N/A,N/A,taxon:31632,USA: Idaho
MT820626.1,Lucheng Rn rat coronavirus,N/A,N/A,taxon:1508224,China
MT820632.1,Longquan Rl rat coronavirus,N/A,N/A,taxon:1508223,China
AF088989.1,Rat coronavirus,Parker,N/A,taxon:31632,N/A
AF088988.1,Rat coronavirus,SDA,N/A,taxon:31632,N/A
OP288967.1,Bamboo rat coronavirus,N/A,N/A,taxon:2919016,China: Guangxi
KF294372.1,Longquan Rl rat coronavirus,N/A,N/A,taxon:1508223,China
OQ297694.1,Bamboo rat coronavirus,N/A,N/A,taxon:2919016,China
JF792616.1,Rat coronavirus,N/A,N/A,taxon:31632,N/A
AF088990.1,Rat coronavirus,BCMM,N/A,taxon:31632,N/A
KF294371.1,Longquan Rl rat coronavirus,N/A,N/A,taxon:1508223,China
OP288968.1,Bamboo rat coronavirus,N/A,N/A,taxon:2919016,China: Guangxi
AF088987.1,Rat coronavirus,NJ,N/A,taxon:31632,N/A
NC_032730.1,Lucheng Rn rat coronavirus,N/A,N/A,taxon:1508224,China
