ID,Organism,Strain,Molecule product,DB xref,location
MT367412.1,Turkey coronavirus,gammaCoV/Tk/Poland/G160/2016,N/A,taxon:11152,Poland
ON227455.1,Turkey coronavirus,gCoV/Tk/Poland/G007/2010,N/A,taxon:11152,Poland
ON868856.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA: Arkansas
MN699606.1,Turkey coronavirus,N/A,N/A,taxon:11152,Trinidad and Tobago
ON246162.1,Turkey coronavirus,gCoV/Tk/Poland/G125/2015,N/A,taxon:11152,Poland
ON227462.1,Turkey coronavirus,gCoV/Tk/Poland/G195/2016,N/A,taxon:11152,Poland
KF652218.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
KF652234.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
EU022526.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA: Indiana
KF652238.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
ON227467.1,Turkey coronavirus,gCoV/Tk/Poland/G114/2019,N/A,taxon:11152,Poland
GU213199.1,Turkey coronavirus,TCoV/TX-1038/98,N/A,taxon:11152,USA
KR822424.1,European turkey coronavirus 080385d,N/A,N/A,taxon:1763410,France
GQ469644.1,Turkey coronavirus,TCoV/TX-1038/98,N/A,taxon:11152,USA
GQ469646.1,Turkey coronavirus,TCoV/TX-R/98,N/A,taxon:11152,USA
ON227457.1,Turkey coronavirus,gCoV/Tk/Poland/G085/2010,N/A,taxon:11152,Poland
FJ957900.2,Turkey coronavirus,N/A,N/A,taxon:11152,Brazil
ON227456.1,Turkey coronavirus,gCoV/Tk/Poland/G041/2010,N/A,taxon:11152,Poland
ON227463.1,Turkey coronavirus,gCoV/Tk/Poland/G140/2016,N/A,taxon:11152,Poland
KF652224.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
AY342356.1,Turkey coronavirus,Gh,N/A,taxon:11152,N/A
ON868857.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA: Arkansas
KF652232.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
EU095850.1,Turkey coronavirus,N/A,N/A,taxon:11152,Canada
KF652222.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
KF652231.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
HQ853282.1,Turkey coronavirus,N/A,N/A,taxon:11152,Brazil
KF652236.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
ON868863.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA: North_Carolina
KJ146016.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA: Arkansas
HQ853285.1,Turkey coronavirus,N/A,N/A,taxon:11152,Brazil
HQ853289.1,Turkey coronavirus,N/A,N/A,taxon:11152,Brazil
NC_010800.1,Turkey coronavirus,N/A,N/A,taxon:11152,Canada
HQ853287.1,Turkey coronavirus,N/A,N/A,taxon:11152,Brazil
GQ427174.1,Turkey coronavirus,TCoV/TX-GL/01,N/A,taxon:11152,USA
KF652237.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
KF652220.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA
HQ853286.1,Turkey coronavirus,N/A,N/A,taxon:11152,Brazil
HQ853290.1,Turkey coronavirus,N/A,N/A,taxon:11152,Brazil
ON868859.1,Turkey coronavirus,N/A,N/A,taxon:11152,USA: Missouri
