Coronavirus type,Avg spike len,Avg complete spike len,Num instances
equine-CoV,1154.0833333333333,1363.0,24
turkey-CoV,1013.9888888888889,1223.142857142857,90
porcine-CoV,1144.3036529680364,1159.4023529411766,438
bat-CoV,1231.061224489796,1256.4444444444443,49
IBV,358.1349085365854,1205.0,10496
rat-CoV,1104.2083333333333,1360.7142857142858,24
canine-CoV,467.03051317614427,1476.7,721
feline-CoV,289.9439461883408,1467.5290322580645,1784
MERS-CoV,1103.2973384030417,1360.0,1315
hedgehog-CoV,1048.0588235294117,1327.6923076923076,17
HCoV-229E,1036.361493123772,1578.0,509
HCoV-NL63,882.487323943662,1355.2666666666667,710
dolphin-CoV,1486.857142857143,1493.3333333333333,7
SARS-CoV,1255.0,1255.0,8
ferret-CoV,401.8333333333333,1451.6,42
SARS-CoV2,656.9870586580391,1272.6699669966997,7109
bovine-CoV,807.7253803042433,1376.0,1249
HCoV-HKU1,988.0481927710844,1353.7339449541284,332
rabbit-CoV,562.1,1362.6666666666667,20
HCoV-OC43,1014.9606557377049,1359.0633484162895,1220
