Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
WMT10974,GenBank,OR468097,,ORF1ab polyprotein,Equine coronavirus,NY2019-CUh1,7116,2019-04
WMT10975,GenBank,OR468097,,ORF1a polyprotein,Equine coronavirus,NY2019-CUh1,4418,2019-04
WMT10976,GenBank,OR468097,,non-structural protein 2,Equine coronavirus,NY2019-CUh1,278,2019-04
WMT10977,GenBank,OR468097,,hemagglutinin-esterase,Equine coronavirus,NY2019-CUh1,423,2019-04
WMT10978,GenBank,OR468097,,spike glycoprotein,Equine coronavirus,NY2019-CUh1,1363,2019-04
WMT10979,GenBank,OR468097,,12.7 kDa accessory protein,Equine coronavirus,NY2019-CUh1,109,2019-04
WMT10980,GenBank,OR468097,,envelope small membrane protein,Equine coronavirus,NY2019-CUh1,84,2019-04
WMT10981,GenBank,OR468097,,membrane protein,Equine coronavirus,NY2019-CUh1,230,2019-04
WMT10982,GenBank,OR468097,,nucleoprotein,Equine coronavirus,NY2019-CUh1,446,2019-04
WMT10983,GenBank,OR468097,,I protein,Equine coronavirus,NY2019-CUh1,206,2019-04
WMT10984,GenBank,OR468098,,ORF1ab polyprotein,Equine coronavirus,CA2018-CUh2,7107,2018-01
WMT10985,GenBank,OR468098,,ORF1a polyprotein,Equine coronavirus,CA2018-CUh2,4409,2018-01
WMT10986,GenBank,OR468098,,non-structural protein 2,Equine coronavirus,CA2018-CUh2,278,2018-01
WMT10987,GenBank,OR468098,,hemagglutinin-esterase,Equine coronavirus,CA2018-CUh2,423,2018-01
WMT10988,GenBank,OR468098,,spike glycoprotein,Equine coronavirus,CA2018-CUh2,1363,2018-01
WMT10989,GenBank,OR468098,,12.7 kDa accessory protein,Equine coronavirus,CA2018-CUh2,109,2018-01
WMT10990,GenBank,OR468098,,envelope small membrane protein,Equine coronavirus,CA2018-CUh2,84,2018-01
WMT10991,GenBank,OR468098,,membrane protein,Equine coronavirus,CA2018-CUh2,230,2018-01
WMT10992,GenBank,OR468098,,nucleoprotein,Equine coronavirus,CA2018-CUh2,446,2018-01
WMT10993,GenBank,OR468098,,I protein,Equine coronavirus,CA2018-CUh2,206,2018-01
WMT10994,GenBank,OR468099,,ORF1ab polyprotein,Equine coronavirus,FL2018-CUh3,7115,2018-01
WMT10995,GenBank,OR468099,,ORF1a polyprotein,Equine coronavirus,FL2018-CUh3,4418,2018-01
WMT10996,GenBank,OR468099,,non-structural protein 2,Equine coronavirus,FL2018-CUh3,278,2018-01
WMT10997,GenBank,OR468099,,hemagglutinin-esterase,Equine coronavirus,FL2018-CUh3,423,2018-01
WMT10998,GenBank,OR468099,,spike glycoprotein,Equine coronavirus,FL2018-CUh3,1363,2018-01
WMT10999,GenBank,OR468099,,12.7 kDa accessory protein,Equine coronavirus,FL2018-CUh3,109,2018-01
WMT11000,GenBank,OR468099,,envelope small membrane protein,Equine coronavirus,FL2018-CUh3,84,2018-01
WMT11001,GenBank,OR468099,,membrane protein,Equine coronavirus,FL2018-CUh3,230,2018-01
WMT11002,GenBank,OR468099,,nucleoprotein,Equine coronavirus,FL2018-CUh3,446,2018-01
WMT11003,GenBank,OR468099,,I protein,Equine coronavirus,FL2018-CUh3,206,2018-01
WMT11004,GenBank,OR468100,,ORF1ab polyprotein,Equine coronavirus,FL2020-CUh4,7116,2020-01
WMT11005,GenBank,OR468100,,ORF1a polyprotein,Equine coronavirus,FL2020-CUh4,4418,2020-01
WMT11006,GenBank,OR468100,,non-structural protein 2,Equine coronavirus,FL2020-CUh4,278,2020-01
WMT11007,GenBank,OR468100,,hemagglutinin-esterase,Equine coronavirus,FL2020-CUh4,423,2020-01
WMT11008,GenBank,OR468100,,spike glycoprotein,Equine coronavirus,FL2020-CUh4,1363,2020-01
WMT11009,GenBank,OR468100,,12.7 kDa accessory protein,Equine coronavirus,FL2020-CUh4,109,2020-01
WMT11010,GenBank,OR468100,,envelope small membrane protein,Equine coronavirus,FL2020-CUh4,84,2020-01
WMT11011,GenBank,OR468100,,membrane protein,Equine coronavirus,FL2020-CUh4,230,2020-01
WMT11012,GenBank,OR468100,,nucleoprotein,Equine coronavirus,FL2020-CUh4,446,2020-01
WMT11013,GenBank,OR468100,,I protein,Equine coronavirus,FL2020-CUh4,206,2020-01
WMM47698,GenBank,OR166386,,RNA polymerase,Equine coronavirus,22050638/48,132,2022
UXR26718,GenBank,OP554362,,nucleocapsid protein,Equine coronavirus,AUT-33/22,446,2021
UXR26719,GenBank,OP554363,,nucleocapsid protein,Equine coronavirus,AUT-56/22,446,2021
UXR26721,GenBank,OP554365,,nucleocapsid protein,Equine coronavirus,AUT-268/22,446,2022
UXR26724,GenBank,OP554368,,nucleocapsid protein,Equine coronavirus,AUT-277/22,446,2022
WEM02670,GenBank,OQ541850,,orf1a polyprotein,Equine coronavirus,JL,4430,2021
WEM02671,GenBank,OQ541850,,NS2 accessory protein,Equine coronavirus,JL,278,2021
WEM02672,GenBank,OQ541850,,hemagglutinin-esterase protein,Equine coronavirus,JL,423,2021
WEM02673,GenBank,OQ541850,,spike protein,Equine coronavirus,JL,1363,2021
WEM02674,GenBank,OQ541850,,12.7 kDa accessory protein,Equine coronavirus,JL,109,2021
WEM02675,GenBank,OQ541850,,small envelope protein,Equine coronavirus,JL,84,2021
WEM02676,GenBank,OQ541850,,membrane protein,Equine coronavirus,JL,230,2021
WEM02677,GenBank,OQ541850,,nucleocapsid protein,Equine coronavirus,JL,446,2021
WEM02678,GenBank,OQ541850,,I protein,Equine coronavirus,JL,206,2021
UVD39574,GenBank,ON453890,,ORF1a polyprotein,Equine coronavirus,CH-ZH39,4418,2015
UVD39575,GenBank,ON453890,,ORF1ab polyprotein,Equine coronavirus,CH-ZH39,7117,2015
UVD39576,GenBank,ON453890,,NS2 acessory protein,Equine coronavirus,CH-ZH39,278,2015
UVD39577,GenBank,ON453890,,hemagglutinin-esterase,Equine coronavirus,CH-ZH39,423,2015
UVD39578,GenBank,ON453890,,spike protein,Equine coronavirus,CH-ZH39,1363,2015
UVD39579,GenBank,ON453890,,12.7 kDa accessory protein,Equine coronavirus,CH-ZH39,109,2015
UVD39580,GenBank,ON453890,,small envelope protein,Equine coronavirus,CH-ZH39,84,2015
UVD39581,GenBank,ON453890,,membrane protein,Equine coronavirus,CH-ZH39,230,2015
UVD39582,GenBank,ON453890,,nucleocapsid protein,Equine coronavirus,CH-ZH39,446,2015
UVD39583,GenBank,ON453890,,I protein,Equine coronavirus,CH-ZH39,206,2015
UVD39584,GenBank,ON453891,,ORF1a polyprotein,Equine coronavirus,CH-CVP3,4418,2021
