Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_009824996,RefSeq,NC_048213,GCF_012271575.1,ORF1ab polyprotein,Infectious bronchitis virus,Ind-TN92-03,6631,2003
YP_009824997,RefSeq,NC_048213,GCF_012271575.1,ORF 1a polyprotein,Infectious bronchitis virus,Ind-TN92-03,3983,2003
YP_009824998,RefSeq,NC_048213,GCF_012271575.1,spike glycoprotein,Infectious bronchitis virus,Ind-TN92-03,1153,2003
YP_009824999,RefSeq,NC_048213,GCF_012271575.1,3a protein,Infectious bronchitis virus,Ind-TN92-03,57,2003
YP_009825000,RefSeq,NC_048213,GCF_012271575.1,3b protein,Infectious bronchitis virus,Ind-TN92-03,64,2003
YP_009825001,RefSeq,NC_048213,GCF_012271575.1,3c protein,Infectious bronchitis virus,Ind-TN92-03,109,2003
YP_009825002,RefSeq,NC_048213,GCF_012271575.1,membrane glycoprotein,Infectious bronchitis virus,Ind-TN92-03,225,2003
YP_009825003,RefSeq,NC_048213,GCF_012271575.1,5a protein,Infectious bronchitis virus,Ind-TN92-03,65,2003
YP_009825004,RefSeq,NC_048213,GCF_012271575.1,5b protein,Infectious bronchitis virus,Ind-TN92-03,82,2003
YP_009825005,RefSeq,NC_048213,GCF_012271575.1,nucleocapsid protein,Infectious bronchitis virus,Ind-TN92-03,409,2003
NP_740621,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp8,Infectious bronchitis virus,,23,
NP_740622,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp1 (HD1),Infectious bronchitis virus,,2106,
NP_740623,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp2 (3CL-Pro),Infectious bronchitis virus,,307,
NP_740624,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp3 (HD2),Infectious bronchitis virus,,293,
NP_740625,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp4,Infectious bronchitis virus,,83,
NP_740626,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp5,Infectious bronchitis virus,,210,
NP_740627,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp6,Infectious bronchitis virus,,111,
NP_740628,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp7 (GLF),Infectious bronchitis virus,,145,
NP_740629,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp9 (RdRp),Infectious bronchitis virus,,940,
NP_740630,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp10,Infectious bronchitis virus,,600,
NP_740631,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp11,Infectious bronchitis virus,,521,
NP_740632,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp12,Infectious bronchitis virus,,338,
NP_740633,RefSeq,NC_001451,GCF_000862965.1,coronavirus nsp13,Infectious bronchitis virus,,302,
NP_740634,RefSeq,NC_001451,GCF_000862965.1,leader protein p87,Infectious bronchitis virus,,673,
NP_040829,RefSeq,NC_001451,GCF_000862965.1,ORF1a polyprotein,Infectious bronchitis virus,,3951,
NP_040831,RefSeq,NC_001451,GCF_000862965.1,spike protein,Infectious bronchitis virus,,1162,
NP_040832,RefSeq,NC_001451,GCF_000862965.1,3a protein,Infectious bronchitis virus,,57,
NP_040833,RefSeq,NC_001451,GCF_000862965.1,3b protein,Infectious bronchitis virus,,64,
NP_040834,RefSeq,NC_001451,GCF_000862965.1,small virion-associated protein,Infectious bronchitis virus,,108,
NP_040835,RefSeq,NC_001451,GCF_000862965.1,membrane protein,Infectious bronchitis virus,,225,
NP_040836,RefSeq,NC_001451,GCF_000862965.1,5a protein,Infectious bronchitis virus,,65,
NP_040837,RefSeq,NC_001451,GCF_000862965.1,5b protein,Infectious bronchitis virus,,82,
NP_040838,RefSeq,NC_001451,GCF_000862965.1,nucleocapsid protein,Infectious bronchitis virus,,409,
NP_066134,RefSeq,NC_001451,GCF_000862965.1,ORF1ab polyprotein,Infectious bronchitis virus,,6629,
XTJ86166,GenBank,PP949491,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2021/36,540,2021
XTJ86167,GenBank,PP949492,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/31,540,2021
XTJ86168,GenBank,PP949493,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/GD/2021/4,540,2021
XTJ86169,GenBank,PP949494,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2021/32,540,2021
XTJ86170,GenBank,PP949495,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2021/41,540,2021
XTJ86171,GenBank,PP949496,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2021/6,540,2021
XTJ86172,GenBank,PP949497,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2022/1,540,2022
XTJ86173,GenBank,PP949498,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2022/3,540,2022
XTJ86174,GenBank,PP949499,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2022/4,540,2022
XTJ86175,GenBank,PP949500,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2022/5,540,2022
XTJ86176,GenBank,PP949501,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2022/6,540,2022
XTJ86177,GenBank,PP949502,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SX/2019/1,540,2019
XTJ86178,GenBank,PP949503,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2019/5,540,2019
XTJ86179,GenBank,PP949504,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/9,540,2019
XTJ86180,GenBank,PP949505,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/10,540,2019
XTJ86181,GenBank,PP949506,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/11,540,2019
XTJ86182,GenBank,PP949507,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2019/8,540,2019
XTJ86183,GenBank,PP949508,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2019/3,540,2019
XTJ86184,GenBank,PP949509,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/7,540,2019
XTJ86185,GenBank,PP949510,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2019/4,540,2019
XTJ86186,GenBank,PP949511,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2019/8,540,2019
XTJ86187,GenBank,PP949512,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2018/1,540,2018
XTJ86188,GenBank,PP949513,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/LN/2018/1,540,2018
XTJ86189,GenBank,PP949514,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2018/1,540,2018
XTJ86190,GenBank,PP949515,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JL//2018/1,540,2018
XTJ86191,GenBank,PP949516,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2018/2,540,2018
XTJ86192,GenBank,PP949517,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2018/1,540,2018
XTJ86193,GenBank,PP949518,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2018/2,537,2018
XTJ86194,GenBank,PP949519,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2018/2,540,2018
XTJ86195,GenBank,PP949520,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2018/3,540,2018
XTJ86196,GenBank,PP949521,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/SD/2018/1,540,2018
XTJ86197,GenBank,PP949522,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2018/5,540,2018
XTJ86198,GenBank,PP949523,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2018/4,540,2018
XTJ86199,GenBank,PP949524,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2018/6,540,2018
XTJ86200,GenBank,PP949525,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/GX/2018/2,540,2018
XTJ86201,GenBank,PP949526,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/ZJ/2018/1,540,2018
XTJ86202,GenBank,PP949527,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/LN/2018/2,540,2018
XTJ86203,GenBank,PP949528,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2020/6,540,2020
XTJ86204,GenBank,PP949529,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2020/7,539,2020
XTJ86205,GenBank,PP949530,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/CQ/2020/1,540,2020
XTJ86206,GenBank,PP949531,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/HeB/2020/8,540,2020
XTJ86207,GenBank,PP949532,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/JS/2021/26,540,2021
XTJ86208,GenBank,PP949533,,spike glycoprotein 1,Infectious bronchitis virus,IBV/CK/CH/AH/2020/21,540,2020
