Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_009944268,RefSeq,NC_006577,GCF_000858765.1,ORF1a polyprotein,Human coronavirus HKU1,HKU1,4471,
YP_009944269,RefSeq,NC_006577,GCF_000858765.1,Leader protein,Human coronavirus HKU1,HKU1,222,
YP_009944270,RefSeq,NC_006577,GCF_000858765.1,nsp2,Human coronavirus HKU1,HKU1,587,
YP_009944271,RefSeq,NC_006577,GCF_000858765.1,nsp3,Human coronavirus HKU1,HKU1,2029,
YP_009944272,RefSeq,NC_006577,GCF_000858765.1,nsp4 (TM2),Human coronavirus HKU1,HKU1,496,
YP_009944273,RefSeq,NC_006577,GCF_000858765.1,nsp5,Human coronavirus HKU1,HKU1,303,
YP_009944274,RefSeq,NC_006577,GCF_000858765.1,nsp6 (hydrophobic domain),Human coronavirus HKU1,HKU1,287,
YP_009944275,RefSeq,NC_006577,GCF_000858765.1,nsp7,Human coronavirus HKU1,HKU1,92,
YP_009944276,RefSeq,NC_006577,GCF_000858765.1,nsp8,Human coronavirus HKU1,HKU1,194,
YP_009944277,RefSeq,NC_006577,GCF_000858765.1,nsp9,Human coronavirus HKU1,HKU1,110,
YP_009944278,RefSeq,NC_006577,GCF_000858765.1,nsp10,Human coronavirus HKU1,HKU1,137,
YP_009944279,RefSeq,NC_006577,GCF_000858765.1,nsp11,Human coronavirus HKU1,HKU1,14,
YP_459934,RefSeq,NC_006577,GCF_000858765.1,nsp2,Human coronavirus HKU1,HKU1,587,
YP_459935,RefSeq,NC_006577,GCF_000858765.1,nsp4,Human coronavirus HKU1,HKU1,496,
YP_459936,RefSeq,NC_006577,GCF_000858765.1,nsp5,Human coronavirus HKU1,HKU1,303,
YP_459938,RefSeq,NC_006577,GCF_000858765.1,nsp7,Human coronavirus HKU1,HKU1,92,
YP_459939,RefSeq,NC_006577,GCF_000858765.1,nsp10,Human coronavirus HKU1,HKU1,137,
YP_459941,RefSeq,NC_006577,GCF_000858765.1,nsp12,Human coronavirus HKU1,HKU1,928,
YP_459942,RefSeq,NC_006577,GCF_000858765.1,nsp13,Human coronavirus HKU1,HKU1,603,
YP_459943,RefSeq,NC_006577,GCF_000858765.1,nsp9,Human coronavirus HKU1,HKU1,110,
YP_460018,RefSeq,NC_006577,GCF_000858765.1,nsp1,Human coronavirus HKU1,HKU1,222,
YP_460019,RefSeq,NC_006577,GCF_000858765.1,nsp6 (hydrophobic domain),Human coronavirus HKU1,HKU1,287,
YP_460020,RefSeq,NC_006577,GCF_000858765.1,nsp8,Human coronavirus HKU1,HKU1,194,
YP_460021,RefSeq,NC_006577,GCF_000858765.1,nsp14,Human coronavirus HKU1,HKU1,521,
YP_460022,RefSeq,NC_006577,GCF_000858765.1,nsp15,Human coronavirus HKU1,HKU1,374,
YP_460023,RefSeq,NC_006577,GCF_000858765.1,nsp16,Human coronavirus HKU1,HKU1,299,
YP_460024,RefSeq,NC_006577,GCF_000858765.1,nsp3,Human coronavirus HKU1,HKU1,2029,
YP_173236,RefSeq,NC_006577,GCF_000858765.1,ORF1ab polyprotein,Human coronavirus HKU1,HKU1,7182,
YP_173237,RefSeq,NC_006577,GCF_000858765.1,hemagglutinin-esterase glycoprotein,Human coronavirus HKU1,HKU1,386,
YP_173238,RefSeq,NC_006577,GCF_000858765.1,spike glycoprotein,Human coronavirus HKU1,HKU1,1356,
YP_173239,RefSeq,NC_006577,GCF_000858765.1,non-structural protein,Human coronavirus HKU1,HKU1,109,
YP_173240,RefSeq,NC_006577,GCF_000858765.1,envelope protein,Human coronavirus HKU1,HKU1,82,
YP_173241,RefSeq,NC_006577,GCF_000858765.1,membrane glycoprotein,Human coronavirus HKU1,HKU1,223,
YP_173242,RefSeq,NC_006577,GCF_000858765.1,nucleocapsid phosphoprotein,Human coronavirus HKU1,HKU1,441,
YP_173243,RefSeq,NC_006577,GCF_000858765.1,nucleocapsid phosphoprotein 2,Human coronavirus HKU1,HKU1,205,
XWV29617,GenBank,ON461756,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_2,7181,2019-10-29
XWV29618,GenBank,ON461756,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_2,4470,2019-10-29
XWV29619,GenBank,ON461756,,non-structural protein,Human coronavirus HKU1,HKU1B_2,109,2019-10-29
XWV29620,GenBank,ON461756,,envelope protein,Human coronavirus HKU1,HKU1B_2,82,2019-10-29
XWV29621,GenBank,ON461756,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_2,223,2019-10-29
XWV29622,GenBank,ON461756,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_2,441,2019-10-29
XWV29623,GenBank,ON461756,,internal protein,Human coronavirus HKU1,HKU1B_2,205,2019-10-29
XWV29624,GenBank,ON461758,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_4,7181,2019-11-07
XWV29625,GenBank,ON461758,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_4,4470,2019-11-07
XWV29626,GenBank,ON461758,,non-structural protein,Human coronavirus HKU1,HKU1B_4,109,2019-11-07
XWV29627,GenBank,ON461758,,envelope protein,Human coronavirus HKU1,HKU1B_4,82,2019-11-07
XWV29628,GenBank,ON461758,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_4,223,2019-11-07
XWV29629,GenBank,ON461758,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_4,441,2019-11-07
XWV29630,GenBank,ON461758,,internal protein,Human coronavirus HKU1,HKU1B_4,205,2019-11-07
XWV29631,GenBank,ON461759,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_5,7181,2019-11-09
XWV29632,GenBank,ON461759,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_5,4470,2019-11-09
XWV29633,GenBank,ON461759,,non-structural protein,Human coronavirus HKU1,HKU1B_5,109,2019-11-09
XWV29634,GenBank,ON461759,,envelope protein,Human coronavirus HKU1,HKU1B_5,82,2019-11-09
XWV29635,GenBank,ON461759,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_5,223,2019-11-09
XWV29636,GenBank,ON461759,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_5,441,2019-11-09
XWV29637,GenBank,ON461759,,internal protein,Human coronavirus HKU1,HKU1B_5,205,2019-11-09
XWV29638,GenBank,ON461761,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_7,7181,2019-11-25
XWV29639,GenBank,ON461761,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_7,4470,2019-11-25
XWV29640,GenBank,ON461762,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_8,7151,2019-12-02
XWV29641,GenBank,ON461762,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_8,4440,2019-12-02
XWV29642,GenBank,ON461762,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1B_8,385,2019-12-02
XWV29643,GenBank,ON461762,,spike protein,Human coronavirus HKU1,HKU1B_8,1351,2019-12-02
XWV29644,GenBank,ON461762,,non-structural protein,Human coronavirus HKU1,HKU1B_8,109,2019-12-02
XWV29645,GenBank,ON461762,,envelope protein,Human coronavirus HKU1,HKU1B_8,82,2019-12-02
XWV29646,GenBank,ON461763,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_9,7181,2019-12-04
XWV29647,GenBank,ON461763,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_9,4470,2019-12-04
XWV29648,GenBank,ON461763,,spike protein,Human coronavirus HKU1,HKU1B_9,1351,2019-12-04
XWV29649,GenBank,ON461763,,non-structural protein,Human coronavirus HKU1,HKU1B_9,109,2019-12-04
XWV29650,GenBank,ON461763,,envelope protein,Human coronavirus HKU1,HKU1B_9,82,2019-12-04
XWV29651,GenBank,ON461763,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_9,223,2019-12-04
XWV29652,GenBank,ON461763,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_9,441,2019-12-04
XWV29653,GenBank,ON461763,,internal protein,Human coronavirus HKU1,HKU1B_9,205,2019-12-04
XWV29654,GenBank,ON461764,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_10,7181,2019-12-11
XWV29655,GenBank,ON461764,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_10,4470,2019-12-11
XWV29656,GenBank,ON461764,,non-structural protein,Human coronavirus HKU1,HKU1B_10,109,2019-12-11
XWV29657,GenBank,ON461764,,envelope protein,Human coronavirus HKU1,HKU1B_10,82,2019-12-11
XWV29658,GenBank,ON461764,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_10,223,2019-12-11
XWV29659,GenBank,ON461764,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_10,441,2019-12-11
XWV29660,GenBank,ON461764,,internal protein,Human coronavirus HKU1,HKU1B_10,205,2019-12-11
XWV29661,GenBank,ON461765,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_11,7181,2019-12-20
XWV29662,GenBank,ON461765,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_11,4470,2019-12-20
XWV29663,GenBank,ON461765,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1B_11,385,2019-12-20
XWV29664,GenBank,ON461765,,spike protein,Human coronavirus HKU1,HKU1B_11,1351,2019-12-20
XWV29665,GenBank,ON461765,,non-structural protein,Human coronavirus HKU1,HKU1B_11,109,2019-12-20
XWV29666,GenBank,ON461765,,envelope protein,Human coronavirus HKU1,HKU1B_11,82,2019-12-20
XWV29667,GenBank,ON461766,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_12,7181,2019-12-20
XWV29668,GenBank,ON461766,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_12,4470,2019-12-20
XWV29669,GenBank,ON461766,,non-structural protein,Human coronavirus HKU1,HKU1B_12,109,2019-12-20
XWV29670,GenBank,ON461766,,envelope protein,Human coronavirus HKU1,HKU1B_12,82,2019-12-20
XWV29671,GenBank,ON461766,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_12,223,2019-12-20
XWV29672,GenBank,ON461766,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_12,441,2019-12-20
XWV29673,GenBank,ON461766,,internal protein,Human coronavirus HKU1,HKU1B_12,205,2019-12-20
XWV29674,GenBank,ON461768,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_13_2,7181,2020-02-10
XWV29675,GenBank,ON461768,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_13_2,4470,2020-02-10
XWV29676,GenBank,ON461768,,non-structural protein,Human coronavirus HKU1,HKU1B_13_2,109,2020-02-10
XWV29677,GenBank,ON461768,,envelope protein,Human coronavirus HKU1,HKU1B_13_2,82,2020-02-10
XWV29678,GenBank,ON461768,,membrane glycoprotein,Human coronavirus HKU1,HKU1B_13_2,223,2020-02-10
XWV29679,GenBank,ON461768,,nucleocapsid protein,Human coronavirus HKU1,HKU1B_13_2,441,2020-02-10
XWV29680,GenBank,ON461768,,internal protein,Human coronavirus HKU1,HKU1B_13_2,205,2020-02-10
XWV29681,GenBank,ON461771,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_16_1,7151,2019-12-28
XWV29682,GenBank,ON461771,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_16_1,4440,2019-12-28
XWV29683,GenBank,ON461771,,hemagglutinin-esterase,Human coronavirus HKU1,HKU1B_16_1,385,2019-12-28
XWV29684,GenBank,ON461771,,spike protein,Human coronavirus HKU1,HKU1B_16_1,1351,2019-12-28
XWV29685,GenBank,ON461771,,non-structural protein,Human coronavirus HKU1,HKU1B_16_1,109,2019-12-28
XWV29686,GenBank,ON461771,,envelope protein,Human coronavirus HKU1,HKU1B_16_1,82,2019-12-28
XWV29687,GenBank,ON461772,,ORF1ab polyprotein,Human coronavirus HKU1,HKU1B_16_2,7181,2019-12-30
XWV29688,GenBank,ON461772,,ORF1a polyprotein,Human coronavirus HKU1,HKU1B_16_2,4470,2019-12-30
XWV29689,GenBank,ON461772,,non-structural protein,Human coronavirus HKU1,HKU1B_16_2,109,2019-12-30
