Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
ADE34800,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,7064,orf1ab polyprotein,
ADE34801,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,1242,spike glycoprotein,
ADE34802,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,274,hypothetical protein,
ADE34803,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,76,small membrane protein,
ADE34804,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,221,membrane glycoprotein,
ADE34805,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,63,hypothetical protein,
ADE34806,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,122,hypothetical protein,
ADE34807,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,44,hypothetical protein,
ADE34808,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,121,hypothetical protein,
ADE34809,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,421,nucleocapsid phosphoprotein,
ADE34810,Bat SARS coronavirus HKU3-11,GenBank,set:GQ153546,GQ153546,,Severe acute respiratory syndrome-related coronavirus,97,hypothetical protein,
