Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
ACT10991,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,4383,orf1a polyprotein,2000-01-01
ACT10992,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,7094,orf1ab polyprotein,2000-01-01
ACT10993,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,278,32 kD non-structural protein,2000-01-01
ACT10994,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,424,hemagglutinin-esterase,2000-01-01
ACT10995,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,1363,spike protein,2000-01-01
ACT10996,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,29,4.9 kD non-structural protein,2000-01-01
ACT10997,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,45,4.8 kD non-structural protein,2000-01-01
ACT10998,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,109,12.7 kD non-structural protein,2000-01-01
ACT10999,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,84,envelope protein,2000-01-01
ACT11000,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,230,membrane protein,2000-01-01
ACT11001,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,448,nucleocapsid protein,2000-01-01
ACT11002,Bovine coronavirus E-AH187-TC,GenBank,set:FJ938064,FJ938064,,Betacoronavirus 1,207,internal protein,2000-01-01
ABP38274,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,424,hemagglutinin-esterase,
ABP38275,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,45,4.8 kDa non-structural protein,
ABP38276,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,448,nucleocapsid protein,
ABP38277,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,278,32 kDa non-structural protein,
ABP38278,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,230,membrane protein,
ABP38279,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,1363,spike protein,
ABP38280,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,2717,ORF1b polyprotein,
ABP38281,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,84,envelope protein,
ABP38282,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,29,4.9 kDa non-structural protein,
ABP38283,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,4383,ORF1a polyprotein,
ABP38284,Bovine coronavirus E-AH187,GenBank,set:EF424619,EF424619,,Betacoronavirus 1,109,12.7 kDa non-structural protein,
