Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
ADO39826,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,4028,polyprotein orf1a
ADO39827,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,6695,polyprotein orf1ab
ADO39828,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,1470,spike protein
ADO39829,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,70,non-structural protein 3a
ADO39830,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,73,non-structural protein 3b
ADO39831,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,237,non-structural protein 3c
ADO39832,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,82,envelope protein
ADO39833,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,263,membrane protein
ADO39834,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,377,nucleocapsid protein
ADO39835,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,101,non-structural protein 7a
ADO39836,Feline coronavirus UU19,GenBank,set:HQ392470,HQ392470,,Alphacoronavirus 1,205,hypothetical protein orf7b
