Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
P0C6T7,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,4380,Replicase polyprotein 1a
P0C6W6,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,7071,Replicase polyprotein 1ab
Q3I5I5,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,70,Uncharacterized protein 14
Q3I5I6,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,97,Protein 9b
Q3I5I7,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,421,Nucleoprotein
Q3I5I8,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,121,Non-structural protein 8
Q3I5I9,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,44,Non-structural protein 7b
Q3I5J0,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,122,Protein 7a
Q3I5J1,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,63,ORF6 protein
Q3I5J2,Bat SARS CoV Rp3/2004,GenBank,,,,Betacoronavirus pandemicum,221,Membrane protein
Q3I5J3,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,76,Envelope small membrane protein
Q3I5J4,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,274,Protein 3
Q3I5J5,Bat SARS CoV Rp3/2004,GenBank,,,,Severe acute respiratory syndrome-related coronavirus,1241,Spike glycoprotein
AAZ67049,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,421,nucleocapsid protein
AAZ67050,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,4380,polymerase 1a
AAZ67051,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,2628,polymerase 1b
AAZ67052,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,1241,spike protein
AAZ67053,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,274,ORF3
AAZ67054,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,76,small envelope E protein
AAZ67055,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,221,membrane glycoprotein M
AAZ67056,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,63,ORF7
AAZ67057,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,122,ORF8
AAZ67058,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,44,ORF9
AAZ67059,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,121,ORF10'
AAZ67060,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,97,ORF13
AAZ67061,Bat SARS CoV Rp3/2004,GenBank,set:DQ071615,DQ071615,Rp3,Severe acute respiratory syndrome-related coronavirus,70,ORF14
