Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
NP_742129,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,246,Leader protein
NP_742130,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,605,MHV p65-like protein
NP_742132,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,303,coronavirus nsp2 (3CL-PRO)
NP_742133,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,287,coronavirus nsp3 (HD2)
NP_742134,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,89,coronavirus nsp4
NP_742135,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,197,coronavirus nsp5
NP_742136,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,110,coronavirus nsp6
NP_742137,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,137,coronavirus nsp7 (GFL)
NP_742138,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,928,coronavirus nsp9 (RdRp)
NP_742139,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,603,"coronavirus nsp10 (MB, NTPase/HEL)"
NP_742140,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,521,coronavirus nsp11
NP_742141,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,374,coronavirus nsp12
NP_742142,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,299,coronavirus nsp13
NP_742169,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,1899,"coronavirus nsp1 (PL1-PRO, PL2-PRO, HD)"
NP_742170,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,496,transmembrane domain 2
NP_150073,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,7094,ORF1ab polyprotein
NP_150074,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,4383,ORF1a polyprotein
NP_150075,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,278,32 kDa non-structural protein
NP_150076,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,424,hemmaglutinin-esterase
NP_150077,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,1363,spike structural protein
NP_150078,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,29,4.9 kDa non-structural protein
NP_150079,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,45,4.8 kDa non-structural protein
NP_150080,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,109,12.7 kDa non-structural protein
NP_150081,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,84,small membrane protein
NP_150082,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,230,matrix protein
NP_150083,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,448,nucleocapsid protein
NP_150084,Bovine coronavirus,RefSeq,GCF_000862505.1,NC_003045,BCoV-ENT,Betacoronavirus 1,207,internal protein
BFN36118,Bovine coronavirus,GenBank,,LC823239,EHM-1,Betacoronavirus 1,137,spike protein subunit 1
BFN36119,Bovine coronavirus,GenBank,,LC823240,EHM-2,Betacoronavirus 1,137,spike protein subunit 1
BFN36120,Bovine coronavirus,GenBank,,LC823241,FKS-1,Betacoronavirus 1,137,spike protein subunit 1
BFN36121,Bovine coronavirus,GenBank,,LC823242,FKS-2,Betacoronavirus 1,137,spike protein subunit 1
XIF71070,Bovine coronavirus,GenBank,,PQ456748,QZ230401,Betacoronavirus 1,219,nucleocapsid protein
XIF71071,Bovine coronavirus,GenBank,,PQ456749,BB230301,Betacoronavirus 1,234,nucleocapsid protein
XIF71072,Bovine coronavirus,GenBank,,PQ456750,NN221101,Betacoronavirus 1,232,nucleocapsid protein
XIF71073,Bovine coronavirus,GenBank,,PQ456751,NN221102,Betacoronavirus 1,234,nucleocapsid protein
XIF71074,Bovine coronavirus,GenBank,,PQ456752,NN221103,Betacoronavirus 1,232,nucleocapsid protein
XIF71075,Bovine coronavirus,GenBank,,PQ456753,HC221201,Betacoronavirus 1,234,nucleocapsid protein
XIF71076,Bovine coronavirus,GenBank,,PQ456754,HC221202,Betacoronavirus 1,232,nucleocapsid protein
XIF71077,Bovine coronavirus,GenBank,,PQ456755,NN221201,Betacoronavirus 1,227,nucleocapsid protein
XIF71078,Bovine coronavirus,GenBank,,PQ456756,LB221201,Betacoronavirus 1,219,nucleocapsid protein
XIF71079,Bovine coronavirus,GenBank,,PQ456757,BH231201,Betacoronavirus 1,219,nucleocapsid protein
XIF71080,Bovine coronavirus,GenBank,,PQ456758,BH231202,Betacoronavirus 1,234,nucleocapsid protein
XIF71081,Bovine coronavirus,GenBank,,PQ456759,BH231203,Betacoronavirus 1,234,nucleocapsid protein
XIF71082,Bovine coronavirus,GenBank,,PQ456760,QZ240103,Betacoronavirus 1,232,nucleocapsid protein
XIF71083,Bovine coronavirus,GenBank,,PQ456761,QZ240304,Betacoronavirus 1,232,nucleocapsid protein
XIF71084,Bovine coronavirus,GenBank,,PQ456762,BB240301,Betacoronavirus 1,234,nucleocapsid protein
XIF71085,Bovine coronavirus,GenBank,,PQ456763,BB240302,Betacoronavirus 1,232,nucleocapsid protein
XHH54347,Bovine coronavirus,GenBank,,PQ368507,GL221214,Betacoronavirus 1,448,nucleocapsid protein
XHH54348,Bovine coronavirus,GenBank,,PQ368508,NN230328,Betacoronavirus 1,448,nucleocapsid protein
XHH54349,Bovine coronavirus,GenBank,,PQ368509,QZ230801,Betacoronavirus 1,448,nucleocapsid protein
XHH54350,Bovine coronavirus,GenBank,,PQ368510,QZ230802,Betacoronavirus 1,448,nucleocapsid protein
XHH54351,Bovine coronavirus,GenBank,,PQ368511,QZ230803,Betacoronavirus 1,448,nucleocapsid protein
XHH54352,Bovine coronavirus,GenBank,,PQ368512,BS230301,Betacoronavirus 1,448,nucleocapsid protein
XHH54353,Bovine coronavirus,GenBank,,PQ368513,BS230302,Betacoronavirus 1,448,nucleocapsid protein
XHH54354,Bovine coronavirus,GenBank,,PQ368514,QZ230401,Betacoronavirus 1,448,nucleocapsid protein
XHH54355,Bovine coronavirus,GenBank,,PQ368515,QZ231101,Betacoronavirus 1,448,nucleocapsid protein
XHH54356,Bovine coronavirus,GenBank,,PQ368516,HC231201,Betacoronavirus 1,448,nucleocapsid protein
XHH54357,Bovine coronavirus,GenBank,,PQ368517,HC231202,Betacoronavirus 1,448,nucleocapsid protein
