Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
P0C2Q4,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,84,Envelope small membrane protein,
Q77WY2,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,109,Non-structural protein of 12.7 kDa,
Q9QAR7,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,207,Protein I,
Q9QAS0,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,45,Non-structural protein of 4.8 kDa,
Q9QAS1,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,44,Non-structural protein of 4.9 kDa,
Q9QAS3,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,278,Non-structural protein 2a,
Q9QAR9,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,230,Membrane protein,
Q9QAR8,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,448,Nucleoprotein,
P31613,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,424,Hemagglutinin-esterase,
P25192,Bovine coronavirus LY-138,GenBank,,,,Betacoronavirus 1,1363,Spike glycoprotein,
