Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_009194637,RefSeq,NC_028752,GCF_001500975.1,polyprotein ORF1ab,Camel alphacoronavirus,camel/Riyadh/Ry141/2015,6763,2015-03
YP_009194638,RefSeq,NC_028752,GCF_001500975.1,polyprotein ORF1a,Camel alphacoronavirus,camel/Riyadh/Ry141/2015,4090,2015-03
YP_009194639,RefSeq,NC_028752,GCF_001500975.1,spike protein,Camel alphacoronavirus,camel/Riyadh/Ry141/2015,1169,2015-03
YP_009194640,RefSeq,NC_028752,GCF_001500975.1,ORF4,Camel alphacoronavirus,camel/Riyadh/Ry141/2015,226,2015-03
YP_009194641,RefSeq,NC_028752,GCF_001500975.1,envelope protein,Camel alphacoronavirus,camel/Riyadh/Ry141/2015,77,2015-03
YP_009194642,RefSeq,NC_028752,GCF_001500975.1,membrane protein,Camel alphacoronavirus,camel/Riyadh/Ry141/2015,226,2015-03
YP_009194643,RefSeq,NC_028752,GCF_001500975.1,nucleocapsid protein,Camel alphacoronavirus,camel/Riyadh/Ry141/2015,382,2015-03
NP_835344,RefSeq,NC_002645,GCF_000853505.1,leader protein p9,Human coronavirus 229E,,111,
NP_835345,RefSeq,NC_002645,GCF_000853505.1,coronavirus p195/p210 protein (nsp1),Human coronavirus 229E,,1587,
NP_835346,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp2 (3CL-PRO),Human coronavirus 229E,,302,
NP_835347,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp3 (HD2),Human coronavirus 229E,,279,
NP_835348,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp4,Human coronavirus 229E,,83,
NP_835349,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp5,Human coronavirus 229E,,195,
NP_835350,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp6,Human coronavirus 229E,,109,
NP_835351,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp7,Human coronavirus 229E,,135,
NP_835352,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp9 (RdRp),Human coronavirus 229E,,927,
NP_835353,RefSeq,NC_002645,GCF_000853505.1,"putative coronavirus nsp10 (MB, NTPase/HEL)",Human coronavirus 229E,,597,
NP_835354,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp11,Human coronavirus 229E,,518,
NP_835355,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp12,Human coronavirus 229E,,348,
NP_835356,RefSeq,NC_002645,GCF_000853505.1,putative coronavirus nsp13,Human coronavirus 229E,,300,
NP_835357,RefSeq,NC_002645,GCF_000853505.1,p87,Human coronavirus 229E,,786,
NP_835358,RefSeq,NC_002645,GCF_000853505.1,p44,Human coronavirus 229E,,481,
NP_073549,RefSeq,NC_002645,GCF_000853505.1,replicase polyprotein 1ab,Human coronavirus 229E,,6758,
NP_073550,RefSeq,NC_002645,GCF_000853505.1,replicase polyprotein 1a,Human coronavirus 229E,,4085,
NP_073551,RefSeq,NC_002645,GCF_000853505.1,surface glycoprotein,Human coronavirus 229E,,1173,
NP_073552,RefSeq,NC_002645,GCF_000853505.1,4a protein,Human coronavirus 229E,,133,
NP_073553,RefSeq,NC_002645,GCF_000853505.1,4b protein,Human coronavirus 229E,,88,
NP_073554,RefSeq,NC_002645,GCF_000853505.1,envelope protein,Human coronavirus 229E,,77,
NP_073555,RefSeq,NC_002645,GCF_000853505.1,membrane protein,Human coronavirus 229E,,225,
NP_073556,RefSeq,NC_002645,GCF_000853505.1,nucleocapsid protein,Human coronavirus 229E,,389,
XUM36553,GenBank,PV685437,,ORF1ab polyprotein,Human coronavirus 229E,229E/051863/USA/2024,6763,2024-06-05
XUM36554,GenBank,PV685437,,ORF1a polyprotein,Human coronavirus 229E,229E/051863/USA/2024,4090,2024-06-05
XUM36555,GenBank,PV685437,,spike protein,Human coronavirus 229E,229E/051863/USA/2024,1171,2024-06-05
XUM36556,GenBank,PV685437,,accessory protein 4,Human coronavirus 229E,229E/051863/USA/2024,219,2024-06-05
XUM36557,GenBank,PV685437,,envelope protein,Human coronavirus 229E,229E/051863/USA/2024,77,2024-06-05
XUM36558,GenBank,PV685437,,membrane glycoprotein,Human coronavirus 229E,229E/051863/USA/2024,225,2024-06-05
XUM36559,GenBank,PV685437,,nucleocapsid protein,Human coronavirus 229E,229E/051863/USA/2024,389,2024-06-05
XUM36560,GenBank,PV685438,,ORF1ab polyprotein,Human coronavirus 229E,229E/063343/USA/2024,6763,2024-02-05
