Accession,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_009336483,NC_032730,GCF_001962315.1,ORF1ab polyprotein,Lucheng Rn rat coronavirus,Lucheng-19,6749,2013
YP_009336484,NC_032730,GCF_001962315.1,spike glycoprotein,Lucheng Rn rat coronavirus,Lucheng-19,1134,2013
YP_009336485,NC_032730,GCF_001962315.1,envelope protein,Lucheng Rn rat coronavirus,Lucheng-19,78,2013
YP_009336486,NC_032730,GCF_001962315.1,membrane protein,Lucheng Rn rat coronavirus,Lucheng-19,248,2013
YP_009336487,NC_032730,GCF_001962315.1,nucleocapsid protein,Lucheng Rn rat coronavirus,Lucheng-19,391,2013
XQJ32478,PV295898,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,S_2_Marseille,133,2022-12
XQJ32479,PV295899,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,R_728_Bordeaux,99,2023-06
XQJ32480,PV295900,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,R_750_Bordeaux,133,2023-06
XQJ32481,PV295901,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,R_686_Lyon,133,2023-06
XQJ32483,PV295903,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,R_780_Bordeaux,133,2023-06
XQJ32484,PV295904,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,R_535_Lyon,133,2023-05
XQJ32485,PV295905,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,R_781_Bordeaux,133,2023-06
WPN08172,OR854629,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,KS23/96,114,2023
WPN08173,OR854630,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,KS23/97,129,2023
WPN08174,OR854631,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,KS23/100,121,2023
WPN08175,OR854632,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,KS23/120,111,2023
WPN08176,OR854633,,RNA-dependent RNA polymerase,Lucheng Rn rat coronavirus,KS23/290,120,2023
QOE77267,MT820625,,orf1ab polyprotein,Lucheng Rn rat coronavirus,Lijiang-170,6645,2015
QOE77268,MT820625,,surface glycoprotein,Lucheng Rn rat coronavirus,Lijiang-170,1126,2015
QOE77269,MT820625,,ORF3 protein,Lucheng Rn rat coronavirus,Lijiang-170,214,2015
QOE77270,MT820625,,envelope protein,Lucheng Rn rat coronavirus,Lijiang-170,78,2015
QOE77271,MT820625,,membrane glycoprotein,Lucheng Rn rat coronavirus,Lijiang-170,248,2015
QOE77272,MT820625,,ORF6 protein,Lucheng Rn rat coronavirus,Lijiang-170,166,2015
QOE77273,MT820625,,nucleocapsid phosphoprotein,Lucheng Rn rat coronavirus,Lijiang-170,389,2015
QOE77274,MT820625,,ORF8 protein,Lucheng Rn rat coronavirus,Lijiang-170,105,2015
QOE77275,MT820626,,orf1ab polyprotein,Lucheng Rn rat coronavirus,Ruian-83,6747,2014
QOE77276,MT820626,,ORF2 protein,Lucheng Rn rat coronavirus,Ruian-83,274,2014
QOE77277,MT820626,,surface glycoprotein,Lucheng Rn rat coronavirus,Ruian-83,1139,2014
QOE77278,MT820626,,ORF4 protein,Lucheng Rn rat coronavirus,Ruian-83,214,2014
QOE77279,MT820626,,envelope protein,Lucheng Rn rat coronavirus,Ruian-83,78,2014
QOE77280,MT820626,,membrane glycoprotein,Lucheng Rn rat coronavirus,Ruian-83,247,2014
QOE77281,MT820626,,ORF7 protein,Lucheng Rn rat coronavirus,Ruian-83,165,2014
QOE77282,MT820626,,nucleocapsid phosphoprotein,Lucheng Rn rat coronavirus,Ruian-83,391,2014
QOE77283,MT820626,,ORF9 protein,Lucheng Rn rat coronavirus,Ruian-83,104,2014
QOE77284,MT820627,,orf1ab polyprotein,Lucheng Rn rat coronavirus,Lijiang-71,6749,2014
QOE77285,MT820627,,ORF2 protein,Lucheng Rn rat coronavirus,Lijiang-71,275,2014
QOE77286,MT820627,,ORF2b protein,Lucheng Rn rat coronavirus,Lijiang-71,153,2014
QOE77287,MT820627,,surface glycoprotein,Lucheng Rn rat coronavirus,Lijiang-71,1142,2014
QOE77288,MT820627,,ORF4 protein,Lucheng Rn rat coronavirus,Lijiang-71,214,2014
