Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
ACT10925,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,4025,polyprotein orf1a,2007-06-07
ACT10926,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,6692,polyprotein orf1ab,2007-06-07
ACT10927,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,1232,spike protein,2007-06-07
ACT10928,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,70,non-structural protein 3a,2007-06-07
ACT10929,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,73,non-structural protein 3b,2007-06-07
ACT10930,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,82,envelope protein,2007-06-07
ACT10931,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,263,membrane protein,2007-06-07
ACT10932,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,375,nucleocapsid protein,2007-06-07
ACT10933,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,101,non-structural protein 7a,2007-06-07
ACT10934,Feline coronavirus UU16,GenBank,set:FJ938058,FJ938058,,Alphacoronavirus 1,206,non-structural protein 7b,2007-06-07
