Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_010229075,RefSeq,NC_005831,GCF_000853865.1,ORF1a polyprotein,Human coronavirus NL63,,4060,
YP_003766,RefSeq,NC_005831,GCF_000853865.1,ORF1ab polyprotein,Human coronavirus NL63,,6729,
YP_003767,RefSeq,NC_005831,GCF_000853865.1,spike protein,Human coronavirus NL63,,1356,
YP_003768,RefSeq,NC_005831,GCF_000853865.1,protein 3,Human coronavirus NL63,,225,
YP_003769,RefSeq,NC_005831,GCF_000853865.1,envelope protein,Human coronavirus NL63,,77,
YP_003770,RefSeq,NC_005831,GCF_000853865.1,membrane protein,Human coronavirus NL63,,226,
YP_003771,RefSeq,NC_005831,GCF_000853865.1,nucleocapsid protein,Human coronavirus NL63,,377,
XXJ43918,GenBank,PV855235,,ORF1ab polyprotein,Human coronavirus NL63,W025,123,2021-03-12
XXJ43919,GenBank,PV855236,,ORF1ab polyprotein,Human coronavirus NL63,W186,123,2022-04-01
XUM36815,GenBank,PV685469,,ORF1ab polyprotein,Human coronavirus NL63,NL63/023352/USA/2023,6724,2023-01-03
XUM36816,GenBank,PV685469,,ORF1a polyprotein,Human coronavirus NL63,NL63/023352/USA/2023,4055,2023-01-03
XUM36817,GenBank,PV685469,,spike protein,Human coronavirus NL63,NL63/023352/USA/2023,1355,2023-01-03
XUM36818,GenBank,PV685469,,nonstructural protein,Human coronavirus NL63,NL63/023352/USA/2023,225,2023-01-03
XUM36819,GenBank,PV685469,,envelope protein,Human coronavirus NL63,NL63/023352/USA/2023,77,2023-01-03
XUM36820,GenBank,PV685469,,membrane glycoprotein,Human coronavirus NL63,NL63/023352/USA/2023,226,2023-01-03
XUM36821,GenBank,PV685469,,nucleocapsid protein,Human coronavirus NL63,NL63/023352/USA/2023,377,2023-01-03
XUM36822,GenBank,PV685470,,ORF1ab polyprotein,Human coronavirus NL63,NL63/070312/USA/2024,6724,2024-02-06
XUM36823,GenBank,PV685470,,ORF1a polyprotein,Human coronavirus NL63,NL63/070312/USA/2024,4055,2024-02-06
XUM36824,GenBank,PV685470,,spike protein,Human coronavirus NL63,NL63/070312/USA/2024,1355,2024-02-06
XUM36825,GenBank,PV685470,,nonstructural protein,Human coronavirus NL63,NL63/070312/USA/2024,225,2024-02-06
XUM36826,GenBank,PV685470,,envelope protein,Human coronavirus NL63,NL63/070312/USA/2024,77,2024-02-06
XUM36827,GenBank,PV685470,,membrane glycoprotein,Human coronavirus NL63,NL63/070312/USA/2024,226,2024-02-06
XUM36828,GenBank,PV685470,,nucleocapsid protein,Human coronavirus NL63,NL63/070312/USA/2024,377,2024-02-06
XUM36829,GenBank,PV685471,,ORF1ab polyprotein,Human coronavirus NL63,NL63/174740/USA/2024,6724,2024-04-11
XUM36830,GenBank,PV685471,,ORF1a polyprotein,Human coronavirus NL63,NL63/174740/USA/2024,4055,2024-04-11
XUM36831,GenBank,PV685471,,spike protein,Human coronavirus NL63,NL63/174740/USA/2024,1355,2024-04-11
XUM36832,GenBank,PV685471,,nonstructural protein,Human coronavirus NL63,NL63/174740/USA/2024,225,2024-04-11
XUM36833,GenBank,PV685471,,envelope protein,Human coronavirus NL63,NL63/174740/USA/2024,77,2024-04-11
XUM36834,GenBank,PV685471,,membrane glycoprotein,Human coronavirus NL63,NL63/174740/USA/2024,226,2024-04-11
XUM36835,GenBank,PV685471,,nucleocapsid protein,Human coronavirus NL63,NL63/174740/USA/2024,377,2024-04-11
XUM36836,GenBank,PV685472,,ORF1ab polyprotein,Human coronavirus NL63,NL63/207692/USA/2024,6727,2024-07-15
XUM36837,GenBank,PV685472,,ORF1a polyprotein,Human coronavirus NL63,NL63/207692/USA/2024,4058,2024-07-15
XUM36838,GenBank,PV685472,,spike protein,Human coronavirus NL63,NL63/207692/USA/2024,1355,2024-07-15
XUM36839,GenBank,PV685472,,nonstructural protein,Human coronavirus NL63,NL63/207692/USA/2024,225,2024-07-15
XUM36840,GenBank,PV685472,,envelope protein,Human coronavirus NL63,NL63/207692/USA/2024,77,2024-07-15
XUM36841,GenBank,PV685472,,membrane glycoprotein,Human coronavirus NL63,NL63/207692/USA/2024,226,2024-07-15
XUM36842,GenBank,PV685472,,nucleocapsid protein,Human coronavirus NL63,NL63/207692/USA/2024,377,2024-07-15
XUM36843,GenBank,PV685473,,ORF1ab polyprotein,Human coronavirus NL63,NL63/216383/USA/2024,6724,2024-02-14
XUM36844,GenBank,PV685473,,ORF1a polyprotein,Human coronavirus NL63,NL63/216383/USA/2024,4055,2024-02-14
XUM36845,GenBank,PV685473,,spike protein,Human coronavirus NL63,NL63/216383/USA/2024,1355,2024-02-14
XUM36846,GenBank,PV685473,,nonstructural protein,Human coronavirus NL63,NL63/216383/USA/2024,225,2024-02-14
XUM36847,GenBank,PV685473,,envelope protein,Human coronavirus NL63,NL63/216383/USA/2024,77,2024-02-14
XUM36848,GenBank,PV685473,,membrane glycoprotein,Human coronavirus NL63,NL63/216383/USA/2024,226,2024-02-14
XUM36849,GenBank,PV685473,,nucleocapsid protein,Human coronavirus NL63,NL63/216383/USA/2024,377,2024-02-14
XUM36850,GenBank,PV685474,,ORF1ab polyprotein,Human coronavirus NL63,NL63/315346/USA/2024,6724,2024-06-21
XUM36851,GenBank,PV685474,,ORF1a polyprotein,Human coronavirus NL63,NL63/315346/USA/2024,4055,2024-06-21
XUM36852,GenBank,PV685474,,spike protein,Human coronavirus NL63,NL63/315346/USA/2024,1355,2024-06-21
XUM36853,GenBank,PV685474,,nonstructural protein,Human coronavirus NL63,NL63/315346/USA/2024,225,2024-06-21
XUM36854,GenBank,PV685474,,envelope protein,Human coronavirus NL63,NL63/315346/USA/2024,77,2024-06-21
XUM36855,GenBank,PV685474,,membrane glycoprotein,Human coronavirus NL63,NL63/315346/USA/2024,226,2024-06-21
XUM36856,GenBank,PV685474,,nucleocapsid protein,Human coronavirus NL63,NL63/315346/USA/2024,377,2024-06-21
XUM36857,GenBank,PV685475,,ORF1ab polyprotein,Human coronavirus NL63,NL63/332802/USA/2024,6724,2024-02-23
XUM36858,GenBank,PV685475,,ORF1a polyprotein,Human coronavirus NL63,NL63/332802/USA/2024,4055,2024-02-23
XUM36859,GenBank,PV685475,,spike protein,Human coronavirus NL63,NL63/332802/USA/2024,1355,2024-02-23
XUM36860,GenBank,PV685475,,nonstructural protein,Human coronavirus NL63,NL63/332802/USA/2024,225,2024-02-23
XUM36861,GenBank,PV685475,,envelope protein,Human coronavirus NL63,NL63/332802/USA/2024,77,2024-02-23
XUM36862,GenBank,PV685475,,membrane glycoprotein,Human coronavirus NL63,NL63/332802/USA/2024,228,2024-02-23
XUM36863,GenBank,PV685475,,nucleocapsid protein,Human coronavirus NL63,NL63/332802/USA/2024,377,2024-02-23
XUM36864,GenBank,PV685476,,ORF1ab polyprotein,Human coronavirus NL63,NL63/446343/USA/2023,6729,2023-12-30
XUM36865,GenBank,PV685476,,ORF1a polyprotein,Human coronavirus NL63,NL63/446343/USA/2023,4060,2023-12-30
XUM36866,GenBank,PV685476,,spike protein,Human coronavirus NL63,NL63/446343/USA/2023,1355,2023-12-30
XUM36867,GenBank,PV685476,,nonstructural protein,Human coronavirus NL63,NL63/446343/USA/2023,225,2023-12-30
XUM36868,GenBank,PV685476,,envelope protein,Human coronavirus NL63,NL63/446343/USA/2023,77,2023-12-30
XUM36869,GenBank,PV685476,,membrane glycoprotein,Human coronavirus NL63,NL63/446343/USA/2023,226,2023-12-30
XUM36870,GenBank,PV685476,,nucleocapsid protein,Human coronavirus NL63,NL63/446343/USA/2023,377,2023-12-30
XUM37273,GenBank,PV717807,,ORF1ab polyprotein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23836/2025,6724,2025-02-14
XUM37274,GenBank,PV717807,,ORF1a polyprotein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23836/2025,4055,2025-02-14
XUM37275,GenBank,PV717807,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23836/2025,1355,2025-02-14
XUM37276,GenBank,PV717807,,nonstructural protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23836/2025,225,2025-02-14
XUM37277,GenBank,PV717807,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23836/2025,77,2025-02-14
XUM37278,GenBank,PV717807,,membrane glycoprotein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23836/2025,226,2025-02-14
XUM37279,GenBank,PV717807,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23836/2025,377,2025-02-14
XUA29985,GenBank,PV642259,,ORF1ab polyprotein,Human coronavirus NL63,USA/WA-UW-df5ac/2023,6727,2023-03-22
XUA29986,GenBank,PV642259,,ORF1a polyprotein,Human coronavirus NL63,USA/WA-UW-df5ac/2023,4058,2023-03-22
XUA29987,GenBank,PV642259,,spike protein,Human coronavirus NL63,USA/WA-UW-df5ac/2023,1355,2023-03-22
XUA29988,GenBank,PV642259,,nonstructural protein,Human coronavirus NL63,USA/WA-UW-df5ac/2023,225,2023-03-22
XUA29989,GenBank,PV642259,,envelope protein,Human coronavirus NL63,USA/WA-UW-df5ac/2023,77,2023-03-22
XUA29990,GenBank,PV642259,,membrane glycoprotein,Human coronavirus NL63,USA/WA-UW-df5ac/2023,226,2023-03-22
XUA29991,GenBank,PV642259,,nucleocapsid protein,Human coronavirus NL63,USA/WA-UW-df5ac/2023,377,2023-03-22
XRO61281,GenBank,PV541787,,nucleocapsid protein,Human coronavirus NL63,An.Ma-11,99,2024-10-11
XRL80713,GenBank,PV539242,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_BWH-23315/2024,6729,2024-11-30
XRL80714,GenBank,PV539242,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_BWH-23315/2024,1355,2024-11-30
XRL80715,GenBank,PV539242,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_BWH-23315/2024,225,2024-11-30
XRL80716,GenBank,PV539242,,envelope protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_BWH-23315/2024,77,2024-11-30
XRL80717,GenBank,PV539242,,membrane protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_BWH-23315/2024,226,2024-11-30
XRL80718,GenBank,PV539242,,nucleocapsid protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_BWH-23315/2024,377,2024-11-30
XRH68629,GenBank,PV484781,,replicase polyprotein 1ab,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23518/2025,6724,2025-02-08
XRH68630,GenBank,PV484781,,spike protein,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23518/2025,1356,2025-02-08
XRH68631,GenBank,PV484781,,protein 3,Human coronavirus NL63,HCoV-NL63/human/USA/MA-Broad_MGH-23518/2025,225,2025-02-08
