Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
YP_009944365,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,4382,ORF1a polyprotein,
YP_009944366,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,180,nsp1,
YP_009944367,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,638,nsp2,
YP_009944368,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,1922,nsp3,
YP_009944369,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,500,nsp4,
YP_009944370,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,306,nsp5,
YP_009944371,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,290,nsp6,
YP_009944372,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,83,nsp7,
YP_009944373,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,198,nsp8,
YP_009944374,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,113,nsp9,
YP_009944375,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,139,nsp10,
YP_009944376,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,13,ndp11,
YP_009924301,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,10,nsp12,
YP_009825051,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,1255,spike glycoprotein,
YP_009825052,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,274,ORF3a protein,
YP_009825053,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,154,ORF3b protein,
YP_009825054,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,76,small envelope protein,
YP_009825055,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,221,membrane glycoprotein M,
YP_009825056,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,63,ORF6 protein,
YP_009825057,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,122,ORF7a protein,
YP_009825058,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,44,ORF7b protein,
YP_009825059,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,39,ORF8a protein,
YP_009825060,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,84,ORF8b protein,
YP_009825061,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,422,nucleocapsid protein,
YP_009825062,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,98,ORF9b protein,
YP_009825063,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,70,ORF9a protein,
NP_904321,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,13,nsp11-pp1a,
NP_904322,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,500,nsp4,
NP_849175,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,44,hypothetical protein sars7b,
NP_849176,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,39,hypothetical protein sars8a,
NP_849177,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,84,hypothetical protein sars8b,
NP_828860,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,180,nsp1,
NP_828861,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,638,nsp2,
NP_828862,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,1922,nsp3,
NP_828863,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,306,nsp5,
NP_828864,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,290,nsp6,
NP_828865,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,83,nsp7,
NP_828866,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,198,nsp8,
NP_828867,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,113,nsp9,
NP_828868,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,139,nsp10,
NP_828869,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,932,nsp12-pp1ab (RdRp),
NP_828870,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,601,nsp13,
NP_828871,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,527,nsp14,
NP_828872,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,346,nsp15,
NP_828873,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,298,nsp16,
NP_828849,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,7073,ORF1ab polyprotein,
NP_828850,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,Tor2,Betacoronavirus pandemicum,4382,orf1a polyprotein (pp1a),
