Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Species,Length,Protein
YP_009944280,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,112,ORF8b
YP_009944281,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,193,nsp1
YP_009944282,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,660,nsp2
YP_009944283,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,1887,nsp3
YP_009944284,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,507,nsp4
YP_009944285,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,306,nsp5
YP_009944286,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,292,nsp6
YP_009944287,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,83,nsp7
YP_009944288,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,199,nsp8
YP_009944289,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,110,nsp9
YP_009944290,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,140,nsp10
YP_009944291,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,14,nsp11
YP_009944292,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,193,nsp1
YP_009944293,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,660,nsp2
YP_009944294,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,1887,nsp3
YP_009944295,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,507,nsp4
YP_009944296,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,306,nsp5
YP_009944297,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,292,nsp6
YP_009944298,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,83,nsp7
YP_009944299,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,199,nsp8
YP_009944300,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,110,nsp9
YP_009944301,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,140,nsp10
YP_009944302,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,Middle East respiratory syndrome-related coronavirus,933,nsp12
