Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Species,Isolate,Length,Collection_Date
YP_001941164,RefSeq,NC_010800,GCF_000880055.1,ORF1ab polyprotein,Turkey coronavirus,Gammacoronavirus galli,MG10,6602,
YP_001941165,RefSeq,NC_010800,GCF_000880055.1,ORF1a,Turkey coronavirus,Gammacoronavirus galli,MG10,3951,
YP_001941166,RefSeq,NC_010800,GCF_000880055.1,spike protein,Turkey coronavirus,Gammacoronavirus galli,MG10,1226,
YP_001941167,RefSeq,NC_010800,GCF_000880055.1,3a protein,Turkey coronavirus,Gammacoronavirus galli,MG10,57,
YP_001941168,RefSeq,NC_010800,GCF_000880055.1,3b protein,Turkey coronavirus,Gammacoronavirus galli,MG10,64,
YP_001941169,RefSeq,NC_010800,GCF_000880055.1,envelope protein,Turkey coronavirus,Gammacoronavirus galli,MG10,99,
YP_001941170,RefSeq,NC_010800,GCF_000880055.1,membrane protein,Turkey coronavirus,Gammacoronavirus galli,MG10,223,
YP_001941171,RefSeq,NC_010800,GCF_000880055.1,hypothetical protein,Turkey coronavirus,Gammacoronavirus galli,MG10,94,
YP_001941172,RefSeq,NC_010800,GCF_000880055.1,5a protein,Turkey coronavirus,Gammacoronavirus galli,MG10,65,
YP_001941173,RefSeq,NC_010800,GCF_000880055.1,5b protein,Turkey coronavirus,Gammacoronavirus galli,MG10,82,
YP_001941174,RefSeq,NC_010800,GCF_000880055.1,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,MG10,409,
YP_001941175,RefSeq,NC_010800,GCF_000880055.1,NSP1/2,Turkey coronavirus,Gammacoronavirus galli,MG10,673,
YP_001941176,RefSeq,NC_010800,GCF_000880055.1,NSP3,Turkey coronavirus,Gammacoronavirus galli,MG10,1592,
YP_001941177,RefSeq,NC_010800,GCF_000880055.1,NSP4,Turkey coronavirus,Gammacoronavirus galli,MG10,514,
YP_001941178,RefSeq,NC_010800,GCF_000880055.1,NSP5,Turkey coronavirus,Gammacoronavirus galli,MG10,307,
YP_001941179,RefSeq,NC_010800,GCF_000880055.1,NSP6,Turkey coronavirus,Gammacoronavirus galli,MG10,293,
YP_001941180,RefSeq,NC_010800,GCF_000880055.1,NSP7,Turkey coronavirus,Gammacoronavirus galli,MG10,83,
YP_001941181,RefSeq,NC_010800,GCF_000880055.1,NSP8,Turkey coronavirus,Gammacoronavirus galli,MG10,210,
YP_001941182,RefSeq,NC_010800,GCF_000880055.1,NSP9,Turkey coronavirus,Gammacoronavirus galli,MG10,111,
YP_001941183,RefSeq,NC_010800,GCF_000880055.1,NSP10,Turkey coronavirus,Gammacoronavirus galli,MG10,145,
YP_001941184,RefSeq,NC_010800,GCF_000880055.1,NSP11,Turkey coronavirus,Gammacoronavirus galli,MG10,23,
YP_001941185,RefSeq,NC_010800,GCF_000880055.1,NSP12,Turkey coronavirus,Gammacoronavirus galli,MG10,942,
YP_001941186,RefSeq,NC_010800,GCF_000880055.1,NSP13,Turkey coronavirus,Gammacoronavirus galli,MG10,600,
YP_001941187,RefSeq,NC_010800,GCF_000880055.1,NSP14,Turkey coronavirus,Gammacoronavirus galli,MG10,518,
YP_001941188,RefSeq,NC_010800,GCF_000880055.1,NSP15,Turkey coronavirus,Gammacoronavirus galli,MG10,338,
YP_001941189,RefSeq,NC_010800,GCF_000880055.1,NSP16,Turkey coronavirus,Gammacoronavirus galli,MG10,277,
UYB79108,GenBank,ON868855,,spike protein,Turkey coronavirus,Gammacoronavirus galli,2991,232,2020-09-01
UYB79109,GenBank,ON868856,,spike protein,Turkey coronavirus,Gammacoronavirus galli,323,235,2021-07-09
UYB79110,GenBank,ON868857,,spike protein,Turkey coronavirus,Gammacoronavirus galli,1254,234,2021-07-29
UYB79111,GenBank,ON868858,,spike protein,Turkey coronavirus,Gammacoronavirus galli,1539,234,2021-08-05
UYB79112,GenBank,ON868859,,spike protein,Turkey coronavirus,Gammacoronavirus galli,7062,234,2021-11-12
UYB79113,GenBank,ON868861,,spike protein,Turkey coronavirus,Gammacoronavirus galli,16312,234,2021-05-27
UYB79114,GenBank,ON868863,,spike protein,Turkey coronavirus,Gammacoronavirus galli,17512,234,2022-05-11
URX52598,GenBank,ON246162,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1199,2015-02-06
URX52599,GenBank,ON246163,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1199,2018-08-13
URW63881,GenBank,ON227454,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1199,2009-10-15
URW63882,GenBank,ON227455,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1199,2010-02-10
URW63883,GenBank,ON227456,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1200,2010-07-13
URW63884,GenBank,ON227457,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1200,2010-09-10
URW63885,GenBank,ON227458,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1199,2014-11-20
URW63886,GenBank,ON227459,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1200,2015-07-28
URW63887,GenBank,ON227460,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1200,2015-04-16
URW63888,GenBank,ON227461,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1200,2015-07-21
URW63889,GenBank,ON227462,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1200,2016-02-08
URW63890,GenBank,ON227463,,spike protein,Turkey coronavirus,Gammacoronavirus galli,,1199,2016-05-24
