Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
UWV66679,Porcine coronavirus,GenBank,,MZ271775,,Porcine coronavirus,179,RdRp,2015
UWV66680,Porcine coronavirus,GenBank,,MZ271776,,Porcine coronavirus,180,RdRp,2015
UWV66681,Porcine coronavirus,GenBank,,MZ271777,,Porcine coronavirus,179,RdRp,2015
UWV66682,Porcine coronavirus,GenBank,,MZ271778,,Porcine coronavirus,180,RdRp,2015
UWV66683,Porcine coronavirus,GenBank,,MZ271779,,Porcine coronavirus,184,RdRp,2015
UWV66684,Porcine coronavirus,GenBank,,MZ271780,,Porcine coronavirus,184,RdRp,2015
UWV66685,Porcine coronavirus,GenBank,,MZ271781,,Porcine coronavirus,184,RdRp,2015
UWV66686,Porcine coronavirus,GenBank,,MZ271782,,Porcine coronavirus,184,RdRp,2015
UWV66687,Porcine coronavirus,GenBank,,MZ271783,,Porcine coronavirus,181,RdRp,2015
UWV66688,Porcine coronavirus,GenBank,,MZ271784,,Porcine coronavirus,181,RdRp,2015
UWV66689,Porcine coronavirus,GenBank,,MZ271785,,Porcine coronavirus,188,RdRp,2015
UWV66690,Porcine coronavirus,GenBank,,MZ271786,,Porcine coronavirus,181,RdRp,2015
