Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
UMO75619,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,7084,ORF1ab,2020
UMO75620,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,1327,spike protein,2020
UMO75621,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,103,hypothetical protein,2020
UMO75622,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,96,hypothetical protein,2020
UMO75623,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,228,hypothetical protein,2020
UMO75624,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,79,envelop protein,2020
UMO75625,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,217,membrane protein,2020
UMO75626,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451212,HeN-F3,Erinaceus hedgehog coronavirus HKU31,427,nucleocapsid protein,2020
UMO75627,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,7084,ORF1ab,2021
UMO75628,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,1327,spike protein,2021
UMO75629,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,103,hypothetical protein,2021
UMO75630,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,96,hypothetical protein,2021
UMO75631,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,228,hypothetical protein,2021
UMO75632,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,82,envelop protein,2021
UMO75633,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,218,membrane protein,2021
UMO75634,Erinaceus hedgehog coronavirus HKU31,GenBank,,OM451213,HeB-MO1,Erinaceus hedgehog coronavirus HKU31,427,nucleocapsid protein,2021
QGA70691,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,7084,replicase polyprotein 1ab,2014-08
QGA70692,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,1327,spike glycoprotein,2014-08
QGA70693,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,103,hypothetical protein,2014-08
QGA70694,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,96,hypothetical protein,2014-08
QGA70695,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,225,hypothetical protein,2014-08
QGA70696,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,228,hypothetical protein,2014-08
QGA70697,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,82,envelope protein,2014-08
QGA70698,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,218,membrane protein,2014-08
QGA70699,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,427,nucleocapsid protein,2014-08
QGA70700,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907286,MK907286,,Erinaceus hedgehog coronavirus HKU31,188,hypothetical protein,2014-08
QGA70701,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,7084,replicase polyprotein 1ab,2014-08
QGA70702,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,1327,spike glycoprotein,2014-08
QGA70703,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,103,hypothetical protein,2014-08
QGA70704,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,96,hypothetical protein,2014-08
QGA70705,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,225,hypothetical protein,2014-08
QGA70706,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,228,hypothetical protein,2014-08
QGA70707,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,82,envelope protein,2014-08
QGA70708,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,218,membrane protein,2014-08
QGA70709,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,427,nucleocapsid protein,2014-08
QGA70710,Erinaceus hedgehog coronavirus HKU31,GenBank,set:MK907287,MK907287,,Erinaceus hedgehog coronavirus HKU31,188,hypothetical protein,2014-08
