Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
XTP86149,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,3940,ORF1a,2012
XTP86150,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,6607,ORF1ab,2012
XTP86151,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,1454,spike,2012
XTP86152,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,78,ORF3a,2012
XTP86153,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,71,ORF3b,2012
XTP86154,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,250,ORF3c,2012
XTP86155,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,82,envelope,2012
XTP86156,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,289,matrix,2012
XTP86157,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,381,nucleocapsid,2012
XTP86158,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,101,ORF7a,2012
XTP86159,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,213,ORF7b,2012
XTP86160,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,3940,ORF1a,2012
XTP86161,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,6607,ORF1ab,2012
XTP86162,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,1454,spike,2012
XTP86163,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,78,ORF3a,2012
XTP86164,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,71,ORF3b,2012
XTP86165,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,250,ORF3c,2012
XTP86166,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,82,envelope,2012
XTP86167,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,289,matrix,2012
XTP86168,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,381,nucleocapsid,2012
XTP86169,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,101,ORF7a,2012
XTP86170,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,213,ORF7b,2012
XTP86171,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,3940,ORF1a,2012
XTP86172,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,6607,ORF1ab,2012
XTP86173,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,1454,spike,2012
XTP86174,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,78,ORF3a,2012
XTP86175,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,71,ORF3b,2012
XTP86176,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,250,ORF3c,2012
XTP86177,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,82,envelope,2012
XTP86178,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,289,matrix,2012
XTP86179,Canine coronavirus 2,GenBank,,PQ127013,CCoV2_PU294_USA_2012,Alphacoronavirus 1,381,nucleocapsid,2012
