Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
YP_009944280,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,112,ORF8b,2012-09-11
YP_009944281,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,193,nsp1,2012-09-11
YP_009944282,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,660,nsp2,2012-09-11
YP_009944283,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,1887,nsp3,2012-09-11
YP_009944284,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,507,nsp4,2012-09-11
YP_009944285,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,306,nsp5,2012-09-11
YP_009944286,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,292,nsp6,2012-09-11
YP_009944287,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,83,nsp7,2012-09-11
YP_009944288,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,199,nsp8,2012-09-11
YP_009944289,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,110,nsp9,2012-09-11
YP_009944290,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,140,nsp10,2012-09-11
YP_009944291,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,14,nsp11,2012-09-11
YP_009944292,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,193,nsp1,2012-09-11
YP_009944293,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,660,nsp2,2012-09-11
YP_009944294,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,1887,nsp3,2012-09-11
YP_009944295,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,507,nsp4,2012-09-11
YP_009944296,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,306,nsp5,2012-09-11
YP_009944297,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,292,nsp6,2012-09-11
YP_009944298,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,83,nsp7,2012-09-11
YP_009944299,Betacoronavirus England 1,RefSeq,GCF_002816195.1,NC_038294,H123990006,Middle East respiratory syndrome-related coronavirus,199,nsp8,2012-09-11
