Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Species,Isolate,Length,Collection_Date
YP_009256195,RefSeq,NC_030292,GCF_001661775.1,ORF1ab polyprotein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,6622,2010
YP_009256196,RefSeq,NC_030292,GCF_001661775.1,ORF1a polyprotein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,3958,2010
YP_009256197,RefSeq,NC_030292,GCF_001661775.1,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,1438,2010
YP_009256198,RefSeq,NC_030292,GCF_001661775.1,non-structural protein 3c,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,247,2010
YP_009256199,RefSeq,NC_030292,GCF_001661775.1,envelope protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,82,2010
YP_009256200,RefSeq,NC_030292,GCF_001661775.1,membrane protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,265,2010
YP_009256201,RefSeq,NC_030292,GCF_001661775.1,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,375,2010
YP_009256202,RefSeq,NC_030292,GCF_001661775.1,hypothetical protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,90,2010
YP_009256203,RefSeq,NC_030292,GCF_001661775.1,nsp 7b protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV-NL-2010,202,2010
WAB23833,GenBank,OP933726,,ORF1a polyprotein is cleaved to yield the nonstructural proteins,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,3940,2021-08-31
WAB23834,GenBank,OP933726,,ORF1b polyprotein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,2608,2021-08-31
WAB23835,GenBank,OP933726,,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,1435,2021-08-31
WAB23836,GenBank,OP933726,,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,372,2021-08-31
WAB23837,GenBank,OP933726,,non-structural protein 3c,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,244,2021-08-31
WAB23838,GenBank,OP933726,,hypothetical protein 7b,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,202,2021-08-31
WAB23839,GenBank,OP933726,,envelope protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,82,2021-08-31
WAB23840,GenBank,OP933726,,3x protein,Ferret coronavirus,Alphacoronavirus neovisontis,FRCoV MeGB01-2022,71,2021-08-31
UZC49593,GenBank,OP776452,,RNA-dependent RNA polymerase,Ferret coronavirus,Alphacoronavirus neovisontis,21123296,114,2021-11-02
QOC68681,GenBank,MN831117,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV02,127,2019
QOC68682,GenBank,MN831118,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV03,127,2019
QOC68683,GenBank,MN831119,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV04,127,2019
QOC68684,GenBank,MN831120,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV05,127,2019
QOC68685,GenBank,MN831121,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV06,127,2019
QOC68686,GenBank,MN831122,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV07,127,2019
QOC68687,GenBank,MN831123,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV08,126,2019
QOC68688,GenBank,MN831124,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV09,126,2019
QOC68689,GenBank,MN831125,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV10,127,2019
QOC68690,GenBank,MN831126,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV11,126,2019
QOC68691,GenBank,MN831127,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV12,127,2019
QOC68692,GenBank,MN831128,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV13,127,2019
QOC68693,GenBank,MN831129,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV14,127,2019
QOC68694,GenBank,MN831130,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV15,127,2019
QOC68695,GenBank,MN831131,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV16,127,2019
QOC68696,GenBank,MN831132,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV17,126,2019
QOC68697,GenBank,MN831133,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV18,127,2019
QOC68698,GenBank,MN831134,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV19,127,2019
QOC68699,GenBank,MN831135,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV20,127,2019
QOC68700,GenBank,MN831136,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV21,126,2019
QOC68701,GenBank,MN831137,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV22,127,2019
QOC68702,GenBank,MN831138,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV23,127,2019
QOC68703,GenBank,MN831139,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV24,127,2019
QOC68704,GenBank,MN831140,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV25,127,2019
QOC68705,GenBank,MN831141,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV26,127,2019
QOC68706,GenBank,MN831142,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV27,126,2019
QOC68707,GenBank,MN831143,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV28,127,2019
QOC68708,GenBank,MN831144,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV29,124,2019
QOC68709,GenBank,MN831145,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV30,126,2019
QOC68710,GenBank,MN831146,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV31,121,2019
QOC68711,GenBank,MN831147,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV32,126,2019
QOC68712,GenBank,MN831148,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV33,126,2019
QOC68713,GenBank,MN831149,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV34,126,2019
QOC68714,GenBank,MN831150,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV35,126,2019
QOC68715,GenBank,MN831151,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV36,126,2019
QOC68716,GenBank,MN831152,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV37,126,2019
QOC68717,GenBank,MN831153,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV38,126,2019
QOC68718,GenBank,MN831154,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV39,126,2019
QOC68719,GenBank,MN831155,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV40,127,2019
QOC68720,GenBank,MN831156,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV41,124,2019
QOC68721,GenBank,MN831157,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV42,124,2019
QOC68722,GenBank,MN831158,,RdRp,Ferret coronavirus,Alphacoronavirus neovisontis,BJ2019FerretCoV01,126,2019
BBA21166,GenBank,LC215871,set:LC215871,ORF1a polyproteine,Ferret coronavirus,Alphacoronavirus neovisontis,,3989,2016-06-29
BBA21167,GenBank,LC215871,set:LC215871,ORF1b polyprotein,Ferret coronavirus,Alphacoronavirus neovisontis,,2609,2016-06-29
BBA21168,GenBank,LC215871,set:LC215871,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,1446,2016-06-29
BBA21169,GenBank,LC215871,set:LC215871,ORF3c protein,Ferret coronavirus,Alphacoronavirus neovisontis,,247,2016-06-29
BBA21170,GenBank,LC215871,set:LC215871,envelope protein,Ferret coronavirus,Alphacoronavirus neovisontis,,82,2016-06-29
BBA21171,GenBank,LC215871,set:LC215871,membrane protein,Ferret coronavirus,Alphacoronavirus neovisontis,,267,2016-06-29
BBA21172,GenBank,LC215871,set:LC215871,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,,374,2016-06-29
BBA21173,GenBank,LC215871,set:LC215871,3x protein,Ferret coronavirus,Alphacoronavirus neovisontis,,74,2016-06-29
BBA21174,GenBank,LC215871,set:LC215871,non-structural protein,Ferret coronavirus,Alphacoronavirus neovisontis,,204,2016-06-29
ASR18936,GenBank,KX512809,set:KX512809,pp1a,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,3879,2015
ASR18937,GenBank,KX512809,set:KX512809,pp1ab,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,2589,2015
ASR18938,GenBank,KX512809,set:KX512809,spike protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,1454,2015
ASR18939,GenBank,KX512809,set:KX512809,hypothetical protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,247,2015
ASR18940,GenBank,KX512809,set:KX512809,envelope protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,82,2015
ASR18941,GenBank,KX512809,set:KX512809,membrane protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,260,2015
ASR18942,GenBank,KX512809,set:KX512809,nucleocapsid protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,374,2015
ASR18943,GenBank,KX512809,set:KX512809,nsp 7b protein,Ferret enteric coronavirus,Alphacoronavirus neovisontis,,204,2015
ASR18944,GenBank,KX512810,set:KX512810,pp1a,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,3879,2015
ASR18945,GenBank,KX512810,set:KX512810,pp1ab,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,2609,2015
ASR18946,GenBank,KX512810,set:KX512810,spike protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,1449,2015
ASR18947,GenBank,KX512810,set:KX512810,hypothetical protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,247,2015
ASR18948,GenBank,KX512810,set:KX512810,envelope protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,82,2015
ASR18949,GenBank,KX512810,set:KX512810,membrane protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,267,2015
ASR18950,GenBank,KX512810,set:KX512810,nucleocapsid protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,374,2015
ASR18951,GenBank,KX512810,set:KX512810,nsp 7b protein,Ferret systemic coronavirus,Alphacoronavirus neovisontis,,204,2015
BAV31347,GenBank,LC119077,set:LC119077,ORF1a polyprotein,Ferret coronavirus,Alphacoronavirus neovisontis,,3988,2013-05-22
BAV31348,GenBank,LC119077,set:LC119077,ORF1b polyprotein,Ferret coronavirus,Alphacoronavirus neovisontis,,2609,2013-05-22
BAV31349,GenBank,LC119077,set:LC119077,spike protein,Ferret coronavirus,Alphacoronavirus neovisontis,,1449,2013-05-22
BAV31350,GenBank,LC119077,set:LC119077,non-structural protein 3c,Ferret coronavirus,Alphacoronavirus neovisontis,,247,2013-05-22
BAV31351,GenBank,LC119077,set:LC119077,envelope protein,Ferret coronavirus,Alphacoronavirus neovisontis,,82,2013-05-22
BAV31352,GenBank,LC119077,set:LC119077,membrane protein,Ferret coronavirus,Alphacoronavirus neovisontis,,263,2013-05-22
BAV31353,GenBank,LC119077,set:LC119077,nucleocapsid protein,Ferret coronavirus,Alphacoronavirus neovisontis,,374,2013-05-22
BAV31354,GenBank,LC119077,set:LC119077,3x protein,Ferret coronavirus,Alphacoronavirus neovisontis,,74,2013-05-22
