Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein,Collection_Date
YP_009513020,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,Coronavirus HKU15,6267,ORF1ab polyprotein,2010
YP_009513021,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,Coronavirus HKU15,1159,spike glycoprotein,2010
YP_009513022,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,Coronavirus HKU15,83,envelope protein,2010
YP_009513023,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,Coronavirus HKU15,217,membrane protein,2010
YP_009513024,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,Coronavirus HKU15,94,NS6 protein,2010
YP_009513025,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,Coronavirus HKU15,342,nucleocapsid protein,2010
YP_009513026,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,,Coronavirus HKU15,200,NS7 protein,2010
XUX57324,Porcine deltacoronavirus,GenBank,,PV717860,CHzmd1113,Coronavirus HKU15,1160,S,
XSS90753,Porcine deltacoronavirus,GenBank,,PV593735,PDCoV/HNNY/2024,Coronavirus HKU15,6265,replicase polyprotein,2024-09
XSS90754,Porcine deltacoronavirus,GenBank,,PV593735,PDCoV/HNNY/2024,Coronavirus HKU15,1160,spike glycoprotein,2024-09
XSS90755,Porcine deltacoronavirus,GenBank,,PV593735,PDCoV/HNNY/2024,Coronavirus HKU15,83,envelope protein,2024-09
XSS90756,Porcine deltacoronavirus,GenBank,,PV593735,PDCoV/HNNY/2024,Coronavirus HKU15,217,membrane protein,2024-09
XSS90757,Porcine deltacoronavirus,GenBank,,PV593735,PDCoV/HNNY/2024,Coronavirus HKU15,94,NS6 protein,2024-09
XSS90758,Porcine deltacoronavirus,GenBank,,PV593735,PDCoV/HNNY/2024,Coronavirus HKU15,342,nucleocapsid protein,2024-09
XSS90759,Porcine deltacoronavirus,GenBank,,PV593735,PDCoV/HNNY/2024,Coronavirus HKU15,200,NS7 protein,2024-09
XSG41504,Porcine deltacoronavirus,GenBank,,PV580088,DHeB1,Coronavirus HKU15,6265,replicase polyprotein,2017
XSG41505,Porcine deltacoronavirus,GenBank,,PV580088,DHeB1,Coronavirus HKU15,1159,spike glycoprotein,2017
XSG41506,Porcine deltacoronavirus,GenBank,,PV580088,DHeB1,Coronavirus HKU15,83,envelope protein,2017
XSG41507,Porcine deltacoronavirus,GenBank,,PV580088,DHeB1,Coronavirus HKU15,217,membrane protein,2017
XSG41508,Porcine deltacoronavirus,GenBank,,PV580088,DHeB1,Coronavirus HKU15,94,NS6 protein,2017
XSG41509,Porcine deltacoronavirus,GenBank,,PV580088,DHeB1,Coronavirus HKU15,342,nucleocapsid protein,2017
XSG41510,Porcine deltacoronavirus,GenBank,,PV580088,DHeB1,Coronavirus HKU15,200,NS7 protein,2017
XRL80525,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,6267,ORF1ab polyprotein,
XRL80526,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,1160,spike glycoprotein,
XRL80527,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,83,envelope protein,
XRL80528,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,217,membrane protein,
XRL80529,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,94,NS6 protein,
XRL80530,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,342,nucleocapsid protein,
XRL80531,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,200,NS7 protein,
XRL80532,Porcine deltacoronavirus,GenBank,,PV534030,JS2021,Coronavirus HKU15,3626,ORF1a polyprotein,
XPL77754,Porcine deltacoronavirus,GenBank,,PV164736,PDCoV SX24SX0701-04,Coronavirus HKU15,1159,spike protein,2024-07-22
XPL77755,Porcine deltacoronavirus,GenBank,,PV164737,PDCoV ZJ23JH0201,Coronavirus HKU15,1159,spike protein,2023-02-16
XPL77756,Porcine deltacoronavirus,GenBank,,PV164738,PDCoV ZJ24LS1001-02,Coronavirus HKU15,1159,spike protein,2024-10-21
XPL77757,Porcine deltacoronavirus,GenBank,,PV164739,PDCoV ZJ24SX0201,Coronavirus HKU15,1159,spike protein,2024-02-01
WCS91523,Porcine deltacoronavirus,GenBank,,MW627230,CH/SCYB/2016,Coronavirus HKU15,83,envelope protein,2016-12-27
WCS91524,Porcine deltacoronavirus,GenBank,,MW627230,CH/SCYB/2016,Coronavirus HKU15,217,membrane protein,2016-12-27
WCS91525,Porcine deltacoronavirus,GenBank,,MW627230,CH/SCYB/2016,Coronavirus HKU15,94,NS6 protein,2016-12-27
WCS91526,Porcine deltacoronavirus,GenBank,,MW627230,CH/SCYB/2016,Coronavirus HKU15,342,nucleocapsid protein,2016-12-27
WCS91527,Porcine deltacoronavirus,GenBank,,MW627230,CH/SCYB/2016,Coronavirus HKU15,200,NS7 protein,2016-12-27
WCS91528,Porcine deltacoronavirus,GenBank,,MW627230,CH/SCYB/2016,Coronavirus HKU15,6265,replicase polyprotein,2016-12-27
WCS91529,Porcine deltacoronavirus,GenBank,,MW627230,CH/SCYB/2016,Coronavirus HKU15,1159,spike glycoprotein,2016-12-27
WCS91530,Porcine deltacoronavirus,GenBank,,MW627231,CH/SCNC/2017,Coronavirus HKU15,83,envelope protein,2017-05-12
WCS91531,Porcine deltacoronavirus,GenBank,,MW627231,CH/SCNC/2017,Coronavirus HKU15,217,membrane protein,2017-05-12
WCS91532,Porcine deltacoronavirus,GenBank,,MW627231,CH/SCNC/2017,Coronavirus HKU15,94,NS6 protein,2017-05-12
WCS91533,Porcine deltacoronavirus,GenBank,,MW627231,CH/SCNC/2017,Coronavirus HKU15,342,nucleocapsid protein,2017-05-12
WCS91534,Porcine deltacoronavirus,GenBank,,MW627231,CH/SCNC/2017,Coronavirus HKU15,200,NS7 protein,2017-05-12
WCS91535,Porcine deltacoronavirus,GenBank,,MW627231,CH/SCNC/2017,Coronavirus HKU15,6265,replicase polyprotein,2017-05-12
WCS91536,Porcine deltacoronavirus,GenBank,,MW627231,CH/SCNC/2017,Coronavirus HKU15,1159,spike glycoprotein,2017-05-12
WCS91537,Porcine deltacoronavirus,GenBank,,MW627232,CH/SCBC/2017,Coronavirus HKU15,1159,spike glycoprotein,2017-09-10
WCS91538,Porcine deltacoronavirus,GenBank,,MW627232,CH/SCBC/2017,Coronavirus HKU15,83,envelope protein,2017-09-10
WCS91539,Porcine deltacoronavirus,GenBank,,MW627232,CH/SCBC/2017,Coronavirus HKU15,217,membrane protein,2017-09-10
WCS91540,Porcine deltacoronavirus,GenBank,,MW627232,CH/SCBC/2017,Coronavirus HKU15,94,NS6 protein,2017-09-10
WCS91541,Porcine deltacoronavirus,GenBank,,MW627232,CH/SCBC/2017,Coronavirus HKU15,342,nucleocapsid protein,2017-09-10
