Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
XTP86149,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,3940,ORF1a
XTP86150,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,6607,ORF1ab
XTP86151,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,1454,spike
XTP86152,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,78,ORF3a
XTP86153,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,71,ORF3b
XTP86154,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,250,ORF3c
XTP86155,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,82,envelope
XTP86156,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,289,matrix
XTP86157,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,381,nucleocapsid
XTP86158,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,101,ORF7a
XTP86159,Canine coronavirus 2,GenBank,,PQ127011,CCoV2_PU296_USA_2012,Alphacoronavirus 1,213,ORF7b
XTP86160,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,3940,ORF1a
XTP86161,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,6607,ORF1ab
XTP86162,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,1454,spike
XTP86163,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,78,ORF3a
XTP86164,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,71,ORF3b
XTP86165,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,250,ORF3c
XTP86166,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,82,envelope
XTP86167,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,289,matrix
XTP86168,Canine coronavirus 2,GenBank,,PQ127012,CCoV2_PU293_USA_2012,Alphacoronavirus 1,381,nucleocapsid
