Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_009924317,RefSeq,NC_006213,GCF_003972325.1,ORF1a polyprotein,Human coronavirus OC43,,4383,
YP_009924318,RefSeq,NC_006213,GCF_003972325.1,I protein,Human coronavirus OC43,,60,
YP_009924319,RefSeq,NC_006213,GCF_003972325.1,nsp1,Human coronavirus OC43,,246,
YP_009924320,RefSeq,NC_006213,GCF_003972325.1,nsp2,Human coronavirus OC43,,605,
YP_009924321,RefSeq,NC_006213,GCF_003972325.1,nsp3,Human coronavirus OC43,,1899,
YP_009924322,RefSeq,NC_006213,GCF_003972325.1,nsp4,Human coronavirus OC43,,496,
YP_009924323,RefSeq,NC_006213,GCF_003972325.1,nsp5,Human coronavirus OC43,,303,
YP_009924324,RefSeq,NC_006213,GCF_003972325.1,nsp6,Human coronavirus OC43,,287,
YP_009924325,RefSeq,NC_006213,GCF_003972325.1,nsp7,Human coronavirus OC43,,89,
YP_009924326,RefSeq,NC_006213,GCF_003972325.1,nsp8,Human coronavirus OC43,,197,
YP_009924327,RefSeq,NC_006213,GCF_003972325.1,nsp9,Human coronavirus OC43,,110,
YP_009924328,RefSeq,NC_006213,GCF_003972325.1,nsp10,Human coronavirus OC43,,137,
YP_009924329,RefSeq,NC_006213,GCF_003972325.1,nsp11,Human coronavirus OC43,,14,
YP_009555238,RefSeq,NC_006213,GCF_003972325.1,ORF1ab polyprotein,Human coronavirus OC43,,7095,
YP_009555239,RefSeq,NC_006213,GCF_003972325.1,ns2,Human coronavirus OC43,,278,
YP_009555240,RefSeq,NC_006213,GCF_003972325.1,hemagglutinin-esterase,Human coronavirus OC43,,424,
YP_009555241,RefSeq,NC_006213,GCF_003972325.1,spike surface glycoprotein,Human coronavirus OC43,,1353,
YP_009555242,RefSeq,NC_006213,GCF_003972325.1,ns12.9,Human coronavirus OC43,,109,
YP_009555243,RefSeq,NC_006213,GCF_003972325.1,envelope protein,Human coronavirus OC43,,84,
YP_009555244,RefSeq,NC_006213,GCF_003972325.1,membrane protein,Human coronavirus OC43,,230,
YP_009555245,RefSeq,NC_006213,GCF_003972325.1,nucleocapsid protein,Human coronavirus OC43,,448,
YP_009555246,RefSeq,NC_006213,GCF_003972325.1,leader protein,Human coronavirus OC43,,246,
YP_009555247,RefSeq,NC_006213,GCF_003972325.1,MHV p65-like protein,Human coronavirus OC43,,605,
YP_009555248,RefSeq,NC_006213,GCF_003972325.1,nsp1,Human coronavirus OC43,,1899,
YP_009555249,RefSeq,NC_006213,GCF_003972325.1,transmembrane domain 2,Human coronavirus OC43,,496,
YP_009555250,RefSeq,NC_006213,GCF_003972325.1,nsp2,Human coronavirus OC43,,303,
YP_009555251,RefSeq,NC_006213,GCF_003972325.1,nsp5,Human coronavirus OC43,,197,
YP_009555252,RefSeq,NC_006213,GCF_003972325.1,nsp6,Human coronavirus OC43,,110,
YP_009555253,RefSeq,NC_006213,GCF_003972325.1,nsp7,Human coronavirus OC43,,137,
YP_009555254,RefSeq,NC_006213,GCF_003972325.1,nsp10,Human coronavirus OC43,,603,
YP_009555255,RefSeq,NC_006213,GCF_003972325.1,nsp11,Human coronavirus OC43,,521,
YP_009555256,RefSeq,NC_006213,GCF_003972325.1,nsp12,Human coronavirus OC43,,375,
YP_009555257,RefSeq,NC_006213,GCF_003972325.1,nsp13,Human coronavirus OC43,,299,
YP_009555258,RefSeq,NC_006213,GCF_003972325.1,nsp3,Human coronavirus OC43,,287,
YP_009555259,RefSeq,NC_006213,GCF_003972325.1,nsp4,Human coronavirus OC43,,89,
YP_009555260,RefSeq,NC_006213,GCF_003972325.1,nsp9,Human coronavirus OC43,,928,
XXJ43920,GenBank,PV855237,,ORF1ab polyprotein,Human coronavirus OC43,R914,148,2022
XXJ43921,GenBank,PV855238,,ORF1ab polyprotein,Human coronavirus OC43,VPNBM149,148,2022
XXJ43922,GenBank,PV855239,,ORF1ab polyprotein,Human coronavirus OC43,W147,148,2021-10-21
XXH79247,GenBank,PV837548,,ORF1ab polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,7095,2017-03-13
XXH79248,GenBank,PV837548,,ORF1a polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,4383,2017-03-13
XXH79249,GenBank,PV837548,,non-structural protein 2,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,278,2017-03-13
XXH79250,GenBank,PV837548,,hemagglutinin-esterase,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,427,2017-03-13
XXH79251,GenBank,PV837548,,spike protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,1358,2017-03-13
XXH79252,GenBank,PV837548,,non-structural protein 12.9,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,109,2017-03-13
XXH79253,GenBank,PV837548,,envelope protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,84,2017-03-13
XXH79254,GenBank,PV837548,,membrane glycoprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,230,2017-03-13
XXH79255,GenBank,PV837548,,nucleocapsid protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,448,2017-03-13
XXH79256,GenBank,PV837548,,internal protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354092/2017,207,2017-03-13
XXH79257,GenBank,PV837549,,ORF1ab polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,7095,2017-03-11
XXH79258,GenBank,PV837549,,ORF1a polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,4383,2017-03-11
XXH79259,GenBank,PV837549,,non-structural protein 2,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,215,2017-03-11
XXH79260,GenBank,PV837549,,hemagglutinin-esterase,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,344,2017-03-11
XXH79261,GenBank,PV837549,,spike protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,1358,2017-03-11
XXH79262,GenBank,PV837549,,non-structural protein 12.9,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,109,2017-03-11
XXH79263,GenBank,PV837549,,envelope protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,84,2017-03-11
XXH79264,GenBank,PV837549,,membrane glycoprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,230,2017-03-11
XXH79265,GenBank,PV837549,,nucleocapsid protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,448,2017-03-11
XXH79266,GenBank,PV837549,,internal protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02354129/2017,207,2017-03-11
XXH79267,GenBank,PV837550,,ORF1ab polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,7095,2017-03-03
XXH79268,GenBank,PV837550,,ORF1a polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,4383,2017-03-03
XXH79269,GenBank,PV837550,,non-structural protein 2,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,278,2017-03-03
XXH79270,GenBank,PV837550,,hemagglutinin-esterase,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,427,2017-03-03
XXH79271,GenBank,PV837550,,spike protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,1358,2017-03-03
XXH79272,GenBank,PV837550,,non-structural protein 12.9,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,109,2017-03-03
XXH79273,GenBank,PV837550,,envelope protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,84,2017-03-03
XXH79274,GenBank,PV837550,,membrane glycoprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,230,2017-03-03
XXH79275,GenBank,PV837550,,nucleocapsid protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,448,2017-03-03
XXH79276,GenBank,PV837550,,internal protein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355082/2017,207,2017-03-03
XXH79277,GenBank,PV837551,,ORF1ab polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355449/2017,7095,2017-03-15
XXH79278,GenBank,PV837551,,ORF1a polyprotein,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355449/2017,4383,2017-03-15
XXH79279,GenBank,PV837551,,non-structural protein 2,Human coronavirus OC43,HCoV-OC43/USA/MD-FB02355449/2017,278,2017-03-15
