Accession,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_001941164,NC_010800,GCF_000880055.1,ORF1ab polyprotein,Turkey coronavirus,MG10,6602,
YP_001941165,NC_010800,GCF_000880055.1,ORF1a,Turkey coronavirus,MG10,3951,
YP_001941166,NC_010800,GCF_000880055.1,spike protein,Turkey coronavirus,MG10,1226,
YP_001941167,NC_010800,GCF_000880055.1,3a protein,Turkey coronavirus,MG10,57,
YP_001941168,NC_010800,GCF_000880055.1,3b protein,Turkey coronavirus,MG10,64,
YP_001941169,NC_010800,GCF_000880055.1,envelope protein,Turkey coronavirus,MG10,99,
YP_001941170,NC_010800,GCF_000880055.1,membrane protein,Turkey coronavirus,MG10,223,
YP_001941171,NC_010800,GCF_000880055.1,hypothetical protein,Turkey coronavirus,MG10,94,
YP_001941172,NC_010800,GCF_000880055.1,5a protein,Turkey coronavirus,MG10,65,
YP_001941173,NC_010800,GCF_000880055.1,5b protein,Turkey coronavirus,MG10,82,
YP_001941174,NC_010800,GCF_000880055.1,nucleocapsid protein,Turkey coronavirus,MG10,409,
YP_001941175,NC_010800,GCF_000880055.1,NSP1/2,Turkey coronavirus,MG10,673,
YP_001941176,NC_010800,GCF_000880055.1,NSP3,Turkey coronavirus,MG10,1592,
YP_001941177,NC_010800,GCF_000880055.1,NSP4,Turkey coronavirus,MG10,514,
YP_001941178,NC_010800,GCF_000880055.1,NSP5,Turkey coronavirus,MG10,307,
YP_001941179,NC_010800,GCF_000880055.1,NSP6,Turkey coronavirus,MG10,293,
YP_001941180,NC_010800,GCF_000880055.1,NSP7,Turkey coronavirus,MG10,83,
YP_001941181,NC_010800,GCF_000880055.1,NSP8,Turkey coronavirus,MG10,210,
YP_001941182,NC_010800,GCF_000880055.1,NSP9,Turkey coronavirus,MG10,111,
YP_001941183,NC_010800,GCF_000880055.1,NSP10,Turkey coronavirus,MG10,145,
YP_001941184,NC_010800,GCF_000880055.1,NSP11,Turkey coronavirus,MG10,23,
YP_001941185,NC_010800,GCF_000880055.1,NSP12,Turkey coronavirus,MG10,942,
YP_001941186,NC_010800,GCF_000880055.1,NSP13,Turkey coronavirus,MG10,600,
YP_001941187,NC_010800,GCF_000880055.1,NSP14,Turkey coronavirus,MG10,518,
YP_001941188,NC_010800,GCF_000880055.1,NSP15,Turkey coronavirus,MG10,338,
YP_001941189,NC_010800,GCF_000880055.1,NSP16,Turkey coronavirus,MG10,277,
UYB79108,ON868855,,spike protein,Turkey coronavirus,2991,232,2020-09-01
UYB79109,ON868856,,spike protein,Turkey coronavirus,323,235,2021-07-09
UYB79110,ON868857,,spike protein,Turkey coronavirus,1254,234,2021-07-29
UYB79111,ON868858,,spike protein,Turkey coronavirus,1539,234,2021-08-05
UYB79112,ON868859,,spike protein,Turkey coronavirus,7062,234,2021-11-12
UYB79113,ON868861,,spike protein,Turkey coronavirus,16312,234,2021-05-27
UYB79114,ON868863,,spike protein,Turkey coronavirus,17512,234,2022-05-11
URX52598,ON246162,,spike protein,Turkey coronavirus,,1199,2015-02-06
URX52599,ON246163,,spike protein,Turkey coronavirus,,1199,2018-08-13
URW63881,ON227454,,spike protein,Turkey coronavirus,,1199,2009-10-15
URW63882,ON227455,,spike protein,Turkey coronavirus,,1199,2010-02-10
URW63883,ON227456,,spike protein,Turkey coronavirus,,1200,2010-07-13
URW63884,ON227457,,spike protein,Turkey coronavirus,,1200,2010-09-10
URW63885,ON227458,,spike protein,Turkey coronavirus,,1199,2014-11-20
URW63886,ON227459,,spike protein,Turkey coronavirus,,1200,2015-07-28
URW63887,ON227460,,spike protein,Turkey coronavirus,,1200,2015-04-16
URW63888,ON227461,,spike protein,Turkey coronavirus,,1200,2015-07-21
URW63889,ON227462,,spike protein,Turkey coronavirus,,1200,2016-02-08
URW63890,ON227463,,spike protein,Turkey coronavirus,,1199,2016-05-24
URW63891,ON227464,,spike protein,Turkey coronavirus,,1200,2016-11-10
URW63892,ON227465,,spike protein,Turkey coronavirus,,1140,2017-03-17
URW63893,ON227466,,spike protein,Turkey coronavirus,,1140,2018-05-23
URW63894,ON227467,,spike protein,Turkey coronavirus,,1199,2019-03-15
QRR19170,MT367412,,polyprotein 1a,Turkey coronavirus,,3950,2016-06-21
QRR19171,MT367412,,polyprotein 1ab,Turkey coronavirus,,6630,2016-06-21
QRR19172,MT367412,,spike protein,Turkey coronavirus,,1204,2016-06-21
QRR19173,MT367412,,3a protein,Turkey coronavirus,,57,2016-06-21
QRR19174,MT367412,,3b protein,Turkey coronavirus,,64,2016-06-21
QRR19175,MT367412,,envelope protein,Turkey coronavirus,,107,2016-06-21
QRR19176,MT367412,,membrane protein,Turkey coronavirus,,223,2016-06-21
QRR19177,MT367412,,4b protein,Turkey coronavirus,,94,2016-06-21
QRR19178,MT367412,,4c protein,Turkey coronavirus,,56,2016-06-21
QRR19179,MT367412,,5a protein,Turkey coronavirus,,65,2016-06-21
QRR19180,MT367412,,5b protein,Turkey coronavirus,,82,2016-06-21
QRR19181,MT367412,,nucleocapsid protein,Turkey coronavirus,,409,2016-06-21
QRR19182,MT367412,,6b protein,Turkey coronavirus,,73,2016-06-21
QKE31018,MN699606,set:MN699606,spike protein,Turkey coronavirus,18RS1461-9,1209,2014-08-04
QKE31019,MN699607,set:MN699607,spike protein,Turkey coronavirus,18RS1461-10,1209,2014-08-04
AIL92592,KF652218,set:KF652218,spike glycoprotein,Turkey coronavirus,IN/421/10,1208,2010
AIL92593,KF652219,set:KF652219,spike glycoprotein,Turkey coronavirus,IN/287/09,1205,2009
AIL92594,KF652220,set:KF652220,spike glycoprotein,Turkey coronavirus,IN/671/04,1209,2004
AIL92595,KF652221,set:KF652221,spike glycoprotein,Turkey coronavirus,IN/834/04,1209,2004
AIL92596,KF652222,set:KF652222,spike glycoprotein,Turkey coronavirus,IN/517-Purdue/94,1205,1994
AIL92597,KF652223,set:KF652223,spike glycoprotein,Turkey coronavirus,NC/20/09,1209,2009
AIL92598,KF652224,set:KF652224,spike glycoprotein,Turkey coronavirus,NC/625/02,1208,2002
AIL92599,KF652225,set:KF652225,spike glycoprotein,Turkey coronavirus,TX/1038-Purdue/98,1202,1998
AIL92600,KF652226,set:KF652226,spike glycoprotein,Turkey coronavirus,TX/176-2/02,1207,2002
AIL92601,KF652227,set:KF652227,spike glycoprotein,Turkey coronavirus,NC/1020/96,1208,1996
AIL92602,KF652228,set:KF652228,spike glycoprotein,Turkey coronavirus,AK/1425/96,1204,1996
AIL92603,KF652229,set:KF652229,spike glycoprotein,Turkey coronavirus,MO/168/99,1207,1999
AIL92604,KF652230,set:KF652230,spike glycoprotein,Turkey coronavirus,NC/183-1/02,1208,2002
AIL92605,KF652231,set:KF652231,spike glycoprotein,Turkey coronavirus,MO/2216/99,1206,1999
AIL92606,KF652232,set:KF652232,spike glycoprotein,Turkey coronavirus,MO/2580/99,1206,1999
AIL92607,KF652233,set:KF652233,spike glycoprotein,Turkey coronavirus,SC/284/96,1207,1996
AIL92608,KF652234,set:KF652234,spike glycoprotein,Turkey coronavirus,AK/428/96,1203,1996
AIL92609,KF652235,set:KF652235,spike glycoprotein,Turkey coronavirus,PA/640/02,1208,2002
AIL92610,KF652236,set:KF652236,spike glycoprotein,Turkey coronavirus,PA/682/98,1203,1998
AIL92611,KF652237,set:KF652237,spike glycoprotein,Turkey coronavirus,MN/310/96,1203,1996
AIL92612,KF652238,set:KF652238,spike glycoprotein,Turkey coronavirus,NC/1440/99,1207,1999
AIL92613,KF652239,set:KF652239,spike glycoprotein,Turkey coronavirus,MO/333/06,1206,2006
AIL92614,KF652240,set:KF652240,spike glycoprotein,Turkey coronavirus,NC/DK9/97,1209,1997
