Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
QII89018,GenBank,MN690608,set:MN690608,replicase polyprotein,Bottlenose dolphin coronavirus,,6663,
QII89019,GenBank,MN690608,set:MN690608,spike protein,Bottlenose dolphin coronavirus,,1482,
QII89020,GenBank,MN690608,set:MN690608,envelope glycoprotein,Bottlenose dolphin coronavirus,,95,
QII89021,GenBank,MN690608,set:MN690608,membrane protein,Bottlenose dolphin coronavirus,,275,
QII89022,GenBank,MN690608,set:MN690608,NS5a protein,Bottlenose dolphin coronavirus,,138,
QII89023,GenBank,MN690608,set:MN690608,NS5b protein,Bottlenose dolphin coronavirus,,172,
QII89024,GenBank,MN690608,set:MN690608,NS5c protein,Bottlenose dolphin coronavirus,,175,
QII89025,GenBank,MN690608,set:MN690608,NS6 protein,Bottlenose dolphin coronavirus,,228,
QII89026,GenBank,MN690608,set:MN690608,NS7a protein,Bottlenose dolphin coronavirus,,42,
QII89027,GenBank,MN690608,set:MN690608,NS7b protein,Bottlenose dolphin coronavirus,,117,
QII89028,GenBank,MN690608,set:MN690608,NS8 protein,Bottlenose dolphin coronavirus,,59,
QII89029,GenBank,MN690608,set:MN690608,NS9 protein,Bottlenose dolphin coronavirus,,152,
QII89030,GenBank,MN690608,set:MN690608,NS10 protein,Bottlenose dolphin coronavirus,,210,
QII89031,GenBank,MN690608,set:MN690608,N protein,Bottlenose dolphin coronavirus,,379,
QII89032,GenBank,MN690609,set:MN690609,replicase polyprotein,Bottlenose dolphin coronavirus,,6663,
QII89033,GenBank,MN690609,set:MN690609,spike protein,Bottlenose dolphin coronavirus,,1482,
QII89034,GenBank,MN690609,set:MN690609,envelope glycoprotein,Bottlenose dolphin coronavirus,,95,
QII89035,GenBank,MN690609,set:MN690609,membrane protein,Bottlenose dolphin coronavirus,,275,
QII89036,GenBank,MN690609,set:MN690609,NS5a protein,Bottlenose dolphin coronavirus,,138,
QII89037,GenBank,MN690609,set:MN690609,NS5b protein,Bottlenose dolphin coronavirus,,172,
QII89038,GenBank,MN690609,set:MN690609,NS5c protein,Bottlenose dolphin coronavirus,,175,
QII89039,GenBank,MN690609,set:MN690609,NS6 protein,Bottlenose dolphin coronavirus,,228,
QII89040,GenBank,MN690609,set:MN690609,NS7a protein,Bottlenose dolphin coronavirus,,42,
QII89041,GenBank,MN690609,set:MN690609,NS7b protein,Bottlenose dolphin coronavirus,,117,
QII89042,GenBank,MN690609,set:MN690609,NS8 protein,Bottlenose dolphin coronavirus,,59,
QII89043,GenBank,MN690609,set:MN690609,NS9 protein,Bottlenose dolphin coronavirus,,152,
QII89044,GenBank,MN690609,set:MN690609,NS10 protein,Bottlenose dolphin coronavirus,,210,
QII89045,GenBank,MN690609,set:MN690609,N protein,Bottlenose dolphin coronavirus,,379,
