Accession,Nucleotide,Assembly,Protein,Organism_Name,Isolate,Length,Collection_Date
YP_009924357,NC_012936,GCF_000886515.1,nsp1,Rat coronavirus Parker,,246,
YP_009924358,NC_012936,GCF_000886515.1,nsp2,Rat coronavirus Parker,,585,
YP_009924359,NC_012936,GCF_000886515.1,nsp3,Rat coronavirus Parker,,2000,
YP_009924360,NC_012936,GCF_000886515.1,nsp4,Rat coronavirus Parker,,496,
YP_009924361,NC_012936,GCF_000886515.1,nsp5,Rat coronavirus Parker,,303,
YP_009924362,NC_012936,GCF_000886515.1,nsp6,Rat coronavirus Parker,,287,
YP_009924363,NC_012936,GCF_000886515.1,nsp7,Rat coronavirus Parker,,92,
YP_009924364,NC_012936,GCF_000886515.1,nsp8,Rat coronavirus Parker,,194,
YP_009924365,NC_012936,GCF_000886515.1,nsp9,Rat coronavirus Parker,,110,
YP_009924366,NC_012936,GCF_000886515.1,nsp10,Rat coronavirus Parker,,137,
YP_009924367,NC_012936,GCF_000886515.1,nsp11,Rat coronavirus Parker,,14,
YP_009924368,NC_012936,GCF_000886515.1,nsp1,Rat coronavirus Parker,,246,
YP_009924369,NC_012936,GCF_000886515.1,nsp2,Rat coronavirus Parker,,585,
YP_009924370,NC_012936,GCF_000886515.1,nsp3,Rat coronavirus Parker,,2000,
YP_009924371,NC_012936,GCF_000886515.1,nsp4,Rat coronavirus Parker,,496,
YP_009924372,NC_012936,GCF_000886515.1,nsp5,Rat coronavirus Parker,,303,
YP_009924373,NC_012936,GCF_000886515.1,nsp6,Rat coronavirus Parker,,287,
YP_009924374,NC_012936,GCF_000886515.1,nsp7,Rat coronavirus Parker,,92,
YP_009924375,NC_012936,GCF_000886515.1,nsp8,Rat coronavirus Parker,,194,
YP_009924376,NC_012936,GCF_000886515.1,nsp9,Rat coronavirus Parker,,110,
YP_009924377,NC_012936,GCF_000886515.1,nsp10,Rat coronavirus Parker,,137,
YP_009924378,NC_012936,GCF_000886515.1,nsp12,Rat coronavirus Parker,,928,
YP_009924379,NC_012936,GCF_000886515.1,nsp13,Rat coronavirus Parker,,600,
YP_009924380,NC_012936,GCF_000886515.1,nsp14,Rat coronavirus Parker,,521,
YP_009924381,NC_012936,GCF_000886515.1,nsp15,Rat coronavirus Parker,,374,
YP_009924382,NC_012936,GCF_000886515.1,nsp16,Rat coronavirus Parker,,299,
YP_003029844,NC_012936,GCF_000886515.1,ORF1ab polyprotein,Rat coronavirus Parker,,7172,
YP_003029845,NC_012936,GCF_000886515.1,ORF1a polyprotein,Rat coronavirus Parker,,4464,
YP_003029846,NC_012936,GCF_000886515.1,32 kD non-structural protein,Rat coronavirus Parker,,265,
YP_003029847,NC_012936,GCF_000886515.1,hemagglutinin-esterase,Rat coronavirus Parker,,439,
YP_003029848,NC_012936,GCF_000886515.1,spike protein,Rat coronavirus Parker,,1360,
YP_003029849,NC_012936,GCF_000886515.1,15 kD non-structural protein,Rat coronavirus Parker,,133,
YP_003029850,NC_012936,GCF_000886515.1,envelope protein,Rat coronavirus Parker,,88,
YP_003029851,NC_012936,GCF_000886515.1,membrane protein,Rat coronavirus Parker,,228,
YP_003029852,NC_012936,GCF_000886515.1,nucleocapsid protein,Rat coronavirus Parker,,454,
YP_003029853,NC_012936,GCF_000886515.1,internal protein,Rat coronavirus Parker,,207,
ACT11038,FJ938068,set:FJ938068,orf1a polyprotein,Rat coronavirus Parker,,4464,
ACT11039,FJ938068,set:FJ938068,orf1ab polyprotein,Rat coronavirus Parker,,7172,
ACT11040,FJ938068,set:FJ938068,32 kD non-structural protein,Rat coronavirus Parker,,265,
ACT11041,FJ938068,set:FJ938068,hemagglutinin-esterase,Rat coronavirus Parker,,439,
ACT11042,FJ938068,set:FJ938068,spike protein,Rat coronavirus Parker,,1360,
ACT11043,FJ938068,set:FJ938068,15 kD non-structural protein,Rat coronavirus Parker,,133,
ACT11044,FJ938068,set:FJ938068,envelope protein,Rat coronavirus Parker,,88,
ACT11045,FJ938068,set:FJ938068,membrane protein,Rat coronavirus Parker,,228,
ACT11046,FJ938068,set:FJ938068,nucleocapsid protein,Rat coronavirus Parker,,454,
ACT11047,FJ938068,set:FJ938068,internal protein,Rat coronavirus Parker,,207,
